,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,110.44,111.08,0.64,utterance,Child utterance:utterance,3,t,101,SK
1,Child utterance,Child,120.38,120.86,0.48,utterance,Child utterance:utterance,3,t,101,SK
2,Child utterance,Child,123.84,124.48,0.64,utterance,Child utterance:utterance,3,t,101,SK
3,Child utterance,Child,130.56,131.56,1.0,utterance,Child utterance:utterance,3,t,101,SK
4,Child utterance,Child,135.94,136.57999999999998,0.64,utterance,Child utterance:utterance,3,t,101,SK
5,Child utterance,Child,152.0,153.24,1.24,utterance,Child utterance:utterance,3,t,101,SK
6,Child utterance,Child,153.7,154.18,0.48,utterance,Child utterance:utterance,3,t,101,SK
7,Child utterance,Child,155.22,156.38,1.16,utterance,Child utterance:utterance,3,t,101,SK
8,Child utterance,Child,158.2,161.0,2.8,utterance,Child utterance:utterance,3,t,101,SK
9,Child utterance,Child,161.76,162.12,0.36,utterance,Child utterance:utterance,3,t,101,SK
10,Child utterance,Child,165.78,166.34,0.56,utterance,Child utterance:utterance,3,t,101,SK
11,Child utterance,Child,167.98,168.54,0.56,utterance,Child utterance:utterance,3,t,101,SK
12,Child utterance,Child,199.5,200.22,0.72,utterance,Child utterance:utterance,3,t,101,SK
13,Child utterance,Child,210.64,211.36,0.72,utterance,Child utterance:utterance,3,t,101,SK
14,Child utterance,Child,212.68,213.84,1.16,utterance,Child utterance:utterance,3,t,101,SK
15,Child utterance,Child,217.1,217.74,0.64,utterance,Child utterance:utterance,3,t,101,SK
16,Child utterance,Child,221.06,221.54,0.48,utterance,Child utterance:utterance,3,t,101,SK
17,Child utterance,Child,226.3,226.86,0.56,utterance,Child utterance:utterance,3,t,101,SK
18,Child utterance,Child,232.14,232.7,0.56,utterance,Child utterance:utterance,3,t,101,SK
19,Child utterance,Child,245.98,246.54,0.56,utterance,Child utterance:utterance,3,t,101,SK
20,Child utterance,Child,248.66,249.86,1.2,utterance,Child utterance:utterance,3,t,101,SK
21,Child utterance,Child,251.74,252.7,0.96,utterance,Child utterance:utterance,3,t,101,SK
22,Child utterance,Child,256.18,257.62,1.44,utterance,Child utterance:utterance,3,t,101,SK
23,Child utterance,Child,258.96,259.84,0.88,utterance,Child utterance:utterance,3,t,101,SK
24,Child utterance,Child,269.28,270.16,0.88,utterance,Child utterance:utterance,3,t,101,SK
25,Child utterance,Child,273.54,274.18,0.64,utterance,Child utterance:utterance,3,t,101,SK
26,Child utterance,Child,278.8,279.64,0.84,utterance,Child utterance:utterance,3,t,101,SK
27,Child utterance,Child,281.96,283.36,1.4,utterance,Child utterance:utterance,3,t,101,SK
28,Child utterance,Child,283.92,285.56,1.64,utterance,Child utterance:utterance,3,t,101,SK
29,Child utterance,Child,289.14,289.62,0.48,utterance,Child utterance:utterance,3,t,101,SK
30,Child utterance,Child,297.84000000000003,300.68,2.84,utterance,Child utterance:utterance,3,t,101,SK
31,Child utterance,Child,301.38,302.3,0.92,utterance,Child utterance:utterance,3,t,101,SK
32,Child utterance,Child,304.1,304.74,0.64,utterance,Child utterance:utterance,3,t,101,SK
33,Child gaze,Child,42.4,43.6,1.2,tablet,Child gaze:tablet,3,t,101,SK
34,Child gaze,Child,44.88,49.2,4.32,tablet,Child gaze:tablet,3,t,101,SK
35,Child gaze,Child,50.84,53.48,2.64,tablet,Child gaze:tablet,3,t,101,SK
36,Child gaze,Child,54.12,55.04,0.92,tablet,Child gaze:tablet,3,t,101,SK
37,Child gaze,Child,57.18,57.7,0.52,tablet,Child gaze:tablet,3,t,101,SK
38,Child gaze,Child,59.12,60.0,0.88,tablet,Child gaze:tablet,3,t,101,SK
39,Child gaze,Child,66.6,67.92,1.32,tablet,Child gaze:tablet,3,t,101,SK
40,Child gaze,Child,71.52,72.76,1.24,tablet,Child gaze:tablet,3,t,101,SK
41,Child gaze,Child,77.32,80.48,3.16,parent,Child gaze:parent,3,t,101,SK
42,Child gaze,Child,81.62,212.28,130.66,tablet,Child gaze:tablet,3,t,101,SK
43,Child gaze,Child,214.76,248.84,34.08,tablet,Child gaze:tablet,3,t,101,SK
44,Child gaze,Child,251.72,255.52,3.8,tablet,Child gaze:tablet,3,t,101,SK
45,Child gaze,Child,260.5,275.94,15.44,tablet,Child gaze:tablet,3,t,101,SK
46,Child affect,Child,5.84,8.4,2.56,positive 1,Child affect:positive 1,3,t,101,SK
47,Child affect,Child,50.4,52.56,2.16,positive 2,Child affect:positive 2,3,t,101,SK
48,Child affect,Child,56.6,58.52,1.92,positive 2,Child affect:positive 2,3,t,101,SK
49,Child affect,Child,110.24000000000001,112.16,1.92,positive 1,Child affect:positive 1,3,t,101,SK
50,Child affect,Child,129.64,132.4,2.76,positive 2,Child affect:positive 2,3,t,101,SK
51,Child affect,Child,152.06,160.94,8.88,positive 1,Child affect:positive 1,3,t,101,SK
52,Child affect,Child,211.72,212.92000000000002,1.2,positive 1,Child affect:positive 1,3,t,101,SK
53,Child affect,Child,214.88,217.07999999999998,2.2,positive 1,Child affect:positive 1,3,t,101,SK
54,Child affect,Child,251.88,254.2,2.32,positive 1,Child affect:positive 1,3,t,101,SK
55,Child affect,Child,284.76,292.15999999999997,7.4,positive 1,Child affect:positive 1,3,t,101,SK
56,Child gesture,Child,110.25999999999999,112.14,1.88,point at prop,Child gesture:point at prop,3,t,101,SK
57,Child gesture,Child,120.08,125.76,5.68,point at prop,Child gesture:point at prop,3,t,101,SK
58,Child gesture,Child,152.34,152.98,0.64,point at prop,Child gesture:point at prop,3,t,101,SK
59,Child gesture,Child,165.7,168.78,3.08,point at prop,Child gesture:point at prop,3,t,101,SK
60,Child gesture,Child,200.16,202.12,1.96,point at prop,Child gesture:point at prop,3,t,101,SK
61,Child gesture,Child,216.9,218.38,1.48,point at prop,Child gesture:point at prop,3,t,101,SK
62,Child gesture,Child,218.96,223.0,4.04,point at prop,Child gesture:point at prop,3,t,101,SK
63,Child gesture,Child,226.1,228.46,2.36,point at prop,Child gesture:point at prop,3,t,101,SK
64,Child gesture,Child,237.3,238.7,1.4,point at prop,Child gesture:point at prop,3,t,101,SK
65,Child gesture,Child,256.48,257.36,0.88,other,Child gesture:other,3,t,101,SK
66,Child gesture,Child,263.76,265.08,1.32,other,Child gesture:other,3,t,101,SK
67,Child gesture,Child,270.08,270.8,0.72,point at prop,Child gesture:point at prop,3,t,101,SK
68,Parent utterance,Parent,111.56,112.68,1.12,utterance,Parent utterance:utterance,3,t,101,SK
69,Parent utterance,Parent,114.92,115.8,0.88,utterance,Parent utterance:utterance,3,t,101,SK
