,total time,count,normalized total time,normalized count
Child affect,39.4,18,0.13222630162363158,0.06040795505648144
Child gaze,245.4,49,0.8235617872700303,0.16444387765375504
Child gesture,31.8,19,0.10672072059978388,0.0637639525596193
Child prop manipulation,14.2,18,0.04765516454455758,0.06040795505648144
Child utterance,38.7,40,0.1298771033714351,0.13423990012551432
Conversational turns,646.72,122,2.1703907052293157,0.40943169538281865
Joint attention,110.08000000000007,23,0.36942820514541563,0.07718794257217072
Mutual gaze,21.85999999999997,18,0.07336210541859348,0.06040795505648144
Non-verbal scaffolding,10.68,14,0.03584205333351232,0.04698396504393001
Parent affective touch,0.8,1,0.002684798002510286,0.0033559975031378577
Parent gaze,258.21999999999997,39,0.8665856752602575,0.13088390262237645
Parent gesture,13.76,18,0.04617852564317692,0.06040795505648144
Parent utterance,74.16,61,0.24888077483270352,0.20471584769140933
Verbal scaffolding,37.56,29,0.12605126621785795,0.09732392759099788
robot pointing,40.067,15,0.13446475195822455,0.050339962547067865
robot text,185.997,42,0.6242054675911322,0.14095189513179002
CP,137.38000000000005,36,0.46104693698107907,0.12081591011296287
CPC,189.67999999999995,25,0.6365656063951887,0.08389993757844645
MG,21.85999999999997,18,0.07336210541859348,0.06040795505648144
PC,124.50000000000001,32,0.41782168914066337,0.10739192010041144
PCP,195.15999999999997,29,0.6549564727123842,0.09732392759099788
affective,4.24,6,0.014229429413304517,0.020135985018827147
affective touch,0.8,1,0.002684798002510286,0.0033559975031378577
child,126.38,37,0.42413096444656245,0.12417190761610074
cognitive,44.0,37,0.14766389013806575,0.12417190761610074
other,12.013,8,0.04031559800519509,0.02684798002510286
parent,31.36,24,0.10524408169840321,0.08054394007530859
pick up,26.132,8,0.0876989267519985,0.02684798002510286
point at prop,82.547,48,0.27702752589152074,0.16108788015061717
positive 1,32.2,16,0.10806311960103902,0.05369596005020572
positive 2,7.2,2,0.024163182022592575,0.006711995006275715
positive feedback,43.933,13,0.1474390383053555,0.04362796754079215
put down,18.999,6,0.06376059656211616,0.020135985018827147
song,54.133,1,0.18167021283736168,0.0033559975031378577
tablet,470.1600000000001,68,1.5778557860752955,0.22820783021337432
teach,33.867,10,0.11365756743876983,0.03355997503137858
utterance,112.86,101,0.37875787820413864,0.3389557478169236
Child affect:positive 1,32.2,16,0.10806311960103902,0.05369596005020572
Child affect:positive 2,7.2,2,0.024163182022592575,0.006711995006275715
Child gaze:parent,31.36,24,0.10524408169840321,0.08054394007530859
Child gaze:tablet,214.04,25,0.7183177055716271,0.08389993757844645
Child gesture:point at prop,31.8,19,0.10672072059978388,0.0637639525596193
Child prop manipulation:child,14.2,18,0.04765516454455758,0.06040795505648144
Child utterance:utterance,38.7,40,0.1298771033714351,0.13423990012551432
Conversational turns:CP,137.38000000000005,36,0.46104693698107907,0.12081591011296287
Conversational turns:CPC,189.67999999999995,25,0.6365656063951887,0.08389993757844645
Conversational turns:PC,124.50000000000001,32,0.41782168914066337,0.10739192010041144
Conversational turns:PCP,195.15999999999997,29,0.6549564727123842,0.09732392759099788
Joint attention:tablet,110.08000000000007,23,0.36942820514541563,0.07718794257217072
Mutual gaze:MG,21.85999999999997,18,0.07336210541859348,0.06040795505648144
Non-verbal scaffolding:affective,1.6400000000000001,3,0.005503835905146087,0.010067992509413573
Non-verbal scaffolding:cognitive,9.04,11,0.030338217428366232,0.036915972534516436
Parent affective touch:affective touch,0.8,1,0.002684798002510286,0.0033559975031378577
Parent gaze:child,112.17999999999999,19,0.37647579990200486,0.0637639525596193
Parent gaze:tablet,146.04,20,0.49010987535825273,0.06711995006275716
Parent gesture:other,3.08,4,0.010336472309664602,0.01342399001255143
Parent gesture:point at prop,10.68,14,0.03584205333351232,0.04698396504393001
Parent utterance:utterance,74.16,61,0.24888077483270352,0.20471584769140933
Verbal scaffolding:affective,2.6,3,0.00872559350815843,0.010067992509413573
Verbal scaffolding:cognitive,34.96,26,0.11732567270969951,0.0872559350815843
robot pointing:point at prop,40.067,15,0.13446475195822455,0.050339962547067865
robot text:other,8.933,4,0.029979125695530483,0.01342399001255143
robot text:pick up,26.132,8,0.0876989267519985,0.02684798002510286
robot text:positive feedback,43.933,13,0.1474390383053555,0.04362796754079215
robot text:put down,18.999,6,0.06376059656211616,0.020135985018827147
robot text:song,54.133,1,0.18167021283736168,0.0033559975031378577
robot text:teach,33.867,10,0.11365756743876983,0.03355997503137858
