,Child utterance:utterance,Child gaze:tablet,Child affect:negative,Child affect:positive 1,Child affect:positive 2,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:missing data,Parent gaze:child,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[0, 1]","[1, 0.21620719225713778]","[2, 0.044414555686442515]","[1, 0.2547149193932893]","[2, 0.07794772663552096]","[100, 100]","[5, 0.06274582985500346]","[2, 0.2913621313337318]","[1, 0.25584975914594815]","[1, 0.21976157791507292]","[2, 0.3634365821717685]","[2, 0.5777803224275783]","[2, 0.22642663743074784]","[1, 0.08175204561019636]","[100, 100]","[5, 0.10338377715741275]","[1, 0.03285693794550572]","[5, 0.2973242359180533]","[1, 0.3160129986648206]","[100, 100]","[2, 0.1989339772881973]","[1, 0.08177053853695955]","[2, 0.4637069839664629]","[100, 100]","[2, 0.008284676462070968]","[3, 0.5463536500887816]","[1, 0.421919950168127]","[5, 0.9269748899876489]","[3, 0.5309510263588677]","[1, 0.13131544287430888]","[1, 1.0]","[5, 0.07360571564856126]","[3, 0.001275224441484527]","[5, 0.41524164763219545]","[5, 0.0916927389158794]","[1, 0.47654555818855227]"
Child gaze:tablet,"[1, 0.00038861395260325274]","[0, 1]","[5, 9.351756314389068e-08]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.20176824715370004]","[1, 1.0]","[5, 0.022499594108196345]","[3, 1.0466702731697334e-05]","[1, 1.0]","[4, 0.0003080005765173969]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0005886876173983153]","[100, 100]","[5, 0.6178648663050197]","[4, 0.991743482226206]","[5, 0.068537920925911]","[100, 100]","[1, 1.0]","[5, 0.031153931634307172]","[1, 0.4448616237769252]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.21797591091869836]","[1, 0.12486850586631638]","[5, 0.9862667968960717]","[4, 0.006451839890786404]","[1, 1.0]"
Child affect:negative,"[1, 0.03260025343547203]","[3, 0.002267516559405858]","[0, 1]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.39325882075122665]","[1, 1.0]","[5, 0.9959426229699605]","[2, 0.016467229255546712]","[1, 1.0]","[2, 0.03543970845964908]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.04225742895580351]","[100, 100]","[4, 0.46766222444444416]","[4, 0.36325214862529404]","[2, 0.13112831290150045]","[100, 100]","[1, 1.0]","[2, 0.08689646081123899]","[3, 2.7164957318027296e-08]","[2, 0.21878078343517077]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.09638603631189838]","[5, 0.042252541569949655]","[4, 0.9965660403884377]","[2, 2.582722025224504e-06]","[1, 0.09995296975603371]"
Child affect:positive 1,"[4, 0.841139512775273]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 1.0]","[100, 100]","[3, 0.22433494187556147]","[1, 1.0]","[4, 0.7351731196871463]","[4, 0.000118681353667678]","[3, 5.953521293716598e-07]","[5, 0.025491899088938445]","[1, 1.0]","[3, 0.002224486721323833]","[100, 100]","[3, 0.0230751312320311]","[1, 1.0]","[1, 1.0]","[5, 0.03826422547759004]","[100, 100]","[1, 0.1523278507538979]","[1, 1.0]","[4, 0.9999999998544395]","[100, 100]","[1, 0.9846428178850906]","[1, 1.0]","[5, 0.13676474328964838]","[2, 0.029446311160599467]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.28236974148103317]","[4, 0.04678824622601571]","[1, 1.0]","[4, 0.13671147075488643]","[3, 0.017107559164454316]"
Child affect:positive 2,"[4, 0.14886300147477072]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[0, 1]","[100, 100]","[5, 0.37314437264978795]","[1, 1.0]","[1, 0.12679388613168652]","[1, 1.0]","[2, 0.16094157896305827]","[1, 1.0]","[4, 0.00394469290000838]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 4.849428692529747e-07]","[3, 1.218249697616333e-07]","[2, 0.40294782389419814]","[100, 100]","[4, 0.6557040828133125]","[4, 0.22249532229623004]","[2, 0.003871023777863252]","[100, 100]","[1, 1.0]","[2, 0.0012143649006467981]","[1, 1.0]","[1, 0.04355617667307139]","[5, 7.847649264680143e-05]","[1, 1.0]","[1, 1.0]","[4, 0.016373492996177953]","[1, 0.14806559837277977]","[1, 0.030825569656932138]","[4, 0.0796364189476787]","[1, 1.0]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[4, 0.2724733085517642]","[1, 0.5498275524417127]","[1, 0.01789278335818189]","[3, 0.009494707671807587]","[5, 0.0003174144867034557]","[100, 100]","[0, 1]","[1, 0.22436230863113776]","[3, 0.024103671069856905]","[5, 0.03047512078186307]","[5, 4.513446524042141e-05]","[4, 0.38951044864922374]","[1, 0.3225709696338781]","[1, 0.0010329158002053086]","[100, 100]","[2, 0.0013141019459248118]","[3, 0.9901981685581717]","[5, 0.3672373752866215]","[5, 0.37721743790939904]","[100, 100]","[1, 0.03814764959421665]","[4, 0.4073019654744827]","[5, 0.3068651927327825]","[100, 100]","[4, 0.17759723788459844]","[2, 0.2882468601963026]","[1, 0.8614068848457063]","[1, 0.16708817485586153]","[5, 0.22149537377298648]","[5, 0.5111681048114991]","[5, 0.2535789518554376]","[4, 0.01901261064621409]","[3, 0.02568612472968686]","[1, 0.35624653240696147]","[3, 0.11027135096235696]","[1, 0.02131859714980107]"
Parent utterance:missing data,"[2, 0.10253160239575407]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.8582515700146467]","[0, 1]","[5, 0.536245568366678]","[1, 1.0]","[1, 1.0]","[5, 0.6603914015163064]","[2, 0.01479340505945915]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 8.581646373872826e-13]","[1, 1.0]","[5, 0.17479966310906778]","[100, 100]","[2, 0.16300289447419825]","[5, 0.10461795869939756]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.16425719902303143]","[2, 0.001977728229937539]","[5, 7.61431306657446e-06]","[3, 4.624519629175551e-06]","[1, 0.034936502192045596]","[5, 0.018392161489646144]","[5, 0.190122084954759]","[5, 0.0007102633511972319]","[1, 1.0]"
Verbal scaffolding:cognitive,"[1, 0.5840330019324123]","[2, 0.9930829700686521]","[1, 0.00900037945764401]","[2, 0.005900419100601387]","[3, 0.12054319960925586]","[100, 100]","[2, 0.40598962090834767]","[1, 0.06170407011727319]","[0, 1]","[1, 0.9125705781742461]","[5, 0.33830118004555243]","[1, 0.4124728362934774]","[5, 0.16554719279403654]","[5, 0.8902898712362195]","[100, 100]","[4, 0.8436723431151593]","[3, 0.06964094366693785]","[5, 0.9988628605041928]","[1, 0.1515651859548414]","[100, 100]","[1, 0.003121119985051337]","[5, 0.5115994449897585]","[4, 0.00028552442550773896]","[100, 100]","[1, 1.0]","[4, 3.279468564711571e-05]","[3, 0.8174377730903621]","[5, 0.8874639830633481]","[5, 0.0011230896719155396]","[1, 0.9467973255121255]","[1, 1.0]","[4, 0.019037974037611198]","[2, 0.5362576691825494]","[2, 0.21749399729132934]","[3, 0.6278772801139438]","[5, 0.9260780104126463]"
Verbal scaffolding:technical,"[1, 0.21976157875105506]","[3, 0.12212893618457603]","[1, 0.0041111854561739]","[3, 0.29550207380265875]","[1, 1.0]","[100, 100]","[4, 0.2717922093348184]","[1, 1.0]","[4, 0.008063853708235529]","[0, 1]","[3, 0.4144295595817774]","[5, 0.00017290600547190007]","[1, 1.0]","[3, 0.5424776207315145]","[100, 100]","[3, 0.29225297892906704]","[1, 1.0]","[1, 1.0]","[5, 0.00042580433949035315]","[100, 100]","[1, 0.11987262408551527]","[1, 1.0]","[4, 0.12100530113724745]","[100, 100]","[1, 1.0]","[4, 0.06828984590243242]","[3, 0.0023662678336701733]","[3, 0.7159665533369131]","[4, 0.026887001366955533]","[1, 1.0]","[1, 1.0]","[3, 0.8044719074076486]","[1, 0.1469683431150128]","[1, 1.0]","[3, 0.4317970807805931]","[3, 0.7037843879962686]"
