,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,62.92
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.42
2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.92
3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.42
4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.92
5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,65.42
6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,65.92
7,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.42
8,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,66.92
9,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.42
10,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.92
11,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,68.42
12,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,68.92
13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.42
14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.92
15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.42
16,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,70.92
17,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,71.42
18,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,71.92
19,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,72.42
20,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,72.92
21,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,73.42
22,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,73.92
23,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,74.42
24,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,74.92
25,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.42
26,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.92
27,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.42
28,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.92
29,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,77.42
30,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,77.92
31,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.42
32,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.92
33,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.42
