,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,161.06
1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,161.56
2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,162.06
3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,162.56
4,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.06
5,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.56
6,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.06
7,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.56
8,0,1,0,1,0,0,1,0,1,0,1,1,1,0,165.06
9,0,1,0,1,0,0,1,0,0,0,1,1,1,0,165.56
10,0,1,0,0,0,0,1,0,0,0,1,1,1,0,166.06
11,0,1,0,0,0,0,1,0,1,0,0,1,1,0,166.56
12,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.06
13,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.56
14,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.06
15,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.56
16,0,1,0,0,0,0,1,0,1,0,1,1,1,0,169.06
17,0,1,0,1,1,0,1,0,1,0,1,1,1,0,169.56
18,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.06
19,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.56
20,0,1,0,1,1,0,1,0,0,0,0,1,1,0,171.06
21,0,1,0,1,1,0,1,0,0,0,1,1,1,0,171.56
22,0,1,0,1,1,0,1,0,0,0,1,1,1,0,172.06
23,0,0,0,1,0,0,1,0,0,0,1,1,0,0,172.56
24,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.06
25,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.56
26,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.06
27,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.56
28,0,0,0,1,0,0,1,0,0,0,1,1,0,0,175.06
29,1,0,0,0,0,0,1,0,0,0,0,1,0,0,175.56
30,1,1,0,0,0,0,1,0,0,0,1,1,1,0,176.06
31,1,1,0,1,0,0,1,0,0,0,1,1,1,0,176.56
32,0,1,0,1,0,0,1,0,0,0,1,1,1,0,177.06
33,0,1,0,1,0,0,1,0,1,0,1,1,1,0,177.56
34,0,1,0,0,0,0,1,0,1,0,1,1,1,0,178.06
35,0,1,0,0,0,0,1,0,1,0,1,1,1,0,178.56
36,0,1,0,1,0,0,1,0,0,0,1,1,1,0,179.06
37,0,1,0,1,0,0,1,0,0,0,1,1,1,0,179.56
38,0,1,0,1,0,0,1,0,0,0,1,0,1,0,180.06
39,0,1,0,1,0,0,1,0,0,0,1,0,1,0,180.56
40,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.06
41,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.56
42,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.06
43,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.56
44,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.06
45,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.56
46,0,1,0,0,0,0,1,0,0,0,1,0,1,0,184.06
47,0,1,0,0,0,0,1,0,1,0,1,0,1,0,184.56
48,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.06
49,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.56
50,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.06
51,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.56
52,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.06
53,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.56
54,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.06
55,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.56
56,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.06
57,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.56
58,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.06
59,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.56
60,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.06
61,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.56
62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,192.06
63,0,1,0,0,0,0,1,0,0,0,0,0,0,0,192.56
64,0,1,0,0,0,0,1,0,0,0,0,0,0,0,193.06
65,0,1,0,0,0,0,1,0,0,1,1,0,1,0,193.56
66,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.06
67,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.56
68,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.06
69,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.56
70,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.06
71,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.56
72,0,1,0,1,1,0,1,0,0,1,1,0,1,0,197.06
73,0,1,0,1,1,0,1,0,0,1,1,0,1,0,197.56
74,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.06
75,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.56
76,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.06
77,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.56
78,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.06
79,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.56
80,0,1,0,0,0,0,1,0,0,0,1,0,1,0,201.06
81,0,1,0,1,0,0,1,0,0,0,1,0,1,0,201.56
82,0,1,0,1,0,0,1,0,0,0,0,0,0,0,202.06
83,0,1,0,1,0,0,1,0,0,0,0,0,0,1,202.56
84,0,1,0,0,0,0,1,0,0,0,0,0,0,1,203.06
