,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,28.36
1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,28.56
2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,28.759999999999998
3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.959999999999997
4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29.159999999999997
5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29.359999999999996
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29.559999999999995
7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.759999999999994
8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.959999999999994
9,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,30.159999999999993
10,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,30.359999999999992
11,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,30.55999999999999
12,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,30.75999999999999
13,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,30.95999999999999
14,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,31.15999999999999
15,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,31.35999999999999
16,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,31.559999999999988
17,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,31.759999999999987
18,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,31.959999999999987
19,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,32.15999999999998
20,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,32.359999999999985
21,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,32.55999999999999
22,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,32.759999999999984
23,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,32.95999999999998
24,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,33.15999999999998
25,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,33.359999999999985
26,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,33.55999999999998
27,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,33.75999999999998
28,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,33.95999999999998
29,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,34.15999999999998
30,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,34.35999999999998
31,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,34.559999999999974
32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,34.75999999999998
33,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,34.95999999999998
34,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,35.159999999999975
35,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,35.35999999999997
36,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,35.559999999999974
37,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,35.75999999999998
38,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,35.95999999999997
39,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,36.15999999999997
40,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,36.35999999999997
41,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,36.559999999999974
42,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,36.75999999999997
43,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,36.959999999999965
44,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,37.15999999999997
45,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,37.35999999999997
46,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,37.55999999999997
47,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,37.75999999999996
48,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,37.959999999999965
49,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,38.15999999999997
50,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,38.359999999999964
51,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.55999999999996
