,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,13.6
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,14.1
2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,14.6
3,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,15.1
4,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,15.6
5,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,16.1
6,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,16.6
7,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.1
8,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.6
9,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.1
10,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.6
11,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.1
12,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.6
13,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,20.1
14,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,20.6
15,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,21.1
16,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,21.6
17,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,22.1
18,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.6
19,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,23.1
20,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,23.6
21,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,24.1
22,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,24.6
23,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,25.1
24,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,25.6
25,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,26.1
26,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,26.6
27,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,27.1
28,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,27.6
29,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,28.1
30,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,28.6
31,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,29.1
32,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,29.6
33,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,30.1
34,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,30.6
35,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,31.1
36,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,31.6
37,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,32.1
38,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,32.6
39,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,33.1
40,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,33.6
