,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Parent utterance:utterance,"[5, 0.010249693232823912]","[100, 100]","[3, 0.19191121957421722]","[1, 0.02398340163901681]","[4, 0.02304009250392874]","[2, 0.35833145369582614]","[1, 0.020551448535630817]","[1, 1.0]","[3, 0.0025076710908625384]","[5, 0.15624029443455692]","[0, 1]","[1, 1.0]","[4, 0.01781691621336063]","[4, 5.7641607039027104e-05]","[5, 0.04056351247429523]","[3, 6.001364126465196e-05]","[4, 0.01946144867698643]","[1, 0.2631950078275896]","[5, 0.10467461165965279]","[4, 0.27327047702620744]","[5, 0.04056351247429523]","[100, 100]","[1, 0.010072941863905858]","[3, 0.3642650375805573]","[1, 0.20296696497048505]","[4, 0.8098691340304337]","[100, 100]","[1, 0.010534684965402122]","[4, 0.6428204711826728]","[5, 0.0012740077906556663]","[1, 0.20296696497048505]","[4, 0.01536307111081018]","[2, 0.0797328938897281]","[4, 0.02652999170958568]","[3, 9.934301336287106e-08]","[3, 0.039788301098148515]","[5, 0.020476118917045368]","[3, 0.03479300784053382]","[1, 0.20296696497048505]","[1, 0.028990715044837818]"
Parent utterance:missing data,"[1, 1.0]","[100, 100]","[2, 0.7011337826422247]","[5, 0.02673485758801232]","[1, 1.0]","[2, 0.478434577143639]","[4, 0.903599745361438]","[1, 1.0]","[2, 0.24063743513309346]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.5343733794470679]","[5, 0.2672733996364788]","[5, 0.28697194501501505]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 5.833564868934654e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.0001628103182367909]","[4, 5.359157184762202e-06]","[2, 0.23657515019812683]","[3, 0.0008243783505160209]","[1, 1.0]","[2, 0.44160933814425973]","[2, 0.14432114546567845]","[1, 1.0]","[5, 0.38701735628685374]","[1, 1.0]","[5, 0.10267948171979029]"
Verbal scaffolding:affective,"[1, 0.0016774667384888036]","[100, 100]","[5, 0.08006509913659748]","[5, 0.3628817025320478]","[3, 0.11509061364017643]","[2, 0.47843457714358106]","[1, 1.0]","[1, 1.0]","[2, 0.24063743513310326]","[1, 1.0]","[5, 0.07775733790803227]","[1, 1.0]","[0, 1]","[4, 1.3116049366155159e-05]","[5, 9.652538091943881e-12]","[4, 0.20710621574500565]","[4, 0.008455398016089993]","[3, 0.0022828227114034417]","[1, 1.0]","[3, 0.00013019977695177075]","[5, 9.652538091943881e-12]","[100, 100]","[1, 1.0]","[2, 0.14432114546567845]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.01688184689256456]","[1, 1.0]","[4, 0.005932347672283442]","[2, 0.18992598399683688]","[5, 0.020243027255855115]","[3, 0.0001321671494179796]","[5, 0.003821260615043777]","[1, 1.0]","[5, 0.04082022432483748]","[2, 0.0314915168850208]","[1, 1.0]"
Verbal scaffolding:cognitive,"[1, 0.3239037183719731]","[100, 100]","[2, 0.65365496828745]","[1, 0.2492169160835381]","[5, 0.4538354113189119]","[1, 0.1842392603186931]","[1, 1.0]","[1, 1.0]","[2, 0.42647152218764006]","[1, 1.0]","[2, 0.4660882515910537]","[1, 1.0]","[3, 0.09587583000635394]","[0, 1]","[5, 4.4666199412551983e-13]","[1, 0.0023928688712345015]","[1, 0.28140290276471636]","[3, 0.20378320874008315]","[3, 0.014708864902362114]","[1, 0.048100392078697825]","[5, 4.4666199412551983e-13]","[100, 100]","[1, 1.0]","[3, 0.6777396306941507]","[1, 1.0]","[3, 0.3478124141933811]","[100, 100]","[1, 1.0]","[3, 0.15759456087885085]","[5, 0.00041161495734262475]","[1, 1.0]","[1, 1.0]","[5, 0.00264652444003706]","[3, 0.016031495105815575]","[5, 0.004312949376017271]","[3, 0.04087002471691727]","[5, 0.1504384883280356]","[1, 0.3446334432127951]","[5, 0.040975919088244286]","[5, 0.6316179730795286]"
Non-verbal scaffolding:cognitive,"[3, 0.12314596964113002]","[100, 100]","[1, 0.23740679276478227]","[4, 0.06059679586556419]","[2, 0.05642303367215492]","[3, 0.05535652499303123]","[2, 0.11904279230503127]","[1, 1.0]","[1, 0.09177661269952435]","[1, 1.0]","[1, 0.0030230201386725708]","[1, 1.0]","[3, 0.22108684623979372]","[5, 0.00015585817943287276]","[0, 1]","[1, 0.19408474887677996]","[3, 0.5187041297772188]","[1, 6.9964202872187726e-06]","[1, 1.0]","[3, 0.7754604685171393]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.9994249400083995]","[5, 0.9974011551290763]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.012876613781371737]","[5, 0.01752453685264339]","[1, 1.0]","[2, 0.09395906009700863]","[4, 5.531970475471972e-05]","[1, 0.0002734679853894757]","[1, 0.005350052709233538]","[5, 0.9988262139950883]","[3, 0.6215971667702529]","[1, 0.000654229786223071]","[1, 1.0]"
Parent gaze:child,"[5, 0.2331341101576063]","[100, 100]","[3, 0.061381672675522206]","[3, 0.005906921611547482]","[3, 0.3995458233671463]","[1, 0.27124040778907216]","[5, 0.0410067719940168]","[1, 1.0]","[1, 0.004089631162479386]","[1, 0.024178222544118933]","[3, 1.2079338342912815e-06]","[1, 1.0]","[5, 0.06532839312013869]","[1, 0.29711751852119883]","[1, 9.708673620883207e-05]","[0, 1]","[2, 6.7282323169418245e-06]","[2, 2.942476461860551e-09]","[2, 0.06353285016149045]","[3, 0.11941297179376258]","[1, 9.708673620883207e-05]","[100, 100]","[1, 4.802686204855623e-06]","[1, 0.06609895764519198]","[1, 0.2613493213945439]","[2, 0.32700180582543054]","[100, 100]","[3, 0.11498893444500743]","[3, 0.23800323457026198]","[5, 0.13112688155431904]","[5, 0.021977068513473304]","[3, 0.08111693518159654]","[4, 0.1833331477987985]","[4, 0.32314480889560165]","[5, 8.058878612011615e-07]","[2, 5.4070571790720216e-05]","[1, 0.2716013717377252]","[1, 0.0007432817356259651]","[1, 8.106914945846799e-08]","[1, 0.07475949370206689]"
Parent gaze:robot,"[5, 0.015529585631280672]","[100, 100]","[1, 0.0012840230266480536]","[2, 0.006683419016147375]","[1, 0.021616823739724608]","[3, 0.046984738056199384]","[2, 0.7368413498800805]","[1, 1.0]","[4, 8.077862189974624e-05]","[3, 0.9939603003521265]","[3, 0.04263089251723275]","[4, 0.27305762114941673]","[3, 0.0005636680249151423]","[5, 0.3707269911233331]","[4, 0.9997928107838946]","[2, 8.407823532189854e-15]","[0, 1]","[1, 0.0734507361869638]","[4, 0.08220074303778395]","[2, 0.41769609601600155]","[4, 0.9997928107838946]","[100, 100]","[2, 3.0411808882320293e-06]","[3, 0.21852442852746148]","[2, 0.17979448819431412]","[5, 0.2719866215459511]","[100, 100]","[2, 0.04625952847753103]","[5, 0.09782364809956767]","[3, 0.7897707272345061]","[5, 0.19776355328873138]","[5, 0.003026891758999031]","[5, 0.39484920502038623]","[3, 0.1313180890050559]","[4, 0.005096429510302676]","[2, 0.10431600033922318]","[5, 0.12362793599686368]","[1, 0.014670957491886774]","[1, 0.04574056483324316]","[1, 2.6847687745643173e-07]"
Parent gaze:props,"[2, 0.34612861626202723]","[100, 100]","[3, 1.879332470684209e-05]","[3, 0.18934762722485282]","[4, 2.216715924430194e-07]","[4, 0.10728680682257064]","[5, 0.06536880573739719]","[1, 1.0]","[3, 0.36593524266647676]","[1, 0.01051247034368542]","[5, 0.0002991632530348494]","[3, 0.14070371671553752]","[4, 3.838044381463479e-07]","[1, 0.21735336362165456]","[5, 0.12154481872919652]","[3, 0.00011354387369421753]","[5, 8.056755280554485e-07]","[0, 1]","[2, 0.4587957265454067]","[1, 0.31181860257751254]","[5, 0.12154481872919652]","[100, 100]","[1, 1.0]","[1, 0.03207561397968037]","[1, 0.00838610775624503]","[5, 0.4423067942672836]","[100, 100]","[1, 1.0]","[5, 0.17637678251930486]","[3, 0.12775737852350103]","[2, 0.3733734957417507]","[4, 0.04058648942539061]","[4, 0.5451598331473662]","[3, 0.07820448680066376]","[1, 0.040661794830290164]","[1, 0.03207561397967855]","[3, 0.08683500425701125]","[3, 0.049298980660147824]","[3, 0.01676732708198451]","[2, 0.24590984529784368]"
Parent affect:positive 2,"[1, 0.01780339579998578]","[100, 100]","[2, 0.05716139728047373]","[5, 0.25527494678686785]","[3, 0.0058788880862296776]","[3, 0.4004865932570185]","[1, 0.9996043890908938]","[1, 1.0]","[1, 0.11860688527445494]","[1, 1.0]","[1, 0.9997141220743497]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00026741397956257465]","[1, 0.00810048921299719]","[1, 0.17250200768789617]","[0, 1]","[2, 1.1260551819970605e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.05456086711129148]","[5, 0.03984815255432922]","[5, 0.0006448778974110636]","[100, 100]","[1, 1.0]","[4, 0.1601913185854924]","[1, 0.9995623174243736]","[1, 1.0]","[5, 0.04183172031377453]","[2, 0.037552815617953796]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9956839780378662]","[2, 0.04602282777260044]","[1, 0.11860688527445494]","[1, 0.07577932490576651]"
Parent affect:positive 1,"[4, 0.09546448142084846]","[100, 100]","[5, 0.11206324171259968]","[4, 0.11964259356545494]","[5, 0.13979376453681405]","[1, 0.2622160199023108]","[3, 0.6180830696712651]","[4, 0.0004993992273873336]","[2, 0.003816117798156755]","[2, 4.374920848756813e-05]","[1, 0.3345021594215927]","[1, 1.0]","[5, 0.9873144648500578]","[5, 0.006017602054687826]","[1, 0.010534684965402254]","[1, 0.0006115326003469768]","[1, 0.06754597989765117]","[1, 0.3345021594215927]","[1, 0.017966358045987795]","[0, 1]","[1, 0.010534684965402254]","[100, 100]","[1, 1.0]","[1, 0.0002734679853895009]","[3, 0.01920042967259198]","[5, 0.928828809484761]","[100, 100]","[1, 1.0]","[5, 0.4232931279257559]","[2, 0.33970378051351946]","[1, 0.02698310235239773]","[4, 0.656756368859406]","[3, 0.03726580779629096]","[2, 0.012416425569389372]","[2, 0.49958272736146936]","[4, 0.5195318899957654]","[5, 0.06478890295218515]","[1, 0.424674492411224]","[4, 0.39221568351860164]","[1, 0.21225349380377043]"
