,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:robot or prop,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:put down,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.2864626278975482]","[2, 0.10231075630616517]","[1, 0.6019735434356024]","[1, 0.07048097371832233]","[5, 0.0882407785802079]","[3, 0.0816852420647052]","[4, 0.7904818131530624]","[5, 3.411677002722413e-06]","[1, 0.003710863486327099]","[4, 0.05596564768717141]","[1, 0.9595352051897269]","[5, 0.053127258233523746]","[2, 0.18843322023784606]","[4, 0.8997976464281735]","[5, 0.29050596201880036]","[1, 0.41747142686498806]","[1, 1.0]","[1, 0.3472935820236426]","[1, 0.9991568561987032]","[1, 0.9857192230105278]","[5, 0.41606922327022755]","[5, 0.12600559711428255]","[100, 100]","[3, 0.07920435191767866]","[5, 0.13129494073761336]","[2, 0.39378708857315126]","[5, 0.8778790181966576]","[100, 100]","[3, 0.08466267084928247]","[1, 0.38485718171721206]","[1, 0.32438307534199073]","[5, 0.8785512531398479]","[2, 0.2727747078930717]","[4, 0.7070000219063164]","[4, 0.4937987486649663]","[5, 0.2185429964976704]","[5, 0.001954161960687185]","[1, 0.9992564264365366]","[5, 0.1599922210340075]","[1, 0.48717056654231783]","[2, 0.20124054322321583]","[5, 0.03167658614271387]"
Child gaze:robot,"[5, 0.6915908647273882]","[100, 100]","[1, 0.07490385454775124]","[2, 1.026414907167904e-18]","[5, 0.2657000976550773]","[2, 0.9972865546519848]","[2, 0.9863881602472704]","[1, 1.0]","[1, 0.3158373223324851]","[1, 0.23108549070023074]","[2, 0.40740624699716066]","[1, 1.0]","[1, 0.40761578198304926]","[1, 0.058083465803469944]","[3, 0.00037441862597216197]","[4, 0.05489075521104892]","[1, 0.074030517050637]","[2, 0.9932080229191985]","[1, 0.034641604696831134]","[2, 0.011377474651685498]","[3, 0.29222559500485934]","[1, 0.0005839301279676532]","[1, 0.42888868203142605]","[100, 100]","[3, 0.0021572864625974343]","[2, 0.9990868733779944]","[1, 0.04239914201241119]","[2, 0.08146911664240886]","[100, 100]","[2, 0.9863881602472704]","[1, 0.2056967018655278]","[2, 0.9902765218304269]","[5, 0.07660340620651908]","[2, 0.07521951403241156]","[3, 0.00011178220814497]","[4, 0.02744968674877072]","[3, 0.6675990555592413]","[1, 0.44895342956928086]","[4, 0.6085098722467339]","[5, 0.5928058980544458]","[4, 0.10952202853254361]","[2, 2.9553966663582578e-06]","[1, 0.07726856312262514]"
Child gaze:parent,"[2, 0.0858944838700293]","[1, 0.07488591507546503]","[100, 100]","[1, 1.2459339096669593e-05]","[1, 1.0]","[3, 0.3112473275358323]","[1, 1.0]","[1, 1.0]","[4, 0.27252457640610556]","[1, 0.044822552246298684]","[1, 0.13399959463083994]","[2, 0.00012007061293511637]","[3, 0.33367284906217454]","[1, 1.0]","[3, 0.0003253758029448428]","[3, 0.6838895564907942]","[5, 0.01921078217944321]","[5, 0.10552263645359386]","[5, 0.4431811755120003]","[1, 0.02341934454648105]","[4, 0.45476165026050475]","[3, 0.34181464295914926]","[3, 0.37564081443946085]","[100, 100]","[1, 1.0]","[1, 0.27563587512434407]","[1, 0.023692891626374515]","[2, 0.017701553511188302]","[100, 100]","[3, 0.0004285981694855687]","[1, 0.15885813714296038]","[4, 0.32354637868903846]","[4, 0.9993723230822713]","[5, 0.3423097874379618]","[2, 0.9978208266810631]","[2, 0.0008878530071957684]","[1, 0.36793464316981117]","[1, 0.010938435478082358]","[1, 0.04647605005929578]","[1, 0.9986342555978945]","[3, 0.7444199627362817]","[1, 0.012440955416911089]","[5, 0.00014941259949595816]"
Child gaze:props,"[4, 0.13861090409383559]","[1, 2.1883598568347427e-06]","[1, 1.0012690594172172e-05]","[100, 100]","[1, 1.0]","[1, 0.9727088056515655]","[3, 0.003359797688395834]","[3, 0.21110605690900536]","[3, 0.011139196549500727]","[3, 0.18729532392968867]","[3, 0.005463712104196285]","[2, 0.0011161520546513891]","[4, 0.06859149065550482]","[1, 0.00022694820455561147]","[2, 0.03631342006689206]","[4, 0.4154642790424792]","[3, 0.09149727828898084]","[5, 0.9999671935346193]","[3, 0.08472764278762034]","[1, 0.04974426442907512]","[3, 0.31149472541592177]","[1, 0.9816087938942367]","[4, 0.09296343367064266]","[100, 100]","[1, 0.007771988609750284]","[1, 0.34342476830239343]","[1, 8.042296504927062e-05]","[5, 0.9411272672508004]","[100, 100]","[1, 1.0]","[3, 0.17890004598731343]","[5, 0.8236411482528542]","[3, 0.21110605690900536]","[1, 0.31880026867475914]","[4, 0.05420476810477481]","[2, 0.2416133124072308]","[2, 0.7257895118298425]","[2, 0.7955015315854349]","[3, 0.13689190227309864]","[4, 0.38461096401806133]","[1, 0.002192174105593938]","[3, 0.02064340989692296]","[1, 0.00864190118234725]"
Child affect:positive 2,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5690305007986447]","[4, 0.381389841634541]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.000941295002799255]","[5, 0.020938977210725837]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.009929344961295734]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 1.3973257639665638e-41]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child affect:positive 1,"[1, 0.2530740782254456]","[4, 0.5765578465520147]","[2, 0.16786594437276187]","[1, 0.09681015988255373]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.6450455191876082]","[4, 0.48198434948514757]","[1, 1.0]","[1, 1.0]","[4, 0.0027554106550107312]","[1, 1.0]","[1, 1.0]","[3, 0.42144236656681244]","[3, 0.35221035392302097]","[1, 1.0]","[3, 0.01019714534020352]","[1, 1.0]","[1, 0.0038743787957051276]","[2, 0.04876988819126106]","[4, 0.005276419840811641]","[100, 100]","[1, 1.0]","[3, 0.2121377764291713]","[1, 1.0]","[3, 9.606561805774453e-07]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.0007187091526327881]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5561148240589886]","[5, 0.12016602099819804]","[4, 0.005187842511006462]","[1, 1.0]","[1, 1.0]","[4, 0.04402958150610908]","[2, 0.16786594437276187]"
Child affect:positive 3,"[4, 0.00496896832751884]","[1, 0.00014139138599848447]","[1, 1.0]","[2, 0.0009734924900482129]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.7362918291952007e-18]","[1, 1.0]","[1, 1.0]","[2, 0.016737548148488067]","[1, 1.0]","[1, 0.0007107703329551304]","[1, 1.0]","[1, 1.0]","[1, 3.0884145894944086e-08]","[1, 1.0]","[100, 100]","[3, 1.650553513383154e-40]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 9.932854277406598e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[2, 0.10546289568595917]","[1, 1.0]","[1, 1.0]","[5, 0.9979029216224077]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.16478888288535914]","[1, 0.0971592403145438]","[4, 0.006241000951524256]","[1, 1.0]","[5, 0.9300441582281072]","[1, 1.0]","[1, 1.0]","[5, 0.1089231147093054]","[4, 0.9992652848719514]","[1, 1.0]","[5, 0.18252576962612477]","[1, 1.0]","[5, 0.9705651604187389]","[1, 1.0]","[5, 0.9424505207778834]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.005772730337968892]","[100, 100]","[1, 1.0]","[5, 0.8070625465222119]","[5, 0.9657334261937984]","[1, 1.0]","[1, 1.0]","[1, 8.433728487529933e-10]","[1, 1.0]","[5, 0.7131524893143589]","[2, 0.11044635238089523]","[5, 0.912572997331762]","[1, 1.0]","[1, 1.0]","[5, 0.13480222338983147]","[1, 1.0]"
Parent utterance:utterance,"[5, 0.0005459123245686024]","[1, 0.04419809941301867]","[2, 0.0756178021587242]","[2, 0.19508005159765232]","[5, 0.9999074768501602]","[1, 0.03636864560289904]","[5, 0.041429294377555125]","[1, 0.005275600739776856]","[100, 100]","[3, 0.4044048845622137]","[3, 0.18490633541428467]","[5, 0.64243109634546]","[1, 0.0008437568998914232]","[5, 0.9993795790362989]","[1, 0.015770903405032764]","[3, 0.1605109876260805]","[4, 0.18710797082507408]","[5, 0.6852190107326304]","[1, 0.16201365608819052]","[1, 0.22627136976012557]","[1, 0.39427342870129467]","[2, 0.2283018528121882]","[1, 0.0012712516311041296]","[100, 100]","[3, 0.4943037049787544]","[5, 0.04591866924263099]","[1, 0.22627136976012557]","[3, 0.07726821166421077]","[100, 100]","[1, 1.0]","[2, 5.85637880937793e-05]","[4, 0.030797702636549656]","[5, 0.006809909069358254]","[3, 0.11325254918188296]","[4, 0.710006202624856]","[1, 0.31155678390128716]","[5, 0.46493851593119195]","[4, 0.07681377743179882]","[5, 0.0005765022161791997]","[3, 0.7132548996872794]","[1, 0.47809211389866924]","[3, 0.2677847523190646]","[4, 0.17301281713507324]"
Verbal scaffolding:cognitive,"[1, 0.010926931034787141]","[1, 0.07204362735273159]","[5, 0.4395267068808508]","[2, 0.20575856893300112]","[5, 0.9999375261462906]","[1, 0.01145751707044303]","[3, 0.03833291132085022]","[1, 0.000867309228936741]","[1, 0.4742242003448274]","[100, 100]","[3, 0.1912919346323654]","[1, 1.0]","[1, 0.0011605763526615451]","[3, 0.9987676332596592]","[1, 0.004668972152811954]","[1, 0.22704555050656186]","[2, 0.05741370822499761]","[5, 0.46408338203086075]","[3, 0.04356452839637028]","[1, 0.9540471416291985]","[3, 0.790399804066597]","[4, 0.18113883906608075]","[1, 0.0019207519820430585]","[100, 100]","[1, 0.9391978066275628]","[3, 0.028497681343916125]","[4, 0.12393801482297105]","[1, 0.36866160629771794]","[100, 100]","[1, 1.0]","[2, 3.279228232226553e-07]","[4, 0.004835492904406385]","[5, 0.000666826401143713]","[5, 0.60931694261903]","[5, 0.44341112505266256]","[3, 0.9990428021497583]","[1, 0.12256649270658508]","[4, 0.04069393542496974]","[5, 0.00033021758316770347]","[3, 0.5970564096039703]","[1, 0.40831126201705414]","[5, 0.15592089295494005]","[5, 0.42767562784762403]"
Verbal scaffolding:affective,"[5, 0.045734830741524284]","[1, 0.17968359997725744]","[5, 0.0022742589228591462]","[1, 0.2831602105155538]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9906853016421464]","[1, 0.9102748640684787]","[1, 0.9493125270412054]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9585367291156207]","[3, 0.27781356365506427]","[2, 0.12769374017989069]","[1, 1.0]","[4, 0.4019516172322453]","[1, 0.000554700323188843]","[2, 0.07482825593370908]","[4, 0.004203628406259138]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.0034482008631018185]","[1, 1.0]","[3, 0.05425419848747389]","[100, 100]","[1, 1.0]","[2, 0.012939543511304991]","[1, 1.0]","[1, 1.0]","[4, 0.5251200785572425]","[1, 1.0]","[5, 0.00031911865265187077]","[5, 0.015582516993008727]","[1, 0.29312296581787517]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.26834539236152605]","[5, 0.0001367311304211817]"
Verbal scaffolding:instruction translation,"[5, 0.04142560706876274]","[1, 1.0]","[3, 5.0014334990356276e-08]","[3, 2.2944121991400115e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.15596398243588938]","[5, 0.046533093871437024]","[1, 1.0]","[100, 100]","[5, 7.13161327074797e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.399462404034965e-05]","[100, 100]","[1, 1.0]","[5, 0.17375912216401818]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 9.113919558763674e-08]","[1, 1.0]","[5, 9.113919558762794e-08]","[1, 1.0]","[1, 1.0]","[5, 0.4833759188120035]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 5.460873507907645e-06]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[5, 0.7344850611409637]","[1, 0.4076157819830162]","[1, 0.3569211014604078]","[1, 0.0011623369340433827]","[1, 1.0]","[5, 0.8704041642341958]","[1, 1.0]","[3, 8.096821780164456e-05]","[2, 3.277861656160635e-05]","[2, 5.73424597015911e-07]","[1, 1.0]","[5, 0.010132731396781572]","[100, 100]","[3, 0.3689810333488518]","[2, 0.00035517545862653443]","[3, 0.07569009914847802]","[3, 0.5175691060130563]","[1, 1.0]","[1, 0.4615373920982012]","[1, 1.0]","[1, 0.16106138384167606]","[3, 0.6115149482695432]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.30603860378333325]","[3, 0.31434824372766]","[1, 0.2320989102918045]","[100, 100]","[1, 1.0]","[4, 6.929541207142029e-09]","[3, 0.6143965294792497]","[4, 3.879125553040361e-05]","[2, 0.08871430433626275]","[4, 0.32940732810809614]","[1, 1.0]","[5, 0.15402850268562696]","[1, 0.42767940931234305]","[1, 0.061161087387526784]","[3, 0.2070505188939924]","[1, 0.027716937484399327]","[4, 0.016820159537160904]","[1, 0.3569211014604078]"
Non-verbal scaffolding:technical,"[5, 0.8663998612644598]","[2, 0.971919949971102]","[1, 1.0]","[1, 0.06358744116893023]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.35484709496396205]","[3, 0.21135459462197798]","[1, 1.0]","[1, 1.0]","[4, 0.2250919340939461]","[100, 100]","[1, 1.0]","[3, 0.9962956689453648]","[4, 0.9997294687410206]","[1, 1.0]","[3, 0.9972942214572788]","[1, 1.0]","[1, 1.0]","[2, 0.942015727068121]","[4, 0.2703209511457394]","[100, 100]","[1, 1.0]","[5, 0.9999994902952473]","[4, 1.5022620082434415e-06]","[2, 0.942015727068121]","[100, 100]","[1, 1.0]","[2, 0.9295063061506146]","[1, 1.0]","[4, 6.004439950880914e-06]","[4, 0.151655370194705]","[1, 1.0]","[1, 1.0]","[5, 0.12498949920906643]","[1, 0.0691426128433973]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.07473186434032071]","[1, 1.0]"
Non-verbal scaffolding:affective,"[2, 0.03711118042585536]","[2, 0.16624745145539455]","[5, 0.0065994385132451035]","[2, 0.17821236356945858]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.2129524115250907]","[1, 0.1506328250855732]","[3, 5.9262790693328e-07]","[1, 1.0]","[1, 6.750533673516271e-05]","[1, 1.0]","[100, 100]","[1, 0.06082580347466575]","[3, 0.016424576048597216]","[1, 1.0]","[1, 0.09156442133166727]","[4, 1.2597389191525006e-05]","[3, 0.015725376719733078]","[1, 1.0]","[1, 0.00014139138599850677]","[100, 100]","[1, 1.0]","[4, 0.03870586749468391]","[1, 1.0]","[5, 0.9997486627354901]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.007893607327177254]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9982647945600783]","[2, 6.17255492569667e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.20365421307301593]","[2, 0.00011718749974453689]"
Parent gaze:robot,"[1, 0.03369706318840331]","[2, 0.21604938907427448]","[2, 0.03232400900631792]","[2, 0.7827256204699191]","[1, 0.0079200807080953]","[2, 0.24479722615583774]","[1, 1.0]","[1, 0.030292730595536537]","[2, 0.2250767297090985]","[1, 0.24097628313215425]","[3, 0.2783838356704098]","[1, 1.0]","[1, 0.4136336801023157]","[2, 0.1720282227463017]","[5, 0.23072789308689332]","[100, 100]","[1, 3.456626972524838e-07]","[1, 1.0]","[1, 1.38362351562919e-05]","[5, 0.5252306175790256]","[5, 0.8705533280927013]","[3, 0.09269911533323147]","[1, 0.4347164846670011]","[100, 100]","[1, 1.0]","[3, 0.8089260128019838]","[1, 0.9987621728042478]","[1, 0.26860681420216564]","[100, 100]","[1, 1.0]","[1, 0.21159248193898705]","[1, 0.004072255689832839]","[1, 1.0]","[2, 0.5800793111678599]","[5, 0.00925494678096535]","[5, 0.05874298124031251]","[1, 0.11734912004290894]","[3, 0.9036653466186412]","[1, 0.9989083508822957]","[4, 0.003317982762000676]","[4, 0.002011244704056799]","[1, 0.0025197941589919816]","[2, 0.08527509234996675]"
Parent gaze:child,"[3, 0.010941318475418457]","[2, 0.4900092257881853]","[2, 0.013647341410523053]","[1, 0.24392979127736047]","[5, 0.014367279971688945]","[5, 0.6587561318751859]","[4, 0.9912760758348917]","[1, 0.09925017094823836]","[1, 0.008009661391479876]","[1, 0.07079643103802999]","[1, 0.3128661458813542]","[1, 1.0]","[5, 0.030876457554254284]","[3, 0.5553745000366765]","[2, 0.020140421423763318]","[1, 0.015038806837978386]","[100, 100]","[1, 4.7963237035758224e-05]","[3, 3.0616137139272438e-09]","[1, 0.12670327725136865]","[4, 0.19732844247357986]","[2, 0.15508158343774864]","[5, 0.006738603390372564]","[100, 100]","[5, 0.13735203783488456]","[1, 0.46097319124530944]","[3, 0.5012855447209579]","[3, 0.30571348275628024]","[100, 100]","[2, 0.01656992977942867]","[1, 0.34154940951333607]","[4, 0.8421173069631525]","[3, 0.1381730269963945]","[2, 0.7308149814904539]","[2, 0.0651780129257003]","[2, 0.44132919317957586]","[4, 0.37582948092398566]","[1, 0.0042157280580704315]","[3, 0.6636526461747863]","[1, 0.9990769610288074]","[1, 0.11110594694561401]","[2, 0.015661368065558033]","[2, 0.3109545578897184]"
