,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.78
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.28
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.78
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.28
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.78
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.28
7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,22.78
8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.28
9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.78
10,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,24.28
11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,24.78
12,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.28
13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.78
14,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,26.28
15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.78
16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.28
17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.78
18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.28
19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.78
20,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.28
21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.78
22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.28
23,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,30.78
24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.28
25,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.78
26,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,32.28
27,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,32.78
28,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,33.28
29,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,33.78
30,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,34.28
31,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,34.78
32,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,35.28
33,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,35.78
34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,36.28
35,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,36.78
36,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,37.28
37,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,37.78
38,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,38.28
39,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,38.78
40,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,39.28
41,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,39.78
42,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,40.28
43,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,40.78
44,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,41.28
45,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,41.78
46,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,42.28
47,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,42.78
48,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,43.28
49,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,43.78
50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,44.28
51,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,44.78
52,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,45.28
53,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,45.78
54,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,46.28
55,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,46.78
