,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,62.92
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.120000000000005
2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.32000000000001
3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.52000000000001
4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.72000000000001
5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,63.920000000000016
6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,64.12000000000002
7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.32000000000002
8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.52000000000002
9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.72000000000003
10,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,64.92000000000003
11,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,65.12000000000003
12,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,65.32000000000004
13,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,65.52000000000004
14,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,65.72000000000004
15,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,65.92000000000004
16,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.12000000000005
17,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.32000000000005
18,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.52000000000005
19,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.72000000000006
20,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,66.92000000000006
21,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,67.12000000000006
22,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.32000000000006
23,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.52000000000007
24,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.72000000000007
25,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,67.92000000000007
26,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,68.12000000000008
27,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,68.32000000000008
28,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,68.52000000000008
29,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,68.72000000000008
30,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,68.92000000000009
31,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.12000000000009
32,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.32000000000009
33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.5200000000001
34,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.7200000000001
35,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,69.9200000000001
36,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.1200000000001
37,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.3200000000001
38,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.52000000000011
39,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.72000000000011
40,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,70.92000000000012
41,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,71.12000000000012
42,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,71.32000000000012
43,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,71.52000000000012
44,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,71.72000000000013
45,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,71.92000000000013
46,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,72.12000000000013
47,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,72.32000000000014
48,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,72.52000000000014
49,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,72.72000000000014
50,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,72.92000000000014
51,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,73.12000000000015
52,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,73.32000000000015
53,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,73.52000000000015
54,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,73.72000000000016
55,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,73.92000000000016
56,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,74.12000000000016
57,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,74.32000000000016
58,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,74.52000000000017
59,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,74.72000000000017
60,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,74.92000000000017
61,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.12000000000018
62,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.32000000000018
63,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.52000000000018
64,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.72000000000018
65,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,75.92000000000019
66,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.12000000000019
67,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.32000000000019
68,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.5200000000002
69,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.7200000000002
70,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,76.9200000000002
71,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,77.1200000000002
72,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,77.3200000000002
73,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,77.52000000000021
74,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,77.72000000000021
75,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,77.92000000000021
76,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.12000000000022
77,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.32000000000022
78,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.52000000000022
79,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.72000000000023
80,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,78.92000000000023
81,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.12000000000023
82,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.32000000000023
83,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.52000000000024
84,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.72000000000024
85,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,79.92000000000024
86,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,80.12000000000025
87,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,80.32000000000025
88,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,80.52000000000025
89,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,80.72000000000025
90,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,80.92000000000026
91,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,81.12000000000026
92,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,81.32000000000026
93,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,81.52000000000027
94,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,81.72000000000027
95,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,81.92000000000027
96,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,82.12000000000027
97,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,82.32000000000028
98,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,82.52000000000028
99,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,82.72000000000028
100,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,82.92000000000029
101,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,83.12000000000029
102,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,83.32000000000029
103,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,83.5200000000003
104,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,83.7200000000003
105,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,83.9200000000003
106,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,84.1200000000003
107,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,84.3200000000003
108,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,84.52000000000031
109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,84.72000000000031
110,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,84.92000000000031
111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,85.12000000000032
