,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[1],[1 2]
1,action,Child affect,action,Child gesture,[1],[1 2]
2,action,Child affect,action,Child prop manipulation,[4],[1 2]
3,action,Child affect,action,Child utterance,[3],[1 2]
4,action,Child affect,action,Conversational turns,[0 3 0 3 0 2 0 1],[1 2 3 4 5 6 7 8 9]
5,action,Child affect,action,Joint attention,[2],[1 2]
6,action,Child affect,action,Non-verbal scaffolding,[3 3],[1 2 3]
7,action,Child affect,action,Parent affect,[1],[1 2]
8,action,Child affect,action,Parent gaze,[1 1],[1 2 3]
9,action,Child affect,action,Parent gesture,[2 2],[1 2 3]
10,action,Child affect,action,Parent prop manipulation,[2],[1 2]
11,action,Child affect,action,Parent utterance,[3 5 2 1],[1 2 3 4 5]
12,action,Child affect,action,Verbal scaffolding,[3 3 1],[1 2 3 4]
13,action,Child affect,action,robot pointing,[2],[1 2]
14,action,Child affect,action,robot text,[8],[1 2]
15,action,Child affect,sub_action,CP,[3],[1 2]
16,action,Child affect,sub_action,CPC,[3],[1 2]
17,action,Child affect,sub_action,PC,[3 5 1],[1 2 3 4]
18,action,Child affect,sub_action,PCP,[3 5 1],[1 2 3 4]
19,action,Child affect,sub_action,affective,[2],[1 2]
20,action,Child affect,sub_action,child,[4 1],[1 2 3]
21,action,Child affect,sub_action,cognitive,[1 1 1 2],[1 2 3 4 5]
22,action,Child affect,sub_action,correction,[1],[1 2]
23,action,Child affect,sub_action,missing data,[],[1]
24,action,Child affect,sub_action,negative,[],[1]
25,action,Child affect,sub_action,other,[1],[1 2]
26,action,Child affect,sub_action,parent,[2],[1 2]
27,action,Child affect,sub_action,pick up,[2],[1 2]
28,action,Child affect,sub_action,point at prop,[4 2],[1 2 3]
29,action,Child affect,sub_action,positive 1,[2],[1 2]
30,action,Child affect,sub_action,positive 2,[],[1]
31,action,Child affect,sub_action,positive feedback,[1],[1 2]
32,action,Child affect,sub_action,put down,[2],[1 2]
33,action,Child affect,sub_action,song,[],[1]
34,action,Child affect,sub_action,tablet,[0 2],[1 2 3]
35,action,Child affect,sub_action,teach,[2],[1 2]
36,action,Child affect,sub_action,technical,[5],[1 2]
37,action,Child affect,sub_action,try again,[],[1]
38,action,Child affect,sub_action,utterance,[3 4 1 3],[1 2 3 4 5]
39,action,Child affect,action:sub_action,Child affect:negative,[],[1]
40,action,Child affect,action:sub_action,Child affect:positive 1,[1],[1 2]
41,action,Child affect,action:sub_action,Child affect:positive 2,[],[1]
42,action,Child affect,action:sub_action,Child gaze:tablet,[1],[1 2]
43,action,Child affect,action:sub_action,Child gesture:other,[1],[1 2]
44,action,Child affect,action:sub_action,Child prop manipulation:child,[4],[1 2]
45,action,Child affect,action:sub_action,Child utterance:utterance,[3],[1 2]
46,action,Child affect,action:sub_action,Conversational turns:CP,[3],[1 2]
47,action,Child affect,action:sub_action,Conversational turns:CPC,[3],[1 2]
48,action,Child affect,action:sub_action,Conversational turns:PC,[3 5 1],[1 2 3 4]
49,action,Child affect,action:sub_action,Conversational turns:PCP,[3 5 1],[1 2 3 4]
50,action,Child affect,action:sub_action,Joint attention:tablet,[2],[1 2]
51,action,Child affect,action:sub_action,Non-verbal scaffolding:cognitive,[2 2],[1 2 3]
52,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[3],[1 2]
53,action,Child affect,action:sub_action,Parent affect:positive 1,[1],[1 2]
54,action,Child affect,action:sub_action,Parent affect:positive 2,[],[1]
55,action,Child affect,action:sub_action,Parent gaze:child,[2],[1 2]
56,action,Child affect,action:sub_action,Parent gaze:missing data,[],[1]
57,action,Child affect,action:sub_action,Parent gaze:tablet,[1],[1 2]
58,action,Child affect,action:sub_action,Parent gesture:other,[],[1]
59,action,Child affect,action:sub_action,Parent gesture:point at prop,[2 2],[1 2 3]
60,action,Child affect,action:sub_action,Parent prop manipulation:parent,[2],[1 2]
61,action,Child affect,action:sub_action,Parent utterance:missing data,[],[1]
62,action,Child affect,action:sub_action,Parent utterance:utterance,[3 5 2 1],[1 2 3 4 5]
63,action,Child affect,action:sub_action,Verbal scaffolding:affective,[2],[1 2]
64,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[2 3],[1 2 3]
65,action,Child affect,action:sub_action,Verbal scaffolding:technical,[2],[1 2]
66,action,Child affect,action:sub_action,robot pointing:point at prop,[2],[1 2]
67,action,Child affect,action:sub_action,robot text:correction,[1],[1 2]
68,action,Child affect,action:sub_action,robot text:other,[],[1]
69,action,Child affect,action:sub_action,robot text:pick up,[2],[1 2]
70,action,Child affect,action:sub_action,robot text:positive feedback,[1],[1 2]
71,action,Child affect,action:sub_action,robot text:put down,[2],[1 2]
72,action,Child affect,action:sub_action,robot text:song,[],[1]
73,action,Child affect,action:sub_action,robot text:teach,[2],[1 2]
74,action,Child affect,action:sub_action,robot text:try again,[],[1]
75,action,Child gaze,action,Child affect,[1],[1 2]
76,action,Child gaze,action,Child gesture,[1],[1 2]
77,action,Child gaze,action,Child prop manipulation,[1],[1 2]
78,action,Child gaze,action,Child utterance,[2],[1 2]
79,action,Child gaze,action,Conversational turns,[1 1],[1 2 3]
80,action,Child gaze,action,Joint attention,[3],[1 2]
81,action,Child gaze,action,Non-verbal scaffolding,[3 1],[1 2 3]
82,action,Child gaze,action,Parent affect,[],[1]
83,action,Child gaze,action,Parent gaze,[1],[1 2]
84,action,Child gaze,action,Parent gesture,[2 1],[1 2 3]
85,action,Child gaze,action,Parent prop manipulation,[2],[1 2]
86,action,Child gaze,action,Parent utterance,[3 1 1],[1 2 3 4]
87,action,Child gaze,action,Verbal scaffolding,[1],[1 2]
88,action,Child gaze,action,robot pointing,[2],[1 2]
89,action,Child gaze,action,robot text,[4],[1 2]
90,action,Child gaze,sub_action,CP,[2],[1 2]
91,action,Child gaze,sub_action,CPC,[1],[1 2]
92,action,Child gaze,sub_action,PC,[],[1]
93,action,Child gaze,sub_action,PCP,[],[1]
94,action,Child gaze,sub_action,affective,[],[1]
95,action,Child gaze,sub_action,child,[1],[1 2]
96,action,Child gaze,sub_action,cognitive,[1 2],[1 2 3]
97,action,Child gaze,sub_action,correction,[1],[1 2]
98,action,Child gaze,sub_action,missing data,[0 1],[1 2 3]
99,action,Child gaze,sub_action,negative,[1],[1 2]
100,action,Child gaze,sub_action,other,[1],[1 2]
101,action,Child gaze,sub_action,parent,[2],[1 2]
102,action,Child gaze,sub_action,pick up,[1],[1 2]
103,action,Child gaze,sub_action,point at prop,[2 2],[1 2 3]
104,action,Child gaze,sub_action,positive 1,[],[1]
105,action,Child gaze,sub_action,positive 2,[],[1]
106,action,Child gaze,sub_action,positive feedback,[],[1]
107,action,Child gaze,sub_action,put down,[],[1]
108,action,Child gaze,sub_action,song,[],[1]
109,action,Child gaze,sub_action,tablet,[2 2 1],[1 2 3 4]
110,action,Child gaze,sub_action,teach,[2],[1 2]
111,action,Child gaze,sub_action,technical,[1],[1 2]
112,action,Child gaze,sub_action,try again,[],[1]
113,action,Child gaze,sub_action,utterance,[3 1 1],[1 2 3 4]
114,action,Child gaze,action:sub_action,Child affect:negative,[1],[1 2]
115,action,Child gaze,action:sub_action,Child affect:positive 1,[],[1]
116,action,Child gaze,action:sub_action,Child affect:positive 2,[],[1]
117,action,Child gaze,action:sub_action,Child gaze:tablet,[5],[1 2]
118,action,Child gaze,action:sub_action,Child gesture:other,[1],[1 2]
119,action,Child gaze,action:sub_action,Child prop manipulation:child,[1],[1 2]
120,action,Child gaze,action:sub_action,Child utterance:utterance,[2],[1 2]
121,action,Child gaze,action:sub_action,Conversational turns:CP,[2],[1 2]
122,action,Child gaze,action:sub_action,Conversational turns:CPC,[1],[1 2]
123,action,Child gaze,action:sub_action,Conversational turns:PC,[],[1]
124,action,Child gaze,action:sub_action,Conversational turns:PCP,[],[1]
125,action,Child gaze,action:sub_action,Joint attention:tablet,[3],[1 2]
126,action,Child gaze,action:sub_action,Non-verbal scaffolding:cognitive,[2 1],[1 2 3]
127,action,Child gaze,action:sub_action,Non-verbal scaffolding:technical,[1],[1 2]
128,action,Child gaze,action:sub_action,Parent affect:positive 1,[],[1]
129,action,Child gaze,action:sub_action,Parent affect:positive 2,[],[1]
130,action,Child gaze,action:sub_action,Parent gaze:child,[],[1]
131,action,Child gaze,action:sub_action,Parent gaze:missing data,[],[1]
132,action,Child gaze,action:sub_action,Parent gaze:tablet,[1],[1 2]
133,action,Child gaze,action:sub_action,Parent gesture:other,[],[1]
134,action,Child gaze,action:sub_action,Parent gesture:point at prop,[2 1],[1 2 3]
135,action,Child gaze,action:sub_action,Parent prop manipulation:parent,[2],[1 2]
136,action,Child gaze,action:sub_action,Parent utterance:missing data,[0 1],[1 2 3]
137,action,Child gaze,action:sub_action,Parent utterance:utterance,[3 0 1],[1 2 3 4]
138,action,Child gaze,action:sub_action,Verbal scaffolding:affective,[],[1]
139,action,Child gaze,action:sub_action,Verbal scaffolding:cognitive,[1],[1 2]
140,action,Child gaze,action:sub_action,Verbal scaffolding:technical,[],[1]
141,action,Child gaze,action:sub_action,robot pointing:point at prop,[2],[1 2]
142,action,Child gaze,action:sub_action,robot text:correction,[1],[1 2]
143,action,Child gaze,action:sub_action,robot text:other,[],[1]
144,action,Child gaze,action:sub_action,robot text:pick up,[1],[1 2]
145,action,Child gaze,action:sub_action,robot text:positive feedback,[],[1]
146,action,Child gaze,action:sub_action,robot text:put down,[],[1]
147,action,Child gaze,action:sub_action,robot text:song,[],[1]
148,action,Child gaze,action:sub_action,robot text:teach,[2],[1 2]
149,action,Child gaze,action:sub_action,robot text:try again,[],[1]
150,action,Child gesture,action,Child affect,[1],[1 2]
151,action,Child gesture,action,Child gaze,[],[1]
152,action,Child gesture,action,Child prop manipulation,[],[1]
153,action,Child gesture,action,Child utterance,[0 1],[1 2 3]
154,action,Child gesture,action,Conversational turns,[0 2 0 0 0 1],[1 2 3 4 5 6 7]
155,action,Child gesture,action,Joint attention,[],[1]
156,action,Child gesture,action,Non-verbal scaffolding,[1],[1 2]
157,action,Child gesture,action,Parent affect,[1],[1 2]
158,action,Child gesture,action,Parent gaze,[],[1]
159,action,Child gesture,action,Parent gesture,[1],[1 2]
160,action,Child gesture,action,Parent prop manipulation,[],[1]
161,action,Child gesture,action,Parent utterance,[3],[1 2]
162,action,Child gesture,action,Verbal scaffolding,[3],[1 2]
163,action,Child gesture,action,robot pointing,[1],[1 2]
164,action,Child gesture,action,robot text,[1],[1 2]
165,action,Child gesture,sub_action,CP,[0 1],[1 2 3]
166,action,Child gesture,sub_action,CPC,[0 1],[1 2 3]
167,action,Child gesture,sub_action,PC,[3],[1 2]
168,action,Child gesture,sub_action,PCP,[3],[1 2]
169,action,Child gesture,sub_action,affective,[1],[1 2]
170,action,Child gesture,sub_action,child,[],[1]
171,action,Child gesture,sub_action,cognitive,[1 1],[1 2 3]
172,action,Child gesture,sub_action,correction,[],[1]
173,action,Child gesture,sub_action,missing data,[],[1]
174,action,Child gesture,sub_action,negative,[1],[1 2]
175,action,Child gesture,sub_action,other,[],[1]
176,action,Child gesture,sub_action,parent,[],[1]
177,action,Child gesture,sub_action,pick up,[],[1]
178,action,Child gesture,sub_action,point at prop,[2],[1 2]
179,action,Child gesture,sub_action,positive 1,[1],[1 2]
180,action,Child gesture,sub_action,positive 2,[],[1]
181,action,Child gesture,sub_action,positive feedback,[],[1]
182,action,Child gesture,sub_action,put down,[],[1]
183,action,Child gesture,sub_action,song,[],[1]
184,action,Child gesture,sub_action,tablet,[],[1]
185,action,Child gesture,sub_action,teach,[1],[1 2]
186,action,Child gesture,sub_action,technical,[],[1]
187,action,Child gesture,sub_action,try again,[],[1]
188,action,Child gesture,sub_action,utterance,[2 0 1],[1 2 3 4]
189,action,Child gesture,action:sub_action,Child affect:negative,[1],[1 2]
190,action,Child gesture,action:sub_action,Child affect:positive 1,[],[1]
