,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:song,robot text:other,robot text:teach,robot text:put down,robot text:pick up,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[5, 0.675597357202729]","[4, 0.608785387177742]","[4, 0.0005818827787666389]","[100, 100]","[5, 0.004843063803516746]","[1, 1.0]","[4, 0.1305632233894909]","[4, 0.8607865507755492]","[4, 2.51419349921544e-44]","[1, 1.0]","[1, 1.0]","[2, 0.35885338838030895]","[1, 1.0]","[1, 0.2635322353116326]","[4, 0.006410870869561096]","[2, 0.17093053249667217]","[1, 0.9961779639751933]","[3, 0.10379913705336329]","[1, 1.0]","[2, 0.4079826835591913]","[3, 0.0005819058030048483]","[4, 0.9995882580656251]","[1, 1.0]","[1, 0.05795002080086779]","[4, 0.9999999988903195]","[100, 100]","[1, 0.012940522064259845]","[1, 1.0]","[5, 0.18270276898156862]","[1, 1.0]","[1, 1.0]","[5, 0.01420917061810107]","[5, 5.470829458370382e-06]","[5, 0.9972769331975377]","[5, 0.0031990740719134757]","[4, 0.7675903954161941]","[1, 0.25305751347733485]","[1, 0.993378114560224]"
Child gaze:robot,"[1, 0.27397649164102433]","[100, 100]","[5, 3.612744524612413e-22]","[2, 0.24519308830904543]","[100, 100]","[2, 0.469840264689085]","[3, 0.008143549663421443]","[4, 0.010829539203259051]","[5, 0.14600899639351875]","[4, 0.9982186547314147]","[4, 0.002972032859910235]","[2, 0.691895544168599]","[1, 0.013313632970041348]","[2, 0.07354461151780534]","[2, 0.05771404526711632]","[1, 0.4046131134441121]","[2, 0.00042913848039676113]","[5, 0.04442204759666258]","[5, 0.7627496336840416]","[2, 0.01962176593865834]","[1, 0.003865552307393889]","[3, 0.3726237194529947]","[2, 0.1507870903082706]","[5, 0.5299174607995736]","[1, 0.4079466698517443]","[1, 1.0]","[100, 100]","[2, 0.10767355835023786]","[3, 0.5869147010090008]","[3, 0.04119869991761326]","[5, 0.0011571370462566254]","[5, 0.013911716438194577]","[3, 0.0038334197628158537]","[2, 0.4929981522758553]","[1, 0.12488795690018249]","[4, 0.26017573393530175]","[2, 0.10999153312740809]","[2, 7.77672733968955e-06]","[1, 1.0]"
Child gaze:props,"[2, 0.0039560982505186595]","[2, 1.552171004262947e-21]","[100, 100]","[1, 0.0003590523348014841]","[100, 100]","[5, 0.009338705172783287]","[4, 0.6075197124847758]","[4, 0.10148236128300393]","[1, 0.01107918996958834]","[4, 0.999725322246536]","[5, 0.006007164352171654]","[4, 0.4004112368954401]","[1, 0.013318015367914545]","[2, 0.08100267072344816]","[5, 0.0648237187735252]","[2, 0.6799434999308664]","[2, 0.19531970704767218]","[3, 0.019169805356385818]","[5, 0.7716557259505716]","[4, 0.03881837542148686]","[1, 0.0038194676213176852]","[3, 0.3621950715613455]","[2, 0.019760314484650186]","[2, 0.9901469446685705]","[2, 0.2079214891063528]","[4, 0.9999999999568869]","[100, 100]","[5, 0.0875094383068161]","[2, 0.1571008527088152]","[4, 0.1122096473043726]","[5, 0.0015416891291102947]","[1, 0.0710750303804348]","[4, 0.16115391213282193]","[2, 0.05539120761299971]","[1, 0.13355384726121708]","[1, 0.9983414852978971]","[1, 3.4852831518888966e-05]","[4, 0.4720305298109526]","[1, 0.9971265154403335]"
Child gaze:parent,"[1, 1.0582543514347848e-17]","[5, 0.9856778186492161]","[1, 0.07578130630743915]","[100, 100]","[100, 100]","[1, 0.9967813714051506]","[5, 0.9777173307569875]","[3, 0.14704912527081637]","[5, 0.5326120511051277]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9938484719870813]","[1, 1.0]","[1, 0.9984556648123727]","[1, 0.9978650485270556]","[5, 0.996646124616829]","[1, 0.9938361715041494]","[2, 0.9999931068011968]","[1, 1.0]","[5, 0.9955135118939585]","[5, 3.0148777680014068e-09]","[1, 1.0]","[1, 1.0]","[2, 7.410473717302711e-05]","[4, 0.9999999959581791]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9931740420881282]","[1, 4.5098207361748843e-07]","[1, 5.2414972531005045e-06]","[1, 0.9959651479377194]","[1, 0.9938361715041494]","[1, 1.0]","[1, 0.0652444107536468]","[5, 0.04012162297958241]"
Child affect:positive 3,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 2,"[4, 0.0005889597977581875]","[1, 0.2775675996293061]","[2, 0.48624467068745725]","[1, 0.9964744863175571]","[100, 100]","[100, 100]","[2, 0.9996943427520234]","[4, 0.014004792159596208]","[4, 0.0009957375184973035]","[1, 1.0]","[1, 1.0]","[1, 0.023269608677454104]","[1, 0.8868369186021179]","[1, 1.0]","[2, 0.01659605785266285]","[1, 0.9984234513758348]","[2, 0.003489354094171304]","[5, 3.7926298230405304e-08]","[3, 0.0613484816568906]","[3, 0.9999999943188183]","[1, 0.8941154634074965]","[1, 0.9964744863175571]","[2, 0.24027333841859844]","[1, 1.0]","[2, 0.9998477457539002]","[2, 2.1430865949520027e-23]","[100, 100]","[2, 0.9997382901581645]","[1, 1.0]","[4, 0.05063453375758495]","[1, 1.0]","[2, 0.07638154876810886]","[5, 2.6240626057524485e-08]","[4, 0.03276722125097051]","[1, 0.9970204706311893]","[5, 4.0867690966949856e-08]","[2, 0.999925599637602]","[2, 0.013605454217027958]","[1, 0.9921139916959758]"
Child affect:positive 1,"[1, 0.998164285086133]","[5, 0.6171860518673065]","[4, 0.8749079465616927]","[2, 0.00015931117481120445]","[100, 100]","[1, 0.005053339137096908]","[100, 100]","[2, 0.7061296893947617]","[5, 0.2083877466990965]","[1, 1.0]","[1, 1.0]","[4, 0.06856968398377539]","[3, 0.2501063933802977]","[5, 0.010854202318974493]","[2, 0.5332503739550154]","[4, 0.4861093255932615]","[1, 0.18896745642459953]","[1, 0.9961782271665878]","[2, 0.9999973338621462]","[4, 0.07064021868473735]","[3, 0.3090492823346345]","[1, 0.9970398395876522]","[4, 0.3081683617021173]","[1, 1.0]","[2, 0.1659706999616985]","[4, 0.9999999994039223]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.03773559751417795]","[3, 0.02067006305073403]","[1, 0.9980043553610861]","[3, 0.006060496014827937]","[1, 0.9961782271665878]","[4, 0.7747088312038886]","[1, 0.2530671240703108]","[2, 5.330078149378571e-21]"
Parent utterance:utterance,"[1, 0.008329761349870882]","[1, 0.26529367424209516]","[1, 0.2775529409484546]","[1, 0.1626568243730237]","[100, 100]","[4, 0.7384931506944608]","[1, 0.4145354361001412]","[100, 100]","[1, 0.4791572871373898]","[2, 0.131053325726577]","[5, 0.8194252564633377]","[4, 0.6915170231945784]","[5, 0.005488090698368113]","[4, 0.19473875055773956]","[1, 0.24501836572233715]","[2, 0.34012233368275274]","[4, 0.046674037450519554]","[2, 0.19631249855333582]","[1, 0.48045245507836953]","[1, 0.3243860658013706]","[5, 0.0011543661528634918]","[3, 0.03358381849350799]","[3, 0.10709929254687643]","[3, 0.0076855150923754645]","[5, 0.2210414735725769]","[1, 0.03257247557769085]","[100, 100]","[1, 0.4200019957154745]","[2, 0.07590003110955551]","[4, 0.30130729860586847]","[5, 0.4071850794112166]","[3, 0.9237087282948412]","[2, 0.30799297931122316]","[1, 0.09117314521684665]","[1, 0.8208491863572142]","[4, 0.04510309817617048]","[2, 0.42612101978244465]","[5, 0.27462708209485526]","[3, 0.9969475790230078]"
Verbal scaffolding:cognitive,"[1, 0.0024196018598071026]","[2, 0.1354007125685116]","[3, 0.2996283263487099]","[1, 0.014742202476873256]","[100, 100]","[5, 0.9941506720825232]","[1, 0.11699141413458107]","[5, 0.9863809502853584]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.9999898841357033]","[5, 0.04508693617015267]","[1, 1.0]","[1, 0.5133679888809592]","[1, 0.2777381638159691]","[1, 0.12458998376379964]","[2, 0.9999999948310374]","[3, 0.012021856331300776]","[5, 0.11796079607969759]","[5, 0.08349225414805019]","[2, 0.999999996898288]","[1, 0.365638813924116]","[1, 1.0]","[5, 0.041216272453762096]","[3, 0.9979515109530456]","[100, 100]","[4, 0.44994277965063245]","[5, 0.8209886957415378]","[3, 0.019272966365027445]","[1, 1.0]","[1, 1.0]","[1, 0.0697752560741802]","[2, 0.07672355138401454]","[2, 0.9944121363018912]","[5, 0.9997719878007754]","[2, 0.30038514336703265]","[1, 0.18133635977101908]","[2, 0.999999984471794]"
Verbal scaffolding:instruction translation,"[1, 2.2695214998941144e-11]","[2, 0.020067946962734284]","[3, 0.046917774619368205]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.9058649547696964]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.08206983389841033]","[1, 1.0]","[5, 0.5813422977132213]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 6.906975441882084e-06]","[1, 1.0]","[100, 100]","[2, 1.0388150117602218e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.9479128553184393e-13]","[1, 1.0]","[1, 1.0]","[2, 0.003165771114449153]","[5, 0.7224226499341448]","[1, 1.0]"
