,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
60,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.239999999999956
61,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.439999999999955
62,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.639999999999954
63,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.839999999999954
64,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.039999999999953
65,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.239999999999952
66,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.43999999999995
67,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.63999999999995
68,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.83999999999995
69,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31.03999999999995
70,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.23999999999995
71,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.439999999999948
72,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,31.639999999999947
73,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,31.839999999999947
74,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.03999999999995
75,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.239999999999945
76,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.43999999999994
77,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.639999999999944
78,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.83999999999995
79,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.03999999999994
80,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.23999999999994
81,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,33.43999999999994
82,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,33.639999999999944
83,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,33.83999999999994
84,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.039999999999935
85,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34.23999999999994
86,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,34.43999999999994
87,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,34.63999999999994
88,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,34.83999999999993
89,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,35.039999999999935
90,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,35.23999999999994
91,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,35.439999999999934
92,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,35.63999999999993
93,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,35.83999999999993
94,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,36.039999999999935
95,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,36.23999999999993
96,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,36.43999999999993
97,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,36.63999999999993
98,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,36.83999999999993
99,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,37.03999999999993
100,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,37.239999999999924
101,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,37.43999999999993
102,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,37.63999999999993
103,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,37.839999999999925
104,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,38.03999999999992
105,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.239999999999924
106,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.43999999999993
107,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.63999999999992
108,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.83999999999992
109,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.03999999999992
110,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.239999999999924
111,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.43999999999992
112,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.639999999999915
113,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,39.83999999999992
114,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,40.03999999999992
115,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,40.23999999999992
116,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,40.43999999999991
117,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,40.639999999999915
118,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,40.83999999999992
119,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,41.039999999999914
120,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,41.23999999999991
121,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,41.43999999999991
122,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,41.639999999999915
123,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,41.83999999999991
124,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,42.03999999999991
125,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,42.23999999999991
126,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,42.43999999999991
127,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,42.63999999999991
128,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,42.839999999999904
129,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,43.03999999999991
130,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,43.23999999999991
131,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,43.439999999999905
132,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,43.6399999999999
133,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,43.839999999999904
134,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,44.03999999999991
135,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,44.2399999999999
136,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,44.4399999999999
137,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,44.6399999999999
138,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,44.839999999999904
139,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,45.0399999999999
140,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,45.239999999999895
141,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,45.4399999999999
142,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,45.6399999999999
143,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,45.8399999999999
144,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,46.03999999999989
145,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,46.239999999999895
146,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,46.4399999999999
147,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,46.639999999999894
148,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,46.83999999999989
149,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,47.03999999999989
150,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,47.239999999999895
151,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,47.43999999999989
152,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,47.63999999999989
153,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,47.83999999999989
154,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,48.03999999999989
155,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,48.23999999999989
156,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,48.439999999999884
157,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,48.63999999999989
158,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,48.83999999999989
159,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,49.039999999999885
160,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,49.23999999999988
161,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,49.439999999999884
162,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,49.63999999999989
163,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,49.839999999999876
164,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50.03999999999988
165,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,50.23999999999988
166,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,50.439999999999884
167,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,50.63999999999987
168,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,50.839999999999876
169,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,51.03999999999988
170,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,51.23999999999988
171,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,51.43999999999987
172,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,51.63999999999987
173,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,51.839999999999876
174,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,52.03999999999988
175,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,52.23999999999987
176,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,52.43999999999987
177,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,52.63999999999987
178,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,52.839999999999876
179,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.039999999999864
180,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.23999999999987
181,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.43999999999987
182,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,53.63999999999987
183,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,53.83999999999986
184,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,54.039999999999864
185,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,54.23999999999987
186,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,54.43999999999987
187,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,54.63999999999986
188,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,54.83999999999986
189,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,55.039999999999864
190,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,55.23999999999987
191,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,55.439999999999856
192,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,55.63999999999986
193,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,55.83999999999986
194,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,56.039999999999864
195,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,56.23999999999985
196,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,56.439999999999856
197,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,56.63999999999986
198,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,56.83999999999986
199,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,57.03999999999985
200,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,57.23999999999985
201,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,57.439999999999856
202,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,57.63999999999986
203,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,57.83999999999985
204,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,58.03999999999985
205,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,58.23999999999985
206,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,58.439999999999856
207,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,58.639999999999844
208,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,58.83999999999985
209,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,59.03999999999985
210,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,59.23999999999985
211,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,59.43999999999984
212,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,59.639999999999844
213,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,59.83999999999985
