,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,177.04
1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,177.23999999999998
2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,177.43999999999997
3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,177.63999999999996
4,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,177.83999999999995
5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,178.03999999999994
6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,178.23999999999992
7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,178.4399999999999
8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,178.6399999999999
9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,178.8399999999999
10,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,179.03999999999988
11,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,179.23999999999987
12,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,179.43999999999986
13,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,179.63999999999984
14,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,179.83999999999983
15,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,180.03999999999982
16,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,180.2399999999998
17,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,180.4399999999998
18,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,180.6399999999998
19,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,180.83999999999978
20,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.03999999999976
21,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.23999999999975
22,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.43999999999974
23,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.63999999999973
24,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.83999999999972
25,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,182.0399999999997
26,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,182.2399999999997
27,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,182.43999999999969
28,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,182.63999999999967
29,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,182.83999999999966
30,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,183.03999999999965
31,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,183.23999999999964
32,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,183.43999999999963
33,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,183.63999999999962
34,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,183.8399999999996
