,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,8.56
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,9.06
2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,9.56
3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,10.06
4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10.56
5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,11.06
6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.56
7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,12.06
8,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,12.56
9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13.06
10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,13.56
11,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,14.06
12,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,14.56
13,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,15.06
14,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,15.56
15,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,16.060000000000002
16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16.560000000000002
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.060000000000002
18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,17.560000000000002
19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18.060000000000002
20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18.560000000000002
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,19.060000000000002
22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,19.560000000000002
23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,20.060000000000002
24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,20.560000000000002
25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.060000000000002
26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,21.560000000000002
27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,22.060000000000002
28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,22.560000000000002
29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.060000000000002
30,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.560000000000002
31,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.060000000000002
32,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.560000000000002
33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,25.060000000000002
34,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,25.560000000000002
35,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.060000000000002
36,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.560000000000002
37,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.060000000000002
38,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.560000000000002
39,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,28.060000000000002
40,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,28.560000000000002
41,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,29.060000000000002
42,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,29.560000000000002
43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.060000000000002
44,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.560000000000002
45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,31.060000000000002
46,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,31.560000000000002
47,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,32.06
48,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,32.56
49,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,33.06
50,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,33.56
51,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,34.06
52,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,34.56
53,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,35.06
54,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,35.56
55,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,36.06
56,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,36.56
57,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,37.06
58,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,37.56
59,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.06
60,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,38.56
61,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.06
62,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,39.56
63,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,40.06
64,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,40.56
65,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,41.06
66,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,41.56
67,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,42.06
68,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,42.56
69,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,43.06
70,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,43.56
71,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,44.06
72,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,44.56
73,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,45.06
74,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,45.56
75,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,46.06
76,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,46.56
77,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,47.06
78,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,47.56
79,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,48.06
80,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,48.56
81,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,49.06
82,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,49.56
83,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,50.06
84,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,50.56
85,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,51.06
86,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,51.56
87,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,52.06
88,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,52.56
89,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,53.06
90,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.56
91,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,54.06
92,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,54.56
93,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,55.06
94,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,55.56
95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,56.06
96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,56.56
97,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,57.06
98,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,57.56
99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,58.06
100,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,58.56
101,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,59.06
102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,59.56
103,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,60.06
104,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,60.56
105,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,61.06
106,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,61.56
107,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,62.06
108,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,62.56
109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,63.06
110,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,63.56
111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,64.06
112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,64.56
113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,65.06
114,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,65.56
115,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,66.06
116,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,66.56
117,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,67.06
118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,67.56
119,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,68.06
120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,68.56
121,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,69.06
122,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,69.56
