,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:robot or prop,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent gaze:child child,Parent gaze:robot or prop,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:pick up,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:try again,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:positive feedback,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:put down,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Conversational turns:PC,"[3, 0.0003249282300124908]","[1, 0.9755892240756281]","[100, 100]","[100, 100]","[100, 100]","[3, 0.000756197447839495]","[100, 100]","[100, 100]","[4, 0.09698781081705153]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0259609478307837]","[2, 0.024637233103056728]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 6.5202929958237406e-06]","[1, 0.9926481843665513]","[1, 0.9755892240758602]","[100, 100]","[5, 0.018302592073200022]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9576137019670917]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.975589224075396]","[1, 0.9827497020103088]","[100, 100]","[2, 0.052089973746781336]","[100, 100]","[100, 100]"
Conversational turns:CP,"[2, 0.010679993548903392]","[1, 0.9755892240756281]","[100, 100]","[100, 100]","[100, 100]","[5, 0.6665032848712111]","[100, 100]","[100, 100]","[3, 0.015256955123695355]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.02038060033588218]","[5, 0.09348167635926193]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.468110865594613]","[5, 0.9271537577158928]","[5, 0.8797342297902038]","[100, 100]","[3, 0.028215555517818788]","[100, 100]","[5, 0.9854521887782686]","[100, 100]","[1, 0.9576137019669582]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.006044758415243012]","[100, 100]","[5, 0.025172216808341474]","[100, 100]","[5, 0.145767053326141]","[100, 100]","[100, 100]"
Conversational turns:PCP,"[2, 0.015087778457597604]","[1, 0.9755892240756281]","[100, 100]","[100, 100]","[100, 100]","[2, 0.9999569478485021]","[100, 100]","[100, 100]","[3, 0.004070634522888038]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.016083415471361915]","[3, 0.012455109383470057]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.975589224075396]","[3, 0.9999997829059619]","[1, 0.9827497020103088]","[100, 100]","[5, 0.0018508341026709748]","[100, 100]","[3, 0.9999999282101888]","[100, 100]","[1, 0.9576137019669582]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.005707557934861245]","[5, 1.9864676695865343e-05]","[100, 100]","[100, 100]","[3, 0.024063239008132144]","[100, 100]","[100, 100]"
Conversational turns:CPC,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Joint attention:robot,"[1, 0.13751608023664016]","[2, 0.2258049538516216]","[100, 100]","[100, 100]","[100, 100]","[1, 0.09326349064722517]","[100, 100]","[100, 100]","[5, 0.05048394028244863]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 3.5074522251836616e-09]","[2, 0.2712352370641502]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.04375424215002998]","[1, 0.06311237144785885]","[1, 0.9860750751189219]","[100, 100]","[1, 0.1658216529038291]","[100, 100]","[1, 0.23803069994445172]","[100, 100]","[1, 0.9758162203983108]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.005228026459262862]","[2, 0.14329765592075255]","[2, 0.14109399769339817]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Joint attention:props,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Mutual gaze:MG,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
