,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:other,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[2, 0.3348171593639417]","[5, 0.0010902483781099633]","[5, 0.19799512528964108]","[2, 0.11812679019227854]","[5, 0.010713190423805455]","[1, 0.5529105731119549]","[3, 0.5142697401772001]","[4, 0.05585272890850127]","[1, 1.0]","[5, 0.27379154762587876]","[2, 0.0003734368045934148]","[4, 0.015370766451964555]","[2, 0.5686625926174593]","[5, 0.5036056647984042]","[5, 0.3379765071396771]","[5, 0.059505428287739255]","[2, 0.29274208091553955]","[1, 1.0]","[2, 0.04396809758301481]","[4, 0.21341634540173954]","[100, 100]","[3, 0.2334807058260814]","[4, 0.4385947624990454]","[100, 100]","[1, 1.0]","[4, 0.17748959986361054]","[1, 0.29248060747850213]","[5, 0.8957666847210333]","[3, 0.04010896379967066]","[1, 0.16547705980169286]","[1, 1.0]","[3, 0.00027026881409523333]","[5, 0.01793371679818888]","[4, 0.49865311235803533]","[2, 0.14391188262709376]","[2, 0.29633391312811685]","[5, 0.12449443065581989]","[5, 0.0001858728808107648]"
Child gaze:robot,"[2, 0.10201431323738532]","[0, 1]","[3, 0.019997747700998207]","[2, 5.054967045879079e-09]","[5, 0.5598347500816792]","[3, 0.29739012615279037]","[5, 0.006691412027105962]","[5, 0.07401734423536509]","[1, 0.33321678932434673]","[1, 0.06330850470707135]","[3, 0.0004292016512015705]","[5, 0.160034692954627]","[2, 0.9999999999999494]","[4, 0.011799495264940608]","[5, 0.003508295903034731]","[1, 0.004098006020276565]","[1, 0.47754854235900646]","[5, 0.17956616869872996]","[2, 0.40921787166578816]","[1, 0.16093168698450755]","[5, 0.000925046087032915]","[100, 100]","[1, 0.0854405743400006]","[2, 0.055427410246953905]","[100, 100]","[4, 0.14776688583548717]","[5, 0.07199008379045661]","[5, 0.10205642045434789]","[2, 0.00024850157042808724]","[1, 0.539112543215216]","[3, 0.06419490612184016]","[5, 0.005826140783557497]","[1, 0.17604167034895954]","[4, 0.06068187995807679]","[1, 0.008467526531074254]","[2, 0.04509675447898854]","[4, 0.08258537619488973]","[2, 0.21283697696099962]","[3, 0.05623395161610638]"
Child gaze:parent,"[4, 1.88184840301554e-05]","[1, 3.452274852632996e-06]","[0, 1]","[2, 3.1196776635333905e-11]","[3, 0.1493807897085204]","[5, 0.06899030473772637]","[1, 0.09986181167625346]","[1, 0.00041909915296148764]","[3, 7.343911138535087e-05]","[1, 1.0]","[4, 0.009301237689447649]","[3, 0.008676139188614124]","[5, 0.1874135560410003]","[1, 0.06166356521732174]","[3, 0.045833383467573735]","[5, 0.017989382984276946]","[1, 0.020330465042967344]","[5, 0.028074202537920083]","[1, 0.1870547735146443]","[5, 0.326916040266694]","[5, 0.27414327634471697]","[100, 100]","[1, 0.5244239296771105]","[4, 0.9709439251326856]","[100, 100]","[2, 0.9713700325098185]","[4, 0.5966272897364737]","[2, 0.6707809330053616]","[3, 0.20281616295104354]","[4, 0.0026045015903703147]","[3, 0.23395798537334003]","[1, 0.13437107046838476]","[3, 0.01500880158357437]","[4, 0.0009324894259764373]","[5, 0.2782427655478908]","[1, 0.04578995076528869]","[1, 0.0022717069552642866]","[2, 0.004539461902079966]","[4, 0.0847185120957309]"
Child gaze:props,"[1, 0.0015562427030603211]","[4, 5.167221141183565e-06]","[2, 9.186420027798948e-08]","[0, 1]","[1, 0.3457521506215179]","[1, 0.007345753167178237]","[5, 0.010964460897835092]","[3, 0.3364117757867407]","[3, 0.017930163776377548]","[2, 0.23514185346011857]","[2, 0.15506920720273024]","[3, 7.136585105548298e-05]","[4, 0.9977153979157258]","[3, 0.13323311203978105]","[4, 0.0009180644204306752]","[5, 0.12967776214474355]","[2, 0.3869635485995693]","[5, 0.2620428887219836]","[4, 0.8251113672738152]","[1, 0.296873223841829]","[1, 0.020453609572462776]","[100, 100]","[1, 0.324845663564574]","[5, 0.03567443953660824]","[100, 100]","[2, 0.23514185346011857]","[5, 0.0394409634896913]","[1, 0.06354924160568538]","[3, 0.04437087620949516]","[1, 0.243881533474411]","[3, 0.38018049767144324]","[4, 0.06361839539302469]","[1, 0.10781343867023443]","[5, 0.016465382309658612]","[5, 0.18847137644646184]","[1, 0.46011066271569356]","[4, 7.115944046643633e-06]","[2, 0.41403426229376095]","[2, 0.013163624915573536]"
Child affect:positive 2,"[3, 0.13440979355402247]","[1, 0.35559200282351666]","[2, 0.00029177625757285]","[2, 0.0840889324387167]","[0, 1]","[3, 0.0642133338986323]","[1, 0.0001567049633222704]","[4, 0.18215409106089014]","[2, 0.5512874616405014]","[2, 0.9961286701932726]","[5, 0.15703186002120373]","[3, 0.08374225777538048]","[1, 1.0]","[1, 1.0]","[2, 0.361023460387234]","[4, 0.00021988330029244638]","[5, 0.003992731272560223]","[2, 0.32715650211926517]","[2, 0.12290333896055063]","[5, 0.057711612177993366]","[2, 0.13710707329725927]","[100, 100]","[1, 0.383844015560297]","[1, 0.3749970933074772]","[100, 100]","[1, 1.0]","[1, 0.25162814477198386]","[2, 0.0004450932663640033]","[1, 0.3210894931818106]","[1, 0.00031369118843737774]","[5, 0.8773590719444715]","[3, 0.22867109559923346]","[3, 1.9050079790685896e-07]","[1, 0.29258376545641473]","[5, 0.024571793995819335]","[1, 0.1106468355506872]","[3, 0.10744951885880576]","[5, 0.02658216474918783]","[2, 7.304879179010989e-05]"
Child affect:positive 3,"[5, 8.609894776219962e-08]","[1, 0.13066298865829803]","[2, 0.06057361062959791]","[3, 0.24321209050420237]","[1, 0.017919924482168486]","[0, 1]","[1, 0.0017131755058706238]","[4, 0.01974842113392427]","[5, 0.12527447824796606]","[1, 1.0]","[1, 0.02919119177160981]","[4, 0.6883088680620736]","[5, 0.9395081638362519]","[1, 1.0]","[5, 0.1811850365095739]","[3, 0.1514829106659807]","[4, 0.2327278275129391]","[4, 0.20153589667410024]","[1, 1.0]","[4, 0.011257174879265874]","[5, 8.4591875116235e-05]","[100, 100]","[1, 0.14237584629355496]","[4, 0.019422595942608197]","[100, 100]","[5, 0.9705078452153341]","[5, 0.0003286213955881671]","[2, 0.1842214400450684]","[5, 0.13449130436168755]","[1, 0.13316878179543937]","[1, 1.0]","[1, 1.0]","[5, 0.9998585719318538]","[1, 0.0005199969823170631]","[1, 0.02143876392295351]","[1, 0.009009112621967066]","[5, 0.479197428705193]","[2, 0.13243086741546214]","[2, 0.6952778117165479]"
Child affect:positive 1,"[3, 0.011342568293349523]","[5, 0.8423085393980114]","[2, 0.4778027285936153]","[5, 0.06751343473987098]","[1, 0.21739182700245685]","[1, 0.037471072548494806]","[0, 1]","[1, 0.010639871415798507]","[4, 0.23204545587439182]","[2, 0.03881983945385119]","[4, 0.987486089531575]","[4, 0.10253903092127636]","[2, 0.04340122719107245]","[1, 1.0]","[1, 0.3142909043849988]","[5, 0.29373982081523303]","[1, 0.08798510192686312]","[5, 0.4859564470864106]","[2, 0.1988658623410941]","[1, 0.33738959900149557]","[4, 0.9906556783648983]","[100, 100]","[3, 0.9392352525837536]","[2, 0.1854728717913214]","[100, 100]","[4, 0.9958821044503678]","[5, 0.05514446798026768]","[4, 0.5596952644198039]","[5, 0.5410064575300814]","[5, 0.10905017573606147]","[5, 0.5575643265057801]","[2, 0.18276902431315226]","[4, 0.2935567761155025]","[2, 0.19760307786668863]","[2, 0.4886705817657888]","[2, 0.024233852893067013]","[3, 0.5570644755924887]","[1, 0.11883074164616989]","[1, 0.3833327247273258]"
Child gesture:point at prop,"[4, 0.6680036371707723]","[4, 0.015796168713107815]","[5, 0.05756642859006708]","[2, 0.020745094573838194]","[1, 0.1476564289908459]","[2, 0.9538877999183518]","[4, 0.009380845052774079]","[0, 1]","[4, 0.05594815944361584]","[5, 5.883442705237729e-12]","[3, 0.9891181842687942]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.010145721479354225]","[4, 0.014564908054177627]","[3, 1.4590776779246812e-05]","[5, 0.0016951628418641258]","[1, 1.0]","[2, 0.9601993934480757]","[1, 1.0]","[100, 100]","[3, 0.945731830875937]","[2, 5.3546024210360874e-05]","[100, 100]","[1, 1.0]","[4, 2.740087127780477e-08]","[1, 0.023938273393078392]","[3, 0.20469896327974554]","[1, 1.0]","[3, 0.9894749937912007]","[1, 1.0]","[4, 0.009726582456193138]","[1, 0.034764741156048946]","[1, 1.0]","[1, 1.0]","[4, 0.008092197168528468]","[3, 0.004685820941988108]","[5, 0.05933324901400148]"
Parent utterance:utterance,"[2, 0.0010838659129895044]","[5, 0.010450509474437396]","[5, 5.819558674699921e-07]","[2, 0.1562150463235005]","[2, 0.0006571011514768557]","[3, 0.11681679281142911]","[5, 0.050175795838571256]","[1, 0.002360634639580005]","[0, 1]","[1, 0.09486584679969211]","[5, 0.0632483970834738]","[4, 0.0012293970412909489]","[2, 0.21025515730464708]","[2, 0.33558811987946685]","[2, 0.004041488111891127]","[2, 0.0001559659947142175]","[1, 0.06893249634579776]","[2, 0.4427878327530259]","[3, 0.12213109837558765]","[3, 0.005636189491426937]","[2, 0.022668985297077757]","[100, 100]","[1, 0.9468863986546541]","[2, 0.7936362591189919]","[100, 100]","[1, 1.0]","[2, 0.6801559648772597]","[5, 0.12260257191535957]","[5, 0.2581416388620362]","[3, 0.2816234173686028]","[1, 0.048885241549106236]","[1, 0.14011739916827262]","[1, 0.2570856539166557]","[3, 1.0302159843350346e-06]","[4, 0.13956033290804806]","[3, 0.0016548096914803779]","[4, 0.33037562586890634]","[5, 0.796922310425812]","[2, 1.7905601354917085e-08]"
Verbal scaffolding:instruction translation,"[1, 1.0]","[3, 0.014186944550679727]","[1, 1.0]","[3, 0.11224304340328459]","[1, 0.0036549309174499045]","[1, 1.0]","[3, 0.012195998989787151]","[3, 4.685881438809988e-31]","[3, 0.6783010206878701]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.09677604524359154]","[1, 0.048184379601272906]","[3, 0.021304683430507617]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.21629004505786886]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 1.0177823577379398e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.1508694374913235]","[3, 0.008712780156493228]","[1, 1.0]"
