,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[2],[1 2]
1,action,Child affect,action,Child gesture,[2],[1 2]
2,action,Child affect,action,Child prop manipulation,[9 2],[1 2 3]
3,action,Child affect,action,Child utterance,[10  1],[1 2 3]
4,action,Child affect,action,Conversational turns,[3 7 2 2],[1 2 3 4 5]
5,action,Child affect,action,Joint attention,[3],[1 2]
6,action,Child affect,action,Mutual gaze,[],[1]
7,action,Child affect,action,Parent affect,[4 1],[1 2 3]
8,action,Child affect,action,Parent affective touch,[1],[1 2]
9,action,Child affect,action,Parent gaze,[8 3 0 1],[1 2 3 4 5]
10,action,Child affect,action,Parent gesture,[9],[1 2]
11,action,Child affect,action,Parent prop manipulation,[2],[1 2]
12,action,Child affect,action,Parent utterance,[25  6  1],[1 2 3 4]
13,action,Child affect,action,Verbal scaffolding,[25  6  1],[1 2 3 4]
14,action,Child affect,action,robot pointing,[5],[1 2]
15,action,Child affect,action,robot text,[24],[1 2]
16,action,Child affect,sub_action,CP,[5 1],[1 2 3]
17,action,Child affect,sub_action,CPC,[4],[1 2]
18,action,Child affect,sub_action,MG,[],[1]
19,action,Child affect,sub_action,PC,[12],[1 2]
20,action,Child affect,sub_action,PCP,[8],[1 2]
21,action,Child affect,sub_action,affective,[2],[1 2]
22,action,Child affect,sub_action,affective touch,[1],[1 2]
23,action,Child affect,sub_action,child,[15  3],[1 2 3]
24,action,Child affect,sub_action,cognitive,[16  3],[1 2 3]
25,action,Child affect,sub_action,correction,[2],[1 2]
26,action,Child affect,sub_action,instruction translation,[11],[1 2]
27,action,Child affect,sub_action,other,[3],[1 2]
28,action,Child affect,sub_action,parent,[2],[1 2]
29,action,Child affect,sub_action,pick up,[3],[1 2]
30,action,Child affect,sub_action,point at prop,[16],[1 2]
31,action,Child affect,sub_action,positive 1,[6 1],[1 2 3]
32,action,Child affect,sub_action,positive 2,[12  1],[1 2 3]
33,action,Child affect,sub_action,positive 3,[2],[1 2]
34,action,Child affect,sub_action,positive feedback,[7],[1 2]
35,action,Child affect,sub_action,put down,[3],[1 2]
36,action,Child affect,sub_action,scaffolding,[],[1]
37,action,Child affect,sub_action,tablet,[6 3 1],[1 2 3 4]
38,action,Child affect,sub_action,teach,[5],[1 2]
39,action,Child affect,sub_action,technical,[5],[1 2]
40,action,Child affect,sub_action,try again,[1],[1 2]
41,action,Child affect,sub_action,utterance,[22 11  1  0  1],[1 2 3 4 5 6]
42,action,Child affect,action:sub_action,Child affect:positive 1,[6 1],[1 2 3]
43,action,Child affect,action:sub_action,Child affect:positive 2,[9],[1 2]
44,action,Child affect,action:sub_action,Child affect:positive 3,[1],[1 2]
45,action,Child affect,action:sub_action,Child gaze:parent,[],[1]
46,action,Child affect,action:sub_action,Child gaze:tablet,[2],[1 2]
47,action,Child affect,action:sub_action,Child gesture:point at prop,[2],[1 2]
48,action,Child affect,action:sub_action,Child prop manipulation:child,[9 2],[1 2 3]
49,action,Child affect,action:sub_action,Child utterance:utterance,[10  1],[1 2 3]
50,action,Child affect,action:sub_action,Conversational turns:CP,[5 1],[1 2 3]
51,action,Child affect,action:sub_action,Conversational turns:CPC,[4],[1 2]
52,action,Child affect,action:sub_action,Conversational turns:PC,[12],[1 2]
53,action,Child affect,action:sub_action,Conversational turns:PCP,[8],[1 2]
54,action,Child affect,action:sub_action,Joint attention:tablet,[3],[1 2]
55,action,Child affect,action:sub_action,Mutual gaze:MG,[],[1]
56,action,Child affect,action:sub_action,Parent affect:positive 1,[],[1]
57,action,Child affect,action:sub_action,Parent affect:positive 2,[5],[1 2]
58,action,Child affect,action:sub_action,Parent affect:positive 3,[1],[1 2]
59,action,Child affect,action:sub_action,Parent affective touch:affective touch,[1],[1 2]
60,action,Child affect,action:sub_action,Parent gaze:child,[6 1],[1 2 3]
61,action,Child affect,action:sub_action,Parent gaze:tablet,[8 1],[1 2 3]
62,action,Child affect,action:sub_action,Parent gesture:point at prop,[9],[1 2]
63,action,Child affect,action:sub_action,Parent prop manipulation:parent,[2],[1 2]
64,action,Child affect,action:sub_action,Parent utterance:utterance,[25  6  1],[1 2 3 4]
65,action,Child affect,action:sub_action,Verbal scaffolding:affective,[2],[1 2]
66,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[16  3],[1 2 3]
67,action,Child affect,action:sub_action,Verbal scaffolding:instruction translation,[11],[1 2]
68,action,Child affect,action:sub_action,Verbal scaffolding:scaffolding,[],[1]
69,action,Child affect,action:sub_action,Verbal scaffolding:technical,[5],[1 2]
70,action,Child affect,action:sub_action,robot pointing:point at prop,[5],[1 2]
71,action,Child affect,action:sub_action,robot text:correction,[2],[1 2]
72,action,Child affect,action:sub_action,robot text:other,[3],[1 2]
73,action,Child affect,action:sub_action,robot text:pick up,[3],[1 2]
74,action,Child affect,action:sub_action,robot text:positive feedback,[7],[1 2]
75,action,Child affect,action:sub_action,robot text:put down,[3],[1 2]
76,action,Child affect,action:sub_action,robot text:teach,[5],[1 2]
77,action,Child affect,action:sub_action,robot text:try again,[1],[1 2]
78,action,Child gaze,action,Child affect,[1],[1 2]
79,action,Child gaze,action,Child gesture,[],[1]
80,action,Child gaze,action,Child prop manipulation,[],[1]
81,action,Child gaze,action,Child utterance,[2],[1 2]
82,action,Child gaze,action,Conversational turns,[1 0 1],[1 2 3 4]
83,action,Child gaze,action,Joint attention,[1],[1 2]
84,action,Child gaze,action,Mutual gaze,[],[1]
85,action,Child gaze,action,Parent affect,[1],[1 2]
86,action,Child gaze,action,Parent affective touch,[1],[1 2]
87,action,Child gaze,action,Parent gaze,[2 1],[1 2 3]
88,action,Child gaze,action,Parent gesture,[],[1]
89,action,Child gaze,action,Parent prop manipulation,[],[1]
90,action,Child gaze,action,Parent utterance,[1 1],[1 2 3]
91,action,Child gaze,action,Verbal scaffolding,[1 1],[1 2 3]
92,action,Child gaze,action,robot pointing,[],[1]
93,action,Child gaze,action,robot text,[3],[1 2]
94,action,Child gaze,sub_action,CP,[1],[1 2]
95,action,Child gaze,sub_action,CPC,[1],[1 2]
96,action,Child gaze,sub_action,MG,[],[1]
97,action,Child gaze,sub_action,PC,[2],[1 2]
98,action,Child gaze,sub_action,PCP,[],[1]
99,action,Child gaze,sub_action,affective,[],[1]
100,action,Child gaze,sub_action,affective touch,[1],[1 2]
101,action,Child gaze,sub_action,child,[2],[1 2]
102,action,Child gaze,sub_action,cognitive,[1 1],[1 2 3]
103,action,Child gaze,sub_action,correction,[],[1]
104,action,Child gaze,sub_action,instruction translation,[],[1]
105,action,Child gaze,sub_action,other,[1],[1 2]
106,action,Child gaze,sub_action,parent,[],[1]
107,action,Child gaze,sub_action,pick up,[],[1]
108,action,Child gaze,sub_action,point at prop,[],[1]
109,action,Child gaze,sub_action,positive 1,[],[1]
110,action,Child gaze,sub_action,positive 2,[0 1],[1 2 3]
