,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[100, 100]","[1, 0.07555895915630115]","[2, 0.23473004728294644]","[1, 0.002099015431505776]","[1, 0.10095052207557684]","[2, 0.010610384730454888]","[3, 0.9103544021077622]","[5, 0.05078979694248871]","[5, 0.014872275060030705]","[4, 0.5772632522804738]","[1, 1.0]","[3, 0.9655724143457581]","[5, 0.7576008913707026]","[5, 0.9995775301193335]","[4, 0.10134742922554406]","[5, 0.35226585756234113]","[5, 0.28825519548797657]","[3, 0.03353212085115063]","[5, 0.8384603204329593]","[5, 0.9995775301193335]","[100, 100]","[3, 0.9094794787334878]","[3, 0.9813611550069169]","[4, 0.9998243039613289]","[2, 0.6788735977742646]","[100, 100]","[1, 1.0]","[2, 0.5699430228960783]","[5, 0.1200528262984824]","[1, 0.0865518195963305]","[3, 0.668682719501021]","[4, 0.8251963953440067]","[5, 0.022389831386821806]","[5, 0.003451322452381025]","[5, 0.7918476962947648]","[3, 0.4695201559091322]","[5, 0.10023149226963658]","[5, 0.1985613879843222]","[2, 0.619982492048176]"
Child utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:robot,"[5, 0.09555138445282682]","[100, 100]","[100, 100]","[1, 1.1177560775410069e-11]","[1, 3.8416966937068705e-10]","[1, 0.022026557963999577]","[1, 0.07682749092892185]","[5, 0.0006634701420849315]","[3, 0.08692547454575214]","[4, 0.0002613709387539234]","[1, 0.053942673225959865]","[1, 0.023997266450519708]","[1, 0.02399726645051571]","[1, 0.1538799244860555]","[3, 0.3206589419531297]","[2, 0.40108664400787103]","[5, 0.19317192748544815]","[3, 0.42690608536326224]","[1, 0.08795983087016604]","[4, 0.07285961362478273]","[3, 0.3206589419531297]","[100, 100]","[2, 0.006034706650469337]","[4, 0.29820395428436336]","[4, 0.6743041175184785]","[3, 0.3220260195851286]","[100, 100]","[4, 0.9999318105338453]","[4, 0.16264546028511198]","[1, 0.033366913593672984]","[2, 0.28072169030589683]","[2, 0.5301461596669164]","[2, 0.48415180311566886]","[1, 0.3436651265883235]","[5, 0.04106049719040199]","[3, 0.34663205105178096]","[2, 0.010647593273912428]","[4, 0.5999489099243368]","[2, 0.017322162383441784]","[1, 0.005123733251613967]"
Child gaze:parent,"[4, 1.9143235360258966e-06]","[100, 100]","[1, 2.852453239205487e-07]","[100, 100]","[4, 0.05477737630099304]","[1, 0.3295851287918257]","[5, 0.07675789153510239]","[4, 4.2982567106903387e-07]","[4, 2.0908584967364183e-08]","[3, 0.000707393017783862]","[1, 0.4052204579277079]","[5, 2.5099565468218116e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.12208448141583972]","[5, 0.21450607250421894]","[3, 0.016015139658244543]","[5, 0.08629136734672346]","[2, 0.3052593978731859]","[1, 1.0]","[100, 100]","[3, 0.0007858575595217523]","[1, 0.09605172904905804]","[1, 1.0]","[2, 0.5511095493402887]","[100, 100]","[2, 0.99501143506169]","[1, 0.1975234825446916]","[5, 0.04346624173984633]","[3, 0.03932162972157069]","[5, 0.8184077646843066]","[1, 0.12340885429638786]","[3, 0.6794818898464852]","[1, 0.0010393976793059577]","[2, 0.2330971489762915]","[4, 0.00016929794151011477]","[1, 7.149878793566365e-06]","[4, 0.7030694108690304]","[5, 0.14293273972132478]"
Child gaze:props,"[2, 0.05210343078269051]","[100, 100]","[1, 0.0001667686951364104]","[1, 4.2007337816676965e-06]","[100, 100]","[1, 0.3239732146729063]","[1, 0.2523562849636288]","[1, 1.0]","[4, 0.12364463131028199]","[1, 1.0]","[1, 0.09190239189530987]","[1, 1.0]","[3, 0.9998963410453978]","[1, 0.06486054268312616]","[3, 0.009647075625159115]","[3, 0.18581525337349003]","[1, 0.4136399271893064]","[3, 0.06661199118888794]","[1, 1.0]","[1, 0.11848181586292429]","[3, 0.009647075625159115]","[100, 100]","[4, 0.999643261540229]","[2, 0.058071724331365565]","[1, 0.03894367353773373]","[2, 0.05526492427442565]","[100, 100]","[1, 1.0]","[2, 0.018579443037107332]","[1, 0.1687345374857005]","[2, 0.11803283236577279]","[2, 0.3447116453745709]","[2, 0.29654286344294456]","[1, 0.21328683084726924]","[1, 0.27005690038027663]","[5, 0.3482578299986348]","[3, 0.059520122265042025]","[1, 0.4506387930800466]","[1, 0.03741963177130481]","[2, 0.2362734827819686]"
Child affect:positive 1,"[4, 0.340609489789493]","[100, 100]","[5, 0.004241353642804744]","[5, 0.002643605955806461]","[5, 0.08145788517479419]","[100, 100]","[2, 0.15388227422079184]","[1, 1.0]","[2, 0.001949383777686954]","[1, 8.933373702323519e-06]","[3, 0.6643574124191949]","[3, 0.02055014272031487]","[3, 0.02055014272031222]","[3, 0.05503777596601869]","[1, 0.008497602227212974]","[4, 0.1000907489142425]","[1, 0.38203657889743425]","[5, 0.14899773800474675]","[4, 0.31953148701729267]","[4, 0.08129390972254831]","[1, 0.008497602227212974]","[100, 100]","[4, 0.9974608598921243]","[1, 0.07963393995656992]","[3, 0.18145277096222176]","[1, 0.25180994419593167]","[100, 100]","[1, 0.8989435713647692]","[5, 0.5183931333144632]","[5, 0.5166315200929401]","[5, 0.42408221062974716]","[4, 0.26420408296711984]","[2, 0.051422267130709805]","[3, 0.6206954175458137]","[5, 0.33507478414096004]","[3, 0.09677616328379125]","[1, 0.953781149314932]","[4, 0.9647804571122127]","[5, 0.2463701425075327]","[5, 0.071956800007627]"
Child affect:positive 2,"[2, 0.3205077713889992]","[100, 100]","[3, 0.05767839390121552]","[1, 0.2584541822063394]","[3, 0.7216155280989105]","[1, 0.012957264504217948]","[100, 100]","[2, 0.713751195060758]","[2, 0.439304439492605]","[2, 0.9237479925056935]","[5, 0.17781092449649474]","[4, 0.006839598646330127]","[1, 1.0]","[5, 0.3841723282886965]","[1, 1.0]","[5, 0.019839938583512483]","[4, 0.32591494504095]","[5, 0.4227148668227444]","[4, 3.4716068935969616e-06]","[4, 0.10603993026667999]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.015338609092914672]","[5, 0.5336507953293627]","[100, 100]","[1, 1.0]","[5, 0.30731322429989644]","[4, 0.5707380310924991]","[1, 1.0]","[4, 0.5105964817751589]","[5, 0.5819047921673308]","[3, 0.4930959116077934]","[2, 0.4483929176389496]","[1, 1.0]","[4, 0.9999999115447606]","[2, 0.10178029318268643]","[3, 0.671325569934418]","[5, 0.0756821694154244]"
Child affect:positive 3,"[5, 0.0012693288692987225]","[100, 100]","[2, 0.0060346562224800225]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 6.908708966243573e-11]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 6.604298716792628e-07]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0036343271850179932]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[2, 0.0004974847375513188]","[100, 100]","[1, 0.11051477882731481]","[5, 0.15857202050745733]","[5, 0.00010671513096342128]","[2, 0.04404244067573586]","[4, 0.5107889206144571]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.08154623754951389]","[5, 0.0021268504353745893]","[5, 0.0010867722363268988]","[5, 0.7802876717752351]","[1, 1.0]","[2, 0.0008784080616917122]","[1, 0.0060287168577917855]","[4, 0.012434543740330673]","[5, 0.9998259697256461]","[3, 0.10700719553374777]","[1, 1.0]","[100, 100]","[3, 8.070358022508544e-05]","[1, 1.1090857151651934e-08]","[4, 0.25537938885266587]","[2, 0.026877435015947918]","[100, 100]","[1, 1.0]","[2, 0.006904884046031078]","[5, 0.008091559545458198]","[3, 5.449718425913357e-06]","[1, 1.0]","[1, 1.0]","[5, 0.27007381137976433]","[5, 0.14711518638286797]","[5, 0.9993004915927357]","[3, 2.322844195719348e-05]","[5, 0.8199698418186223]","[1, 0.024477667916472882]","[1, 8.36239239324779e-05]"
Child affective touch:affective touch,"[4, 0.0005253782920156336]","[100, 100]","[3, 0.016840049247954424]","[2, 0.00020471203867557895]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.4755924094815834e-14]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 7.766354155972362e-08]","[1, 1.0]","[1, 1.0]","[5, 1.7710399328464916e-21]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
