,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,12.44,15.12,2.68,utterance,Child utterance:utterance,2,r,106,SK
1,Child utterance,Child,15.48,18.4,2.92,utterance,Child utterance:utterance,2,r,106,SK
2,Child utterance,Child,20.0,22.4,2.4,utterance,Child utterance:utterance,2,r,106,SK
3,Child utterance,Child,79.06,79.58,0.52,utterance,Child utterance:utterance,2,r,106,SK
4,Child utterance,Child,81.12,81.76,0.64,utterance,Child utterance:utterance,2,r,106,SK
5,Child utterance,Child,83.8,84.36,0.56,utterance,Child utterance:utterance,2,r,106,SK
6,Child utterance,Child,94.66,95.3,0.64,utterance,Child utterance:utterance,2,r,106,SK
7,Child utterance,Child,97.22,97.62,0.4,utterance,Child utterance:utterance,2,r,106,SK
8,Child utterance,Child,118.82,119.74000000000001,0.92,utterance,Child utterance:utterance,2,r,106,SK
9,Child utterance,Child,126.34,126.86,0.52,utterance,Child utterance:utterance,2,r,106,SK
10,Child utterance,Child,133.98,135.34,1.36,utterance,Child utterance:utterance,2,r,106,SK
11,Child utterance,Child,135.54,135.86,0.32,utterance,Child utterance:utterance,2,r,106,SK
12,Child utterance,Child,143.34,143.86,0.52,utterance,Child utterance:utterance,2,r,106,SK
13,Child utterance,Child,148.64,148.96,0.32,utterance,Child utterance:utterance,2,r,106,SK
14,Child utterance,Child,150.64,151.04,0.4,utterance,Child utterance:utterance,2,r,106,SK
15,Child utterance,Child,160.06,161.1,1.04,utterance,Child utterance:utterance,2,r,106,SK
16,Child utterance,Child,161.86,162.5,0.64,utterance,Child utterance:utterance,2,r,106,SK
17,Child utterance,Child,167.9,168.66,0.76,utterance,Child utterance:utterance,2,r,106,SK
18,Child utterance,Child,169.07999999999998,169.68,0.6,utterance,Child utterance:utterance,2,r,106,SK
19,Child utterance,Child,197.72,198.32,0.6,utterance,Child utterance:utterance,2,r,106,SK
20,Child utterance,Child,202.26,203.7,1.44,utterance,Child utterance:utterance,2,r,106,SK
21,Child utterance,Child,207.66,208.26,0.6,utterance,Child utterance:utterance,2,r,106,SK
22,Child utterance,Child,244.72,246.88,2.16,utterance,Child utterance:utterance,2,r,106,SK
