,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,12.44
1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,12.94
2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,13.44
3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,13.94
4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,14.44
5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,14.94
6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,15.44
7,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,15.94
8,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,16.439999999999998
9,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,16.939999999999998
10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,17.439999999999998
11,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,17.939999999999998
12,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,18.439999999999998
13,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,18.939999999999998
14,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,19.439999999999998
15,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,19.939999999999998
16,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,20.439999999999998
17,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,20.939999999999998
18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,21.439999999999998
19,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,21.939999999999998
20,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,22.439999999999998
21,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,22.939999999999998
22,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,23.439999999999998
23,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,23.939999999999998
24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24.439999999999998
25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.939999999999998
26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.439999999999998
27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.939999999999998
28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.439999999999998
29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.939999999999998
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.439999999999998
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.939999999999998
