,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child gaze:robot or prop,Child affect:positive 2,Child affect:positive 4,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[3, 0.25622906121536987]","[1, 0.3679189814596029]","[5, 3.3746840119381516e-10]","[100, 100]","[3, 0.3065131113828593]","[2, 3.377924280156131e-07]","[5, 4.59161677364336e-15]","[100, 100]","[100, 100]","[2, 0.5920500317360635]","[1, 0.06776606794378902]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9198891033383885]","[1, 0.1417160433726829]","[2, 0.6397207146994026]","[5, 0.045627196795920276]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.09798804899239293]","[100, 100]","[2, 0.9999999999999911]","[100, 100]","[3, 0.03911897024217151]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[5, 0.020984854900061283]","[4, 0.07194685360701461]","[5, 0.1810397214774919]","[5, 0.0258457055260124]","[2, 0.2972820906251692]","[5, 0.9150166624966516]","[5, 3.3746840119381516e-10]"
Child gaze:robot,"[4, 0.1679272725533694]","[0, 1]","[1, 4.0061379411220345e-05]","[1, 0.9834654338426725]","[100, 100]","[1, 0.8050869625993483]","[4, 0.015478209109847174]","[3, 0.05873185108756857]","[100, 100]","[100, 100]","[3, 0.4909935745709493]","[1, 0.24775391067474573]","[100, 100]","[100, 100]","[3, 0.002402863654408177]","[100, 100]","[100, 100]","[2, 0.15313161059443514]","[1, 0.36589684893632224]","[4, 0.5337745521957131]","[1, 0.6328083853692248]","[4, 0.47913082183646694]","[100, 100]","[3, 0.002402863654408177]","[100, 100]","[2, 0.24090489948860805]","[100, 100]","[1, 0.06057700406433481]","[100, 100]","[2, 0.05632681229665648]","[2, 0.0024897085165738867]","[5, 0.11644532667997236]","[100, 100]","[100, 100]","[100, 100]","[1, 0.19972616595215537]","[2, 0.9258132532761755]","[1, 0.9904753456048531]","[1, 0.13427250744332772]","[5, 0.051996293205728614]","[1, 0.00012165813396783627]","[1, 0.9834654338431171]"
Child gaze:props,"[2, 0.9849849482270355]","[2, 0.12772540629314055]","[0, 1]","[1, 0.005458365298563645]","[100, 100]","[3, 0.14943513714114373]","[1, 0.9852043890353932]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.21168256797255947]","[5, 0.2667436715108609]","[100, 100]","[100, 100]","[2, 0.04608492678636899]","[100, 100]","[100, 100]","[5, 0.6363369445245006]","[1, 0.4461633140073593]","[4, 0.1986309359281022]","[5, 0.17147790419255013]","[3, 0.2864892955162706]","[100, 100]","[2, 0.04608492678636899]","[100, 100]","[4, 0.11845683060517329]","[100, 100]","[3, 0.014798030018187368]","[100, 100]","[4, 0.999148491500311]","[4, 0.02084752788816951]","[3, 0.25537056150556736]","[100, 100]","[100, 100]","[100, 100]","[2, 0.12251316379987831]","[3, 0.10744468963838866]","[2, 0.055607567301050854]","[2, 0.2890056540865137]","[4, 0.4155383271965378]","[4, 0.019219770735792483]","[5, 0.09384954369663638]"
Child gaze:parent,"[5, 1.4197474857652613e-11]","[1, 0.9860377713589787]","[2, 0.9998023576542319]","[0, 1]","[100, 100]","[1, 0.9613142815685931]","[1, 0.9328902514133315]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.0499448348307399]","[1, 0.970043460709779]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9998424724822357]","[2, 0.9994858905631382]","[2, 0.9998327009277403]","[1, 0.932890251413408]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.970043460709779]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[3, 0.9999676651439746]","[1, 1.0]","[1, 0.9613142815685931]","[1, 0.9613142815685931]","[2, 0.9998189151789475]","[2, 0.9998389449105621]","[1, 0.9328902514133315]"
Child gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 2,"[4, 0.0026481682702242312]","[4, 0.1250086453248431]","[4, 0.8528709262034984]","[3, 0.9999855333201804]","[100, 100]","[0, 1]","[3, 0.9999855333201804]","[5, 1.048508626469034e-22]","[100, 100]","[100, 100]","[4, 0.06902326733589204]","[5, 7.039576509265758e-08]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.702403963732199]","[1, 3.5958747512234975e-12]","[2, 0.1943800018566643]","[3, 6.907810744481885e-21]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[4, 9.125122197996415e-09]","[4, 0.0013809360823667412]","[4, 0.037597313287643326]","[4, 1.2861043310947135e-14]","[5, 0.05022643638747044]","[1, 1.0]","[3, 0.9999855333201804]"
Child affect:positive 4,"[3, 1.4204060672285327e-06]","[2, 0.9998253127556888]","[1, 1.0]","[1, 0.9328902514128723]","[100, 100]","[1, 0.9613142815685931]","[0, 1]","[2, 0.996384820172709]","[100, 100]","[100, 100]","[3, 0.00039633583081653286]","[1, 0.9700434607089186]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9998424724822437]","[3, 0.9999906944466649]","[1, 1.0]","[1, 0.9328902514128723]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 7.682355567076268e-34]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[3, 0.9999676651439724]","[1, 1.0]","[1, 0.9613142815685931]","[1, 0.9613142815685931]","[1, 0.9853878812032534]","[1, 1.0]","[1, 0.9328902514128723]"
Child affect:positive 3,"[4, 9.955541810153969e-14]","[2, 0.054503898425178644]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.00345503223254877]","[5, 2.957423945871011e-60]","[0, 1]","[100, 100]","[100, 100]","[2, 0.1031943743433567]","[5, 0.18256225983577357]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.8633281627207332]","[5, 0.2922459796584774]","[5, 0.9345940124684992]","[5, 3.740021571765985e-14]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[5, 8.064327543105944e-14]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[5, 0.07238810538559202]","[1, 1.0]","[1, 1.0]","[5, 0.00345503223254877]","[2, 0.051304246573523594]","[1, 1.0]","[1, 1.0]"
Child affect:positive 1,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
