,total time,count,normalized total time,normalized count
Child affect,165.2,29,0.55180706794041,0.09686685817355867
Child affective touch,4.44,1,0.014830650010020709,0.0033402364887434024
Child gaze,288.0,122,0.9619881087580999,0.4075088516266951
Child gesture,18.52,6,0.06186117977152781,0.020041418932460416
Child prop manipulation,33.88,8,0.11316721223862648,0.02672189190994722
Child utterance,39.08,37,0.13053644198009215,0.1235887500835059
Conversational turns,371.0,78,1.2392277373238023,0.2605384461219854
Joint attention,127.32000000000006,64,0.4252789097468102,0.21377513527957775
Mutual gaze,27.739999999999874,27,0.09265816019774156,0.09018638519607186
Non-verbal scaffolding,7.84,9,0.026187454071748276,0.030062128398690623
Parent affect,115.76,23,0.3866657759369363,0.07682543924109826
Parent affective touch,26.599999999999998,7,0.08885029060057449,0.023381655421203816
Parent gaze,290.6,97,0.9706727236288328,0.32400293940811004
Parent gesture,7.72,10,0.025786625693099065,0.033402364887434026
Parent prop manipulation,0.48,1,0.0016033135145968331,0.0033402364887434024
Parent utterance,42.64,38,0.1424276838800187,0.1269289865722493
Verbal scaffolding,21.6,17,0.0721491081568575,0.05678402030863784
robot pointing,32.065,14,0.10710468301155719,0.04676331084240763
robot text,165.209,44,0.5518371300688087,0.14697040550470972
CP,84.97999999999982,22,0.28385329681341376,0.07348520275235486
CPC,83.56000000000009,14,0.279110160999399,0.04676331084240763
MG,27.739999999999874,27,0.09265816019774156,0.09018638519607186
PC,76.54000000000016,23,0.25566170084842055,0.07682543924109826
PCP,125.91999999999993,19,0.420602578662569,0.06346449328612465
affective,5.04,5,0.016834791903266748,0.016701182443717013
affective touch,31.04,8,0.10368094061059521,0.02672189190994722
child,151.8,47,0.5070478989912486,0.15699111497093993
cognitive,22.2,18,0.07415325005010354,0.060124256797381245
correction,2.533,1,0.008460819025987039,0.0033402364887434024
other,16.573,13,0.05535773932794441,0.04342307435366423
parent,48.88,32,0.16327075956977752,0.10688756763978888
pick up,27.334,11,0.09130202418331217,0.03674260137617743
point at prop,51.945,22,0.17350858440777603,0.07348520275235486
positive 1,179.12,32,0.5983031598637183,0.10688756763978888
positive 2,73.0,15,0.24383726367826838,0.050103547331151035
positive 3,28.84,5,0.09633242033535973,0.016701182443717013
positive feedback,16.401,6,0.054783218651880544,0.020041418932460416
props,116.97999999999999,98,0.39074086445320316,0.32734317589685347
put down,7.667,3,0.025609593159195667,0.010020709466230208
robot,422.62000000000006,115,1.411650744872737,0.3841271962054913
song,67.334,1,0.22491148373304828,0.0033402364887434024
teach,21.729,10,0.0725799986639054,0.033402364887434026
technical,2.2,3,0.007348520275235486,0.010020709466230208
try again,11.998000000000001,7,0.04007615739194335,0.023381655421203816
utterance,81.72,75,0.2729641258601108,0.25051773665575516
Child affect:positive 1,83.36,15,0.27844211370165,0.050103547331151035
Child affect:positive 2,57.8,10,0.19306566904936864,0.033402364887434026
Child affect:positive 3,24.04,4,0.08029928518939139,0.01336094595497361
Child affective touch:affective touch,4.44,1,0.014830650010020709,0.0033402364887434024
Child gaze:parent,48.4,31,0.16166744605518069,0.10354733115104547
Child gaze:props,57.84,50,0.1931992785089184,0.1670118244371701
Child gaze:robot,181.76,41,0.6071213841940007,0.1369496960384795
Child gesture:point at prop,18.52,6,0.06186117977152781,0.020041418932460416
Child prop manipulation:child,33.88,8,0.11316721223862648,0.02672189190994722
Child utterance:utterance,39.08,37,0.13053644198009215,0.1235887500835059
Conversational turns:CP,84.97999999999982,22,0.28385329681341376,0.07348520275235486
Conversational turns:CPC,83.56000000000009,14,0.279110160999399,0.04676331084240763
Conversational turns:PC,76.54000000000016,23,0.25566170084842055,0.07682543924109826
Conversational turns:PCP,125.91999999999993,19,0.420602578662569,0.06346449328612465
Joint attention:props,18.419999999999987,25,0.06152715612265343,0.08350591221858505
Joint attention:robot,108.90000000000008,39,0.3637517536241568,0.1302692230609927
Mutual gaze:MG,27.739999999999874,27,0.09265816019774156,0.09018638519607186
Non-verbal scaffolding:affective,4.4399999999999995,4,0.014830650010020706,0.01336094595497361
Non-verbal scaffolding:cognitive,2.2800000000000002,3,0.0076157391943349586,0.010020709466230208
Non-verbal scaffolding:technical,1.12,2,0.003741064867392611,0.006680472977486805
Parent affect:positive 1,95.76,17,0.31986104616206823,0.05678402030863784
Parent affect:positive 2,15.200000000000001,5,0.05077159462889972,0.016701182443717013
Parent affect:positive 3,4.8,1,0.01603313514596833,0.0033402364887434024
Parent affective touch:affective touch,26.599999999999998,7,0.08885029060057449,0.023381655421203816
Parent gaze:child,117.92,39,0.393880686752622,0.1302692230609927
Parent gaze:props,40.72,23,0.13601442982163134,0.07682543924109826
Parent gaze:robot,131.96,35,0.4407776070545794,0.11690827710601909
Parent gesture:other,6.359999999999999,8,0.021243904068408037,0.02672189190994722
Parent gesture:point at prop,1.3599999999999999,2,0.004542721624691027,0.006680472977486805
Parent prop manipulation:parent,0.48,1,0.0016033135145968331,0.0033402364887434024
Parent utterance:utterance,42.64,38,0.1424276838800187,0.1269289865722493
