,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,17.24
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,17.74
2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18.24
3,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,18.74
4,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,19.24
5,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,19.74
6,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,20.24
7,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,20.74
8,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,21.24
9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21.74
10,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,22.24
11,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,22.74
12,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.24
13,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,23.74
14,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,24.24
15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.74
16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.24
17,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.74
18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.24
19,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.74
20,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27.24
21,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27.74
22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.24
23,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,28.74
24,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.24
