,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:song,robot text:other,robot text:teach,robot text:put down,robot text:pick up,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Verbal scaffolding:affective,"[1, 1.0]","[1, 0.017832174834161673]","[1, 0.001471717064495064]","[1, 1.0]","[100, 100]","[1, 0.001835383040217388]","[3, 0.09274767810403144]","[5, 0.026643349682933328]","[1, 0.42382060097560526]","[1, 1.0]","[1, 0.017357127693510613]","[0, 1]","[5, 0.0756842522933298]","[1, 1.0]","[5, 0.1616671370463764]","[1, 0.08848274506171232]","[1, 0.15304284352326364]","[2, 0.018321077779759495]","[1, 0.2111184035618848]","[1, 0.1145020486527631]","[5, 0.11392623058609787]","[4, 0.2622297841523581]","[1, 0.40730382888047756]","[1, 1.0]","[5, 0.6751702346642616]","[1, 1.0]","[100, 100]","[5, 0.3159227171476765]","[5, 0.22580383646277136]","[2, 0.38544663969863396]","[3, 0.830389242706144]","[3, 0.00026756085484121026]","[1, 1.0]","[4, 0.6594794340743729]","[4, 0.4423957480735572]","[1, 1.0]","[3, 0.018104639675032893]","[1, 0.1941905922106065]","[100, 100]"
Non-verbal scaffolding:cognitive,"[5, 0.005707488073693967]","[1, 0.2455593408274538]","[1, 0.19076834821285443]","[3, 0.07278463289550337]","[100, 100]","[5, 0.8368939739965556]","[4, 0.21572257745424606]","[2, 0.034974245596790916]","[3, 0.02238941971091715]","[1, 1.0]","[3, 0.40433020996560487]","[2, 0.3159571242768795]","[0, 1]","[2, 0.37520146606660715]","[1, 0.19076479113617073]","[5, 0.7325939011311112]","[2, 0.03601718623478147]","[5, 0.5401857772543581]","[1, 0.3654858288423948]","[3, 0.0038151670828564296]","[2, 0.018803907894393793]","[1, 0.1527102287307464]","[2, 0.36439524601404216]","[5, 0.9999609335201912]","[5, 0.003689611170572517]","[1, 1.0]","[100, 100]","[5, 0.09163915121067347]","[2, 0.21011172303242803]","[2, 0.1474762354179645]","[2, 0.9047503026698942]","[1, 0.47625046575312024]","[1, 0.21708452210114668]","[3, 0.0005468570362060101]","[3, 0.5096693269393715]","[3, 0.07499960894444832]","[5, 0.534275307740053]","[1, 0.07023080394366227]","[100, 100]"
Non-verbal scaffolding:technical,"[1, 1.0]","[2, 0.18395531225724174]","[1, 0.0020326672214114883]","[5, 0.0001874324658305554]","[100, 100]","[1, 1.0]","[5, 0.010556080452915633]","[1, 0.32538890675698506]","[5, 0.057819113025111814]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.10862739375702944]","[0, 1]","[3, 0.991968928965156]","[5, 0.9999238185227388]","[5, 0.9997074316844057]","[1, 1.0]","[5, 0.9959342901682756]","[2, 0.0011595367551770711]","[4, 0.05159254870643135]","[3, 0.5276079137774337]","[5, 0.03301705991493607]","[2, 0.0020066651367521672]","[2, 0.00014388546080499405]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.008036251750141719]","[1, 1.0]","[3, 0.966141719877521]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.001525824512064221]","[100, 100]"
Parent gaze:robot,"[5, 0.5232486456602614]","[5, 0.5618533353911956]","[1, 0.5253109890805792]","[2, 0.569245152185686]","[100, 100]","[4, 0.43056880806828457]","[2, 0.13743506700143096]","[4, 0.07793944153136624]","[4, 0.08295263161897537]","[1, 0.046099102788740215]","[3, 0.5349569887195553]","[5, 0.04351056572258328]","[1, 0.08893652292722479]","[2, 0.4899559087306199]","[0, 1]","[3, 0.0002834672195735728]","[2, 1.1353248378200307e-08]","[3, 0.021084449329380722]","[1, 0.43460445340370646]","[4, 0.00437473009576037]","[2, 0.06974869777291737]","[2, 0.4228510573157581]","[4, 0.1613832533537017]","[5, 0.011861979445835781]","[2, 0.9745500763674372]","[5, 0.013462304380726852]","[100, 100]","[1, 0.377129405340914]","[4, 0.16885799486487169]","[5, 0.6710733467592929]","[3, 0.08067411133179257]","[1, 0.01334404233812182]","[3, 0.7437947514654506]","[5, 0.4524121898278183]","[1, 0.9236205249966252]","[2, 0.24890312188837385]","[1, 0.7992954091789432]","[2, 0.0004100223556324952]","[100, 100]"
Parent gaze:child,"[1, 0.2413512044347121]","[2, 0.9015343511955989]","[1, 0.09340526888253597]","[1, 0.99648152279383]","[100, 100]","[1, 0.1568507991516616]","[5, 0.00028450153667879287]","[1, 0.010698527362009417]","[1, 0.4557998638474269]","[2, 0.09633845772597499]","[2, 0.9999999999999675]","[1, 0.0017013513423139014]","[1, 0.19118591126482665]","[4, 0.4520332874542393]","[3, 0.003833983041738862]","[0, 1]","[2, 0.005961156495613338]","[5, 0.4216912284384715]","[2, 0.49520982064980246]","[3, 0.006787925971586185]","[1, 0.22156858797870038]","[4, 0.040870174358091045]","[1, 0.1578741620515266]","[4, 0.00012047192613068579]","[1, 0.06469258783802975]","[2, 0.9999323212420224]","[100, 100]","[1, 0.012028504541405508]","[5, 0.7841757627731523]","[2, 0.9999999999999675]","[2, 0.9999999999999675]","[5, 1.2185717887911153e-08]","[1, 0.9970265318415809]","[1, 0.20264300174996272]","[1, 0.9970265318415809]","[1, 0.9954569956874331]","[3, 0.028016339559811494]","[2, 0.1677889081956062]","[100, 100]"
Parent gaze:props,"[1, 0.09228056356504499]","[3, 0.28677777643611024]","[1, 0.1337083880448039]","[5, 0.9999994889772262]","[100, 100]","[3, 0.4500484911101662]","[3, 0.19316285253856755]","[2, 0.5028983630802177]","[1, 0.5460579414813068]","[4, 0.006191582598807715]","[4, 0.2148620703048535]","[1, 0.473395080470874]","[1, 0.05357992589707566]","[3, 0.5890301004366345]","[2, 7.721571026221201e-11]","[2, 0.12842560005757958]","[0, 1]","[4, 0.4531428411918238]","[3, 0.12823215907511648]","[1, 0.3680971196038356]","[1, 0.06327228998974974]","[3, 0.9973416378793627]","[4, 0.026278732755147978]","[4, 0.3410714054002461]","[1, 0.4462199218899303]","[4, 0.02561867459780051]","[100, 100]","[1, 0.3018868013424911]","[3, 0.07021697776076376]","[1, 0.3544694064633255]","[3, 0.00032271413099686097]","[5, 0.00017386076184428296]","[2, 0.18923210214601818]","[1, 0.33338824025225466]","[1, 0.22498158993178088]","[3, 0.9999998931468582]","[1, 0.0008815105739750956]","[2, 0.011555315460483589]","[100, 100]"
Parent affect:positive 3,"[1, 0.9939429543423539]","[3, 0.513537901351744]","[3, 0.2257651850318513]","[1, 0.9902321073521861]","[100, 100]","[5, 0.004167657927999024]","[4, 9.055461323427565e-17]","[1, 0.018174762611644996]","[1, 0.9963087153031588]","[1, 1.0]","[1, 1.0]","[5, 1.1275362830407485e-14]","[1, 1.0]","[1, 1.0]","[3, 0.007610596834340373]","[5, 0.0014273401312830396]","[4, 0.11280724131740986]","[0, 1]","[2, 0.0029269316988816746]","[1, 8.739346544978126e-05]","[1, 1.0]","[1, 0.9902321073521861]","[3, 0.2419498439060285]","[1, 1.0]","[1, 0.008781404135228025]","[2, 0.9996232837762715]","[100, 100]","[1, 0.00035550171626905577]","[5, 0.09373321411642296]","[1, 1.0]","[1, 1.0]","[3, 1.8615285148998453e-07]","[1, 0.9917450948665049]","[1, 0.9934152052223545]","[1, 0.9917450948665049]","[1, 0.9873880259747256]","[1, 0.05278451487775456]","[4, 0.1716330766332845]","[100, 100]"
Parent affect:positive 1,"[2, 0.0006831372724708931]","[1, 0.4769055860282684]","[3, 0.931558378834873]","[1, 0.9953116150820179]","[100, 100]","[1, 7.198840386455126e-05]","[5, 0.000566101210513279]","[4, 0.5529572831449937]","[5, 0.052495173690799146]","[1, 1.0]","[3, 0.08379764600643716]","[2, 0.030225073262510446]","[1, 0.36562200258049804]","[3, 0.09629981106867784]","[1, 0.4364716488151307]","[1, 0.9979036571824491]","[1, 0.37626723182997746]","[3, 0.964651343289917]","[0, 1]","[5, 0.2726599798903006]","[1, 0.39745432431136984]","[1, 0.008128466845462557]","[1, 0.3279650017713607]","[1, 1.0]","[1, 0.011888996373304902]","[5, 0.00251145007141824]","[100, 100]","[1, 1.0]","[4, 0.2106312732390628]","[1, 0.08980200754812814]","[1, 1.0]","[3, 0.59728728347032]","[1, 0.025456775990701182]","[4, 0.03165741927790542]","[4, 0.32439794658666643]","[1, 0.0006270458850482315]","[1, 1.0]","[3, 0.10965369615226447]","[100, 100]"
Parent affect:positive 2,"[1, 1.0]","[2, 0.04221411191801949]","[2, 0.18314027500038443]","[1, 1.0]","[100, 100]","[4, 0.0028422920026840654]","[3, 0.000112598251459203]","[1, 0.197666134621667]","[1, 0.2582676809945748]","[1, 1.0]","[1, 1.0]","[3, 0.1823598909727031]","[1, 0.3022048990742075]","[4, 0.9686964474392468]","[1, 0.00742095073396992]","[3, 0.02145160813008848]","[4, 0.0052323306068098215]","[3, 0.0015609703446929169]","[4, 0.2538814620771554]","[0, 1]","[1, 0.3345755740352092]","[1, 1.0]","[4, 0.08050388552401017]","[1, 1.0]","[2, 0.3552358725075948]","[1, 1.0]","[100, 100]","[3, 0.054494133219422924]","[1, 1.0]","[4, 0.9888648718931906]","[1, 1.0]","[4, 2.348907743972642e-09]","[4, 0.15296777158575284]","[1, 1.0]","[4, 0.15296777158575284]","[1, 1.0]","[2, 0.004506630974481253]","[4, 0.03805125859549277]","[100, 100]"
Parent gesture:point at prop,"[5, 0.0005067472986167657]","[1, 0.14611884496253333]","[4, 0.5523368597074951]","[5, 0.07326015837963389]","[100, 100]","[5, 0.8454507194247474]","[4, 0.3593098848839156]","[2, 0.014278952991438333]","[3, 0.025243626190110176]","[5, 0.0080372953429249]","[3, 0.4493451730985575]","[2, 0.3567036007196699]","[4, 0.01815583041755668]","[4, 0.2712089572666363]","[1, 0.2181476448360404]","[2, 0.7672550443559991]","[2, 0.02144490142697729]","[5, 0.596319167293501]","[5, 0.3656594479360491]","[3, 5.113479647795123e-05]","[0, 1]","[1, 0.18914898118400228]","[5, 0.37379768956816944]","[5, 0.9999479463268667]","[5, 0.0003159112587579953]","[1, 1.0]","[100, 100]","[5, 0.008929054788314992]","[2, 0.2454125528843851]","[5, 0.1431036980241782]","[2, 0.8921516698073318]","[1, 0.5128374749133633]","[1, 0.24807816204306835]","[4, 0.0009464068054887197]","[3, 0.5122957229216831]","[3, 0.09953543077914102]","[5, 0.5799600753961325]","[3, 0.3650853476410694]","[100, 100]"
