,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[6 2 3 1],[1 2 3 4 5]
1,action,Child affect,action,Child prop manipulation,[6],[1 2]
2,action,Child affect,action,Child utterance,[4 1],[1 2 3]
3,action,Child affect,action,Conversational turns,[1 1 2 2 0 1],[1 2 3 4 5 6 7]
4,action,Child affect,action,Joint attention,[7 3 2],[1 2 3 4]
5,action,Child affect,action,Mutual gaze,[],[1]
6,action,Child affect,action,Non-verbal scaffolding,[4 1],[1 2 3]
7,action,Child affect,action,Parent affect,[4 1],[1 2 3]
8,action,Child affect,action,Parent affective touch,[1],[1 2]
9,action,Child affect,action,Parent gaze,[3 7 2],[1 2 3 4]
10,action,Child affect,action,Parent gesture,[5 1],[1 2 3]
11,action,Child affect,action,Parent prop manipulation,[],[1]
12,action,Child affect,action,Parent utterance,[7 7],[1 2 3]
13,action,Child affect,action,Verbal scaffolding,[9 2],[1 2 3]
14,action,Child affect,action,robot pointing,[5 1],[1 2 3]
15,action,Child affect,action,robot text,[4 4],[1 2 3]
16,action,Child affect,sub_action,CP,[4 1],[1 2 3]
17,action,Child affect,sub_action,CPC,[1],[1 2]
18,action,Child affect,sub_action,MG,[],[1]
19,action,Child affect,sub_action,PC,[4 2],[1 2 3]
20,action,Child affect,sub_action,PCP,[4 2],[1 2 3]
21,action,Child affect,sub_action,affective,[2],[1 2]
22,action,Child affect,sub_action,affective touch,[1],[1 2]
23,action,Child affect,sub_action,child,[9 1],[1 2 3]
24,action,Child affect,sub_action,cognitive,[5 3 0 1],[1 2 3 4 5]
25,action,Child affect,sub_action,instruction translation,[2],[1 2]
26,action,Child affect,sub_action,other,[2],[1 2]
27,action,Child affect,sub_action,parent,[],[1]
28,action,Child affect,sub_action,pick up,[1],[1 2]
29,action,Child affect,sub_action,point at prop,[7 2 1],[1 2 3 4]
30,action,Child affect,sub_action,positive 1,[5 1],[1 2 3]
31,action,Child affect,sub_action,positive 2,[5],[1 2]
32,action,Child affect,sub_action,positive 3,[],[1]
33,action,Child affect,sub_action,positive feedback,[],[1]
34,action,Child affect,sub_action,props,[4 2 2 2 2],[1 2 3 4 5 6]
35,action,Child affect,sub_action,put down,[3],[1 2]
36,action,Child affect,sub_action,robot,[3 4 3 2],[1 2 3 4 5]
37,action,Child affect,sub_action,song,[],[1]
38,action,Child affect,sub_action,teach,[4 1],[1 2 3]
39,action,Child affect,sub_action,technical,[],[1]
40,action,Child affect,sub_action,try again,[],[1]
41,action,Child affect,sub_action,utterance,[4 8 1 1],[1 2 3 4 5]
42,action,Child affect,action:sub_action,Child affect:positive 1,[3],[1 2]
43,action,Child affect,action:sub_action,Child affect:positive 2,[3],[1 2]
44,action,Child affect,action:sub_action,Child affect:positive 3,[],[1]
45,action,Child affect,action:sub_action,Child gaze:parent,[],[1]
46,action,Child affect,action:sub_action,Child gaze:props,[7 3],[1 2 3]
47,action,Child affect,action:sub_action,Child gaze:robot,[6 2],[1 2 3]
48,action,Child affect,action:sub_action,Child prop manipulation:child,[6],[1 2]
49,action,Child affect,action:sub_action,Child utterance:utterance,[4 1],[1 2 3]
50,action,Child affect,action:sub_action,Conversational turns:CP,[4 1],[1 2 3]
51,action,Child affect,action:sub_action,Conversational turns:CPC,[1],[1 2]
52,action,Child affect,action:sub_action,Conversational turns:PC,[4 2],[1 2 3]
53,action,Child affect,action:sub_action,Conversational turns:PCP,[4 2],[1 2 3]
54,action,Child affect,action:sub_action,Joint attention:props,[5 3],[1 2 3]
55,action,Child affect,action:sub_action,Joint attention:robot,[8],[1 2]
56,action,Child affect,action:sub_action,Mutual gaze:MG,[],[1]
57,action,Child affect,action:sub_action,Non-verbal scaffolding:cognitive,[4 1],[1 2 3]
58,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[],[1]
59,action,Child affect,action:sub_action,Parent affect:positive 1,[4],[1 2]
