,total time,count,normalized total time,normalized count
Child affect,24.560000000000002,8,0.0883783861588508,0.028787747934479083
Child gaze,205.94,68,0.7410686012033278,0.2446958574430722
Child gesture,2.4800000000000004,3,0.008924201859688518,0.010795405475429657
Child prop manipulation,79.22,17,0.28507067392117913,0.06117396436076805
Child utterance,46.78,53,0.16833635604686645,0.19071883006592394
Conversational turns,1119.2899999999995,198,4.027729798197885,0.7124967613783574
Joint attention,102.56000000000003,42,0.369058928520022,0.15113567665601518
Mutual gaze,17.160000000000075,19,0.061749719319457906,0.06837090134438782
Non-verbal scaffolding,27.8,29,0.10003742407231482,0.10435558626248669
Parent affect,94.4,23,0.33969542562685323,0.08276477531162736
Parent affective touch,1.8,2,0.006477243285257794,0.007196936983619771
Parent gaze,253.16,103,0.9109882833865907,0.3706422546564182
Parent gesture,18.94,24,0.06815499323487924,0.08636324380343725
Parent prop manipulation,13.04,5,0.0469240291332009,0.01799234245904943
Parent utterance,75.78,66,0.2726919423093531,0.23749892045945245
Verbal scaffolding,59.58,52,0.214396752742033,0.18712036157411405
robot pointing,29.17,14,0.10496732590609437,0.0503785588853384
robot text,140.062,46,0.5040086938998762,0.16552955062325472
CP,195.07999999999979,48,0.7019892333822717,0.1727264876068745
CPC,319.2699999999999,44,1.1488830353801418,0.15833261363963497
MG,17.160000000000075,19,0.061749719319457906,0.06837090134438782
PC,206.18,54,0.7419322336413622,0.19431729855773383
PCP,398.75999999999976,52,1.434925295794109,0.18712036157411405
affective,17.82,12,0.06412470852405217,0.04318162190171863
affective touch,1.8,2,0.006477243285257794,0.007196936983619771
child,165.9,60,0.5969859227912601,0.21590810950859313
cognitive,65.46,64,0.2355557474738751,0.23030198347583267
correction,6.957,3,0.025034545297521374,0.010795405475429657
instruction translation,0.86,1,0.0030946829029565013,0.0035984684918098854
other,9.058,5,0.032594927598813946,0.01799234245904943
parent,38.7,24,0.1392607306330426,0.08636324380343725
pick up,16.402,7,0.05902208020266574,0.0251892794426692
point at prop,49.79,40,0.1791677462072142,0.14393873967239543
positive 1,48.48,16,0.17445375248294323,0.05757549586895817
positive 2,45.56,10,0.1639462244868584,0.03598468491809886
positive 3,24.92,5,0.08967383481590235,0.01799234245904943
positive feedback,14.243,5,0.0512529867288482,0.01799234245904943
props,338.56000000000006,84,1.218297492587155,0.30227135331203037
put down,31.07,13,0.11180441604053315,0.04678009039352851
robot,108.59999999999998,65,0.3907936782105535,0.23390045196764256
robot or prop,2.16,2,0.007772691942309353,0.007196936983619771
song,40.64,1,0.14624175950715376,0.0035984684918098854
teach,15.824,9,0.05694216541439963,0.03238621642628897
technical,3.24,4,0.01165903791346403,0.014393873967239542
try again,6.668,4,0.023994587903388317,0.014393873967239542
utterance,122.56,119,0.4410282983562196,0.42821775052537636
Child affect:positive 1,7.92,5,0.02849987045513429,0.01799234245904943
Child affect:positive 2,7.960000000000001,2,0.02864380919480669,0.007196936983619771
Child affect:positive 3,8.68,1,0.031234706508909804,0.0035984684918098854
Child gaze:parent,25.66,19,0.09233670149984166,0.06837090134438782
Child gaze:props,119.24,25,0.42908138296341075,0.08996171229524713
Child gaze:robot,61.04,24,0.2196505167400754,0.08636324380343725
Child gesture:point at prop,2.4800000000000004,3,0.008924201859688518,0.010795405475429657
Child prop manipulation:child,79.22,17,0.28507067392117913,0.06117396436076805
Child utterance:utterance,46.78,53,0.16833635604686645,0.19071883006592394
Conversational turns:CP,195.07999999999979,48,0.7019892333822717,0.1727264876068745
Conversational turns:CPC,319.2699999999999,44,1.1488830353801418,0.15833261363963497
Conversational turns:PC,206.18,54,0.7419322336413622,0.19431729855773383
Conversational turns:PCP,398.75999999999976,52,1.434925295794109,0.18712036157411405
Joint attention:props,88.56000000000006,28,0.31868036963468366,0.1007571177706768
Joint attention:robot,13.999999999999979,14,0.05037855888533832,0.0503785588853384
Mutual gaze:MG,17.160000000000075,19,0.061749719319457906,0.06837090134438782
Non-verbal scaffolding:affective,8.44,4,0.030371074070875432,0.014393873967239542
Non-verbal scaffolding:cognitive,16.12,21,0.05800731208797536,0.07556783832800759
Non-verbal scaffolding:technical,3.24,4,0.01165903791346403,0.014393873967239542
Parent affect:positive 1,40.56,11,0.14595388202780896,0.03958315340990874
Parent affect:positive 2,37.6,8,0.1353024152920517,0.028787747934479083
Parent affect:positive 3,16.240000000000002,4,0.05843912830699255,0.014393873967239542
Parent affective touch:affective touch,1.8,2,0.006477243285257794,0.007196936983619771
Parent gaze:child,86.68,43,0.3119152488700809,0.15473414514782508
Parent gaze:props,130.76,31,0.4705357399890606,0.11155252324610646
Parent gaze:robot,33.56,27,0.12076460258513977,0.09715864927886692
Parent gaze:robot or prop,2.16,2,0.007772691942309353,0.007196936983619771
Parent gesture:other,0.8,1,0.0028787747934479087,0.0035984684918098854
Parent gesture:point at prop,18.14,23,0.06527621844143132,0.08276477531162736
Parent prop manipulation:parent,13.04,5,0.0469240291332009,0.01799234245904943
Parent utterance:utterance,75.78,66,0.2726919423093531,0.23749892045945245
Verbal scaffolding:affective,9.38,8,0.03375363445317673,0.028787747934479083
Verbal scaffolding:cognitive,49.339999999999996,43,0.17754843538589973,0.15473414514782508
Verbal scaffolding:instruction translation,0.86,1,0.0030946829029565013,0.0035984684918098854
robot pointing:point at prop,29.17,14,0.10496732590609437,0.0503785588853384
robot text:correction,6.957,3,0.025034545297521374,0.010795405475429657
robot text:other,8.258,4,0.02971615280536603,0.014393873967239542
robot text:pick up,16.402,7,0.05902208020266574,0.0251892794426692
robot text:positive feedback,14.243,5,0.0512529867288482,0.01799234245904943
robot text:put down,31.07,13,0.11180441604053315,0.04678009039352851
robot text:song,40.64,1,0.14624175950715376,0.0035984684918098854
robot text:teach,15.824,9,0.05694216541439963,0.03238621642628897
robot text:try again,6.668,4,0.023994587903388317,0.014393873967239542
