,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,46.72
1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,47.22
2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,47.72
3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,48.22
4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,48.72
5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,49.22
6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,49.72
7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,50.22
8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,50.72
9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,51.22
10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,51.72
11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,52.22
12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,52.72
13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.22
14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,53.72
15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,54.22
16,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,54.72
17,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,55.22
18,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,55.72
19,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,56.22
20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,56.72
21,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,57.22
22,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,57.72
23,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,58.22
24,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,58.72
25,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,59.22
26,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,59.72
27,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,60.22
28,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,60.72
29,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,61.22
30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,61.72
31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,62.22
32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,62.72
33,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,63.22
34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,63.72
35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,64.22
36,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,64.72
37,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,65.22
38,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,65.72
39,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,66.22
40,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,66.72
41,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,67.22
