,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,38.92
1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,39.42
2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,39.92
3,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,40.42
4,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,40.92
5,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,41.42
6,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,41.92
7,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,42.42
8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,42.92
9,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,43.42
10,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,43.92
11,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,44.42
12,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,44.92
13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,45.42
14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,45.92
15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,46.42
16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,46.92
17,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,47.42
18,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,47.92
19,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,48.42
20,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,48.92
21,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49.42
22,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49.92
23,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,50.42
24,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,50.92
25,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,51.42
26,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,51.92
27,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,52.42
28,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,52.92
29,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,53.42
30,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,53.92
31,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,54.42
32,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,54.92
33,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,55.42
34,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,55.92
35,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,56.42
36,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,56.92
37,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,57.42
38,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,57.92
39,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,58.42
40,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,58.92
41,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,59.42
42,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,59.92
43,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,60.42
44,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,60.92
45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,61.42
46,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,61.92
47,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,62.42
48,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,62.92
49,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,63.42
50,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,63.92
51,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,64.42
52,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,64.92
53,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,65.42
54,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,65.92
55,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,66.42
56,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,66.92
57,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,67.42
58,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,67.92
59,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,68.42
60,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,68.92
61,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,69.42
62,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,69.92
63,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,70.42
64,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,70.92
65,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,71.42
66,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.92
67,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.42
68,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.92
69,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,73.42
70,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,73.92
71,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,74.42
