,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:pick up,"[1, 0.2661730223955581]","[5, 0.01679749842536769]","[5, 0.2255872598739337]","[3, 0.0035983017323584048]","[1, 1.0]","[3, 0.014242299674211189]","[5, 0.6041970718019561]","[3, 0.019044517293023606]","[5, 0.27064263932508476]","[5, 0.20313931634973334]","[1, 1.0]","[3, 0.6887228574599211]","[1, 1.0]","[1, 1.0]","[1, 0.10271091878867236]","[5, 0.35904904296036066]","[5, 0.3733799213051964]","[1, 0.11910581467326485]","[3, 0.1704169728927645]","[3, 0.6887228574599211]","[100, 100]","[1, 1.0]","[5, 0.3068486944644384]","[5, 0.9985533318682384]","[100, 100]","[1, 1.0]","[5, 0.9940338580249838]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 5.383810979347193e-06]","[4, 0.039995868205754515]","[2, 0.19720377053601815]","[3, 1.272780492032665e-05]","[2, 0.3592006393135797]","[1, 0.33017606662620913]","[5, 0.16711428310654414]","[4, 0.009018035348149003]"
robot text:positive feedback,"[1, 0.05820035738972095]","[2, 0.050631172113736474]","[2, 0.16966537571706572]","[1, 1.0]","[1, 1.0]","[4, 0.014708208128370332]","[4, 0.007245262841129313]","[1, 1.0]","[5, 0.4317589204401452]","[4, 0.8502314593953759]","[1, 2.6837435916132524e-05]","[1, 1.0]","[5, 0.00025910381932533935]","[1, 1.0]","[1, 0.35612253084195056]","[5, 0.11555729451080556]","[2, 0.002339832556787116]","[1, 0.0003664733288175334]","[2, 0.11656324625599221]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.3867410234545016]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.8654236687654311]","[100, 100]","[4, 0.48889485331004]","[1, 1.0]","[1, 0.2938436245773864]","[5, 0.3180741123645293]","[1, 0.10388422249695461]","[3, 0.45413137248787894]","[5, 0.5979233204862968]","[2, 2.8476829171646193e-05]","[1, 1.0]"
robot text:put down,"[3, 0.346170821267259]","[2, 0.15764594704100934]","[3, 0.8218560727336589]","[5, 0.9994487696470956]","[1, 1.0]","[4, 0.4077765060976325]","[2, 0.00023285625114924862]","[1, 1.0]","[1, 0.467815219829964]","[1, 1.0]","[5, 0.9966570909021453]","[5, 0.9999923724818015]","[4, 4.564679780182438e-07]","[5, 4.881055865745104e-09]","[4, 0.19377331390349584]","[2, 0.037225316122019]","[1, 0.3287265871923251]","[4, 0.06408586140410362]","[2, 0.2245379167561963]","[5, 0.9999923724818015]","[100, 100]","[4, 4.5646797801826545e-07]","[4, 0.613966389326489]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.013178673369324715]","[100, 100]","[2, 0.13590511516805098]","[1, 0.012612623590538458]","[5, 0.1434839519358754]","[3, 0.2960591457793897]","[2, 0.1585974842510256]","[4, 0.7338314150415397]","[3, 0.18856692529452088]","[5, 0.9994487694970424]"
robot text:try again,"[1, 0.49683628733760177]","[4, 0.18829571413239413]","[5, 0.16885740847477382]","[1, 1.0]","[1, 1.0]","[5, 0.9624992381523122]","[5, 0.009756870512309201]","[1, 1.0]","[3, 0.26634848612534245]","[2, 0.4638352164248196]","[1, 1.0]","[5, 0.24831871921577184]","[1, 1.0]","[1, 1.0]","[2, 0.6088739329167732]","[2, 0.7402246426500493]","[1, 0.3722960189561837]","[1, 1.0]","[5, 0.6979651174351204]","[5, 0.24831871921577184]","[100, 100]","[1, 1.0]","[3, 0.029155052205607563]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.13676777716757607]","[1, 1.0]","[5, 0.9710287180237233]","[100, 100]","[3, 0.07496611624966461]","[2, 0.5898703330221694]","[5, 0.19526896253261927]","[5, 0.19019310418232024]","[2, 0.49029420469722584]","[4, 0.7370571579015397]","[1, 1.0]"
Conversational turns:PC,"[2, 0.00022936362336745683]","[1, 0.6596752199030707]","[1, 0.5971675189590706]","[1, 0.022284914240458944]","[1, 1.0]","[5, 0.6782600274719454]","[5, 0.07559153204095727]","[1, 0.9968655233246349]","[3, 0.059078046437960004]","[1, 0.35478390415807015]","[1, 1.0]","[1, 0.418245667468113]","[3, 0.9997044861040015]","[1, 0.8565142864652902]","[5, 0.026638361840278704]","[5, 0.053350973751708025]","[3, 0.10955992491048737]","[3, 0.6762933299778333]","[5, 0.2696353334693378]","[1, 0.418245667468113]","[100, 100]","[1, 0.005118619598940114]","[1, 0.005118619598939955]","[1, 0.2933903903054934]","[100, 100]","[1, 0.9929852688347768]","[1, 0.1641729002349097]","[2, 0.014125057015575669]","[1, 0.02925135459920569]","[4, 0.28779824128054504]","[2, 0.04562896470379]","[100, 100]","[3, 0.002881357754380243]","[2, 0.3362664876834648]","[4, 0.0033877880404591843]","[5, 0.1480925210177573]","[3, 0.14682325991621506]","[2, 0.07351656271232775]"
Conversational turns:CP,"[2, 0.20096631885335403]","[5, 0.08806706055795804]","[1, 0.0754408667469551]","[5, 0.2687344817613299]","[1, 1.0]","[4, 0.6863134818290302]","[3, 0.1158005549225928]","[5, 0.07274918424502863]","[5, 1.607915137619346e-06]","[3, 0.08275252078614775]","[3, 0.11987618661099428]","[1, 0.40119369095432245]","[4, 0.07224749777048116]","[5, 0.9999994912017193]","[1, 0.25975798638906783]","[2, 0.04269599508326281]","[4, 0.004618737465393953]","[2, 0.041396682835319984]","[1, 0.10920897825569867]","[1, 0.40119369095432245]","[100, 100]","[2, 0.995424151269297]","[4, 0.16717581021208955]","[2, 0.6353435738176969]","[100, 100]","[1, 1.0]","[2, 0.41631608374124607]","[1, 0.307933103818868]","[3, 0.13784580272548036]","[4, 0.005663470823972841]","[1, 0.30369429048088814]","[2, 0.15457214763170257]","[100, 100]","[5, 0.053583002707931184]","[3, 0.34203827112877827]","[5, 0.8609864464893229]","[5, 0.023049786786457842]","[1, 1.0]"
Conversational turns:PCP,"[4, 0.025892490690909233]","[2, 0.07232659090417912]","[1, 0.08759064726996982]","[1, 0.0003709670394005311]","[1, 1.0]","[3, 0.6596174613313539]","[1, 0.028248360364039875]","[1, 0.9950982292192128]","[3, 0.0252813965436063]","[1, 0.7801822075933335]","[3, 0.00017141731004066658]","[5, 0.5449459692706322]","[4, 3.579902702230388e-05]","[3, 0.9999992901008986]","[1, 0.005717309415254274]","[3, 0.00887215217017026]","[3, 0.0773333701344721]","[2, 0.18689278209322496]","[5, 0.4978854625169964]","[5, 0.5449459692706322]","[100, 100]","[1, 1.0]","[1, 0.9119852251748156]","[5, 0.7576596839311329]","[100, 100]","[1, 0.9890303544919973]","[5, 0.4650543958643041]","[2, 0.9996393219322157]","[1, 0.9001972995164493]","[4, 0.00039062663311816503]","[2, 0.21399778459004207]","[3, 0.10622233063279636]","[4, 0.6363598456780228]","[100, 100]","[4, 0.003648602082435611]","[3, 0.25632820581283877]","[2, 0.16836090694188918]","[2, 0.001793183399929653]"
Conversational turns:CPC,"[3, 0.007579012998913516]","[2, 0.24134489359338074]","[1, 0.10135324814714716]","[5, 0.002020724281935698]","[1, 1.0]","[5, 0.6900048773562106]","[2, 0.5389311378064157]","[1, 0.995461899138035]","[1, 0.20602010519036193]","[1, 0.23461003313132503]","[1, 1.0]","[5, 0.5409265746774827]","[3, 0.999999999905994]","[3, 0.9999994475003603]","[2, 0.631904119582212]","[5, 0.1354832950550604]","[3, 0.33686576364982374]","[5, 0.23966454110400953]","[3, 0.5121188593426043]","[5, 0.5409265746774827]","[100, 100]","[1, 1.277922656957156e-05]","[1, 0.15288269082004172]","[4, 0.26051188846688234]","[100, 100]","[1, 0.9898441731119416]","[4, 0.053502416258607424]","[4, 0.18302236385869008]","[3, 0.0468571767006136]","[5, 0.0473546011745409]","[1, 0.07865769158962868]","[5, 0.7558771554186982]","[2, 0.11219772196641213]","[5, 0.10049484294388855]","[100, 100]","[2, 0.5180471869177993]","[3, 0.34941133090609217]","[1, 0.994140536771343]"
Joint attention:robot,"[1, 0.3634784380746252]","[5, 0.08310431035992372]","[5, 0.07006813176323068]","[5, 0.0017480835304050338]","[2, 0.9999999999999271]","[5, 0.15695772279155218]","[4, 0.10340107046066478]","[3, 0.21477633311653463]","[1, 0.3297623172485933]","[1, 0.07506642955474264]","[5, 0.00478785768166001]","[2, 0.30282442822653216]","[2, 0.9999999999999271]","[3, 0.9999991335963996]","[2, 0.618701799849219]","[3, 0.024824707290775194]","[1, 0.18514757160285913]","[5, 0.7857112776842982]","[4, 0.06726096241670772]","[2, 0.30282442822653216]","[100, 100]","[2, 0.9999999999999271]","[5, 0.9353201129994172]","[3, 0.04332072447068458]","[100, 100]","[3, 2.6200552342432937e-05]","[5, 0.0004384691478048799]","[4, 0.7306887576789896]","[5, 0.024176313630175597]","[2, 0.6523137659892302]","[1, 0.22351441561291058]","[1, 0.016631171595427867]","[1, 0.49441706511662786]","[1, 0.014898818253476036]","[2, 0.23769270300312675]","[100, 100]","[1, 0.5939973459737644]","[5, 0.00018656024448296605]"
Joint attention:props,"[3, 0.43326169997439323]","[2, 0.002539313060670498]","[5, 0.159182295515103]","[5, 0.48960534967660396]","[5, 0.032054635637834325]","[1, 0.007919718248218787]","[5, 0.34644750485953146]","[3, 0.0001974127954055213]","[2, 0.006232632731493082]","[1, 0.29162453353482376]","[1, 0.021682755295023597]","[2, 0.04718397221408108]","[5, 0.0008085724314578556]","[1, 1.0]","[1, 0.3965175213142731]","[2, 1.7642743847970728e-11]","[3, 0.001736038027411785]","[1, 0.32973154258262194]","[4, 0.288463526280321]","[2, 0.04718397221408108]","[100, 100]","[5, 0.00031106109880351404]","[5, 1.610432810517958e-07]","[4, 0.41039301583495436]","[100, 100]","[1, 1.0]","[1, 0.29603255664031586]","[4, 0.13978315168818017]","[5, 0.005128901440233933]","[1, 0.04024483473655219]","[2, 0.6421692236758857]","[1, 0.08090244671300187]","[4, 0.03220624535901004]","[2, 0.06929956170824576]","[1, 0.3294035501636654]","[5, 0.8251984059722466]","[100, 100]","[5, 0.00016569185026251137]"
Mutual gaze:MG,"[1, 0.17338337084598124]","[4, 0.27224822580406915]","[5, 0.21037038974589503]","[5, 2.9826124530182274e-17]","[1, 1.0]","[2, 0.030604496296448205]","[4, 0.805879788712538]","[1, 0.9905457161739589]","[4, 0.6799925175438604]","[4, 0.7451141865732709]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 7.426375490126136e-67]","[4, 0.1363005109427618]","[5, 0.270165614521331]","[1, 0.07377861594231924]","[4, 0.0013562665632252267]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.47289667477249764]","[100, 100]","[1, 0.9788437432312098]","[4, 0.1713703769825215]","[5, 0.9999999999999997]","[4, 0.47289667477249764]","[4, 0.0005656575683386979]","[1, 1.0]","[5, 0.01939832508970314]","[1, 1.0]","[4, 0.4188066882161601]","[1, 0.9941373768736506]","[4, 0.025332287800058008]","[4, 0.7443313750798424]","[100, 100]"
