,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,47.6,48.84,1.24,utterance,Child utterance:utterance,3,t,117,SK
1,Child utterance,Child,53.74,55.5,1.76,utterance,Child utterance:utterance,3,t,117,SK
2,Child utterance,Child,60.12,60.84,0.72,utterance,Child utterance:utterance,3,t,117,SK
3,Child utterance,Child,64.78,65.38,0.6,utterance,Child utterance:utterance,3,t,117,SK
4,Child utterance,Child,71.36,72.44,1.08,utterance,Child utterance:utterance,3,t,117,SK
5,Child utterance,Child,80.53999999999999,81.22,0.68,utterance,Child utterance:utterance,3,t,117,SK
6,Child utterance,Child,81.88,83.76,1.88,utterance,Child utterance:utterance,3,t,117,SK
7,Child utterance,Child,85.94,87.94,2.0,utterance,Child utterance:utterance,3,t,117,SK
8,Child utterance,Child,92.88,93.44,0.56,utterance,Child utterance:utterance,3,t,117,SK
9,Child utterance,Child,95.34,95.97999999999999,0.64,utterance,Child utterance:utterance,3,t,117,SK
10,Child utterance,Child,102.8,103.2,0.4,utterance,Child utterance:utterance,3,t,117,SK
11,Child utterance,Child,107.28,107.72,0.44,utterance,Child utterance:utterance,3,t,117,SK
12,Child utterance,Child,122.0,122.64,0.64,utterance,Child utterance:utterance,3,t,117,SK
13,Child utterance,Child,124.64,125.28,0.64,utterance,Child utterance:utterance,3,t,117,SK
14,Child utterance,Child,125.84,126.4,0.56,utterance,Child utterance:utterance,3,t,117,SK
15,Child utterance,Child,137.92000000000002,139.68,1.76,utterance,Child utterance:utterance,3,t,117,SK
16,Child utterance,Child,145.7,146.42000000000002,0.72,utterance,Child utterance:utterance,3,t,117,SK
17,Child utterance,Child,150.0,150.8,0.8,utterance,Child utterance:utterance,3,t,117,SK
18,Child utterance,Child,156.92000000000002,157.44,0.52,utterance,Child utterance:utterance,3,t,117,SK
19,Child utterance,Child,168.86,169.66,0.8,utterance,Child utterance:utterance,3,t,117,SK
20,Child utterance,Child,175.18,175.78,0.6,utterance,Child utterance:utterance,3,t,117,SK
21,Child utterance,Child,180.1,182.34,2.24,utterance,Child utterance:utterance,3,t,117,SK
22,Child utterance,Child,195.42,196.34,0.92,utterance,Child utterance:utterance,3,t,117,SK
23,Child utterance,Child,203.56,205.28,1.72,utterance,Child utterance:utterance,3,t,117,SK
24,Child utterance,Child,207.76,208.28,0.52,utterance,Child utterance:utterance,3,t,117,SK
25,Child utterance,Child,216.94,217.7,0.76,utterance,Child utterance:utterance,3,t,117,SK
26,Child utterance,Child,225.36,227.04,1.68,utterance,Child utterance:utterance,3,t,117,SK
27,Child utterance,Child,234.6,235.4,0.8,utterance,Child utterance:utterance,3,t,117,SK
28,Child utterance,Child,244.8,245.28,0.48,utterance,Child utterance:utterance,3,t,117,SK
29,Child utterance,Child,247.2,248.12,0.92,utterance,Child utterance:utterance,3,t,117,SK
30,Child utterance,Child,249.3,249.94,0.64,utterance,Child utterance:utterance,3,t,117,SK
31,Child utterance,Child,259.96,260.64,0.68,utterance,Child utterance:utterance,3,t,117,SK
32,Child utterance,Child,267.5,268.38,0.88,utterance,Child utterance:utterance,3,t,117,SK
33,Child utterance,Child,277.06,278.7,1.64,utterance,Child utterance:utterance,3,t,117,SK
34,Child utterance,Child,280.36,280.38,0.02,utterance,Child utterance:utterance,3,t,117,SK
35,Child utterance,Child,280.38,282.62,2.24,utterance,Child utterance:utterance,3,t,117,SK
36,Child utterance,Child,284.26,285.7,1.44,utterance,Child utterance:utterance,3,t,117,SK
37,Child utterance,Child,288.14,288.62,0.48,utterance,Child utterance:utterance,3,t,117,SK
38,Child utterance,Child,290.58,291.54,0.96,utterance,Child utterance:utterance,3,t,117,SK
39,Child utterance,Child,300.06,300.7,0.64,utterance,Child utterance:utterance,3,t,117,SK
40,Child gaze,Child,47.48,49.96,2.48,parent,Child gaze:parent,3,t,117,SK
41,Child gaze,Child,50.0,54.0,4.0,tablet,Child gaze:tablet,3,t,117,SK
42,Child gaze,Child,54.04,56.88,2.84,parent,Child gaze:parent,3,t,117,SK
43,Child gaze,Child,56.98,59.5,2.52,tablet,Child gaze:tablet,3,t,117,SK
44,Child gaze,Child,59.52,61.28,1.76,parent,Child gaze:parent,3,t,117,SK
45,Child gaze,Child,61.4,65.2,3.8,tablet,Child gaze:tablet,3,t,117,SK
46,Child gaze,Child,65.3,65.82,0.52,parent,Child gaze:parent,3,t,117,SK
47,Child gaze,Child,65.84,72.0,6.16,tablet,Child gaze:tablet,3,t,117,SK
48,Child gaze,Child,72.08,72.84,0.76,parent,Child gaze:parent,3,t,117,SK
49,Child gaze,Child,72.94,80.86,7.92,tablet,Child gaze:tablet,3,t,117,SK
50,Child gaze,Child,83.34,83.86,0.52,parent,Child gaze:parent,3,t,117,SK
51,Child gaze,Child,89.52,124.16,34.64,tablet,Child gaze:tablet,3,t,117,SK
52,Child gaze,Child,124.24,124.68,0.44,parent,Child gaze:parent,3,t,117,SK
53,Child gaze,Child,124.78,125.94,1.16,tablet,Child gaze:tablet,3,t,117,SK
54,Child gaze,Child,125.96,127.52,1.56,parent,Child gaze:parent,3,t,117,SK
55,Child gaze,Child,127.62,138.42000000000002,10.8,tablet,Child gaze:tablet,3,t,117,SK
56,Child gaze,Child,138.46,139.3,0.84,parent,Child gaze:parent,3,t,117,SK
57,Child gaze,Child,139.32,146.2,6.88,tablet,Child gaze:tablet,3,t,117,SK
58,Child gaze,Child,146.28,146.76,0.48,parent,Child gaze:parent,3,t,117,SK
59,Child gaze,Child,146.8,150.68,3.88,tablet,Child gaze:tablet,3,t,117,SK
60,Child gaze,Child,150.74,152.22,1.48,parent,Child gaze:parent,3,t,117,SK
61,Child gaze,Child,152.28,154.04,1.76,tablet,Child gaze:tablet,3,t,117,SK
62,Child gaze,Child,154.12,156.2,2.08,parent,Child gaze:parent,3,t,117,SK
63,Child gaze,Child,156.24,181.04,24.8,tablet,Child gaze:tablet,3,t,117,SK
64,Child gaze,Child,181.12,183.28,2.16,parent,Child gaze:parent,3,t,117,SK
65,Child gaze,Child,183.32,208.04,24.72,tablet,Child gaze:tablet,3,t,117,SK
66,Child gaze,Child,208.16,208.76,0.6,parent,Child gaze:parent,3,t,117,SK
67,Child gaze,Child,208.82,217.18,8.36,tablet,Child gaze:tablet,3,t,117,SK
68,Child gaze,Child,217.2,218.2,1.0,parent,Child gaze:parent,3,t,117,SK
69,Child gaze,Child,218.38,225.3,6.92,tablet,Child gaze:tablet,3,t,117,SK
70,Child gaze,Child,227.28,227.52,0.24,parent,Child gaze:parent,3,t,117,SK
71,Child gaze,Child,227.6,234.64,7.04,tablet,Child gaze:tablet,3,t,117,SK
72,Child gaze,Child,234.8,237.76,2.96,parent,Child gaze:parent,3,t,117,SK
73,Child gaze,Child,237.84,245.28,7.44,tablet,Child gaze:tablet,3,t,117,SK
74,Child gaze,Child,245.36,246.24,0.88,parent,Child gaze:parent,3,t,117,SK
75,Child gaze,Child,246.36,247.04,0.68,tablet,Child gaze:tablet,3,t,117,SK
76,Child gaze,Child,247.1,248.1,1.0,parent,Child gaze:parent,3,t,117,SK
77,Child gaze,Child,248.44,261.0,12.56,tablet,Child gaze:tablet,3,t,117,SK
78,Child gaze,Child,261.08,261.56,0.48,parent,Child gaze:parent,3,t,117,SK
79,Child gaze,Child,261.64,264.48,2.84,tablet,Child gaze:tablet,3,t,117,SK
80,Child gaze,Child,264.54,265.34,0.8,parent,Child gaze:parent,3,t,117,SK
81,Child gaze,Child,265.42,278.14,12.72,tablet,Child gaze:tablet,3,t,117,SK
82,Child gaze,Child,278.22,279.82,1.6,parent,Child gaze:parent,3,t,117,SK
83,Child gaze,Child,279.86,283.98,4.12,tablet,Child gaze:tablet,3,t,117,SK
84,Child gaze,Child,284.04,287.2,3.16,parent,Child gaze:parent,3,t,117,SK
85,Child gaze,Child,287.3,290.9,3.6,tablet,Child gaze:tablet,3,t,117,SK
86,Child gaze,Child,292.74,300.3,7.56,tablet,Child gaze:tablet,3,t,117,SK
87,Child gaze,Child,300.44,301.16,0.72,parent,Child gaze:parent,3,t,117,SK
88,Child gaze,Child,301.28,308.44,7.16,tablet,Child gaze:tablet,3,t,117,SK
89,Child affect,Child,19.72,20.44,0.72,positive 1,Child affect:positive 1,3,t,117,SK
90,Child affect,Child,47.44,50.36,2.92,positive 1,Child affect:positive 1,3,t,117,SK
91,Child affect,Child,55.14,57.94,2.8,positive 1,Child affect:positive 1,3,t,117,SK
92,Child affect,Child,59.82,61.1,1.28,positive 1,Child affect:positive 1,3,t,117,SK
93,Child affect,Child,65.26,66.06,0.8,positive 1,Child affect:positive 1,3,t,117,SK
94,Child affect,Child,71.74,73.22,1.48,positive 1,Child affect:positive 1,3,t,117,SK
95,Child affect,Child,93.32,97.4,4.08,positive 2,Child affect:positive 2,3,t,117,SK
96,Child affect,Child,101.28,104.4,3.12,positive 2,Child affect:positive 2,3,t,117,SK
97,Child affect,Child,104.52000000000001,108.92,4.4,positive 1,Child affect:positive 1,3,t,117,SK
98,Child affect,Child,122.0,125.2,3.2,positive 1,Child affect:positive 1,3,t,117,SK
99,Child affect,Child,130.96,133.6,2.64,positive 1,Child affect:positive 1,3,t,117,SK
100,Child affect,Child,157.4,160.72,3.32,positive 1,Child affect:positive 1,3,t,117,SK
101,Child affect,Child,205.07999999999998,206.2,1.12,positive 1,Child affect:positive 1,3,t,117,SK
102,Child affect,Child,217.24,218.56,1.32,positive 1,Child affect:positive 1,3,t,117,SK
103,Child affect,Child,247.76,248.76,1.0,positive 1,Child affect:positive 1,3,t,117,SK
104,Child affect,Child,264.66,265.9,1.24,positive 1,Child affect:positive 1,3,t,117,SK
105,Child affect,Child,287.4,290.52,3.12,positive 1,Child affect:positive 1,3,t,117,SK
106,Child affect,Child,303.88,304.72,0.84,positive 1,Child affect:positive 1,3,t,117,SK
107,Child gesture,Child,57.76,60.16,2.4,point at prop,Child gesture:point at prop,3,t,117,SK
108,Child gesture,Child,64.4,65.2,0.8,point at prop,Child gesture:point at prop,3,t,117,SK
109,Child gesture,Child,95.06,97.53999999999999,2.48,point at prop,Child gesture:point at prop,3,t,117,SK
110,Child gesture,Child,107.14,108.25999999999999,1.12,point at prop,Child gesture:point at prop,3,t,117,SK
111,Child gesture,Child,125.38,126.98,1.6,point at prop,Child gesture:point at prop,3,t,117,SK
112,Child gesture,Child,136.56,139.88,3.32,point at prop,Child gesture:point at prop,3,t,117,SK
113,Child gesture,Child,145.62,146.7,1.08,point at prop,Child gesture:point at prop,3,t,117,SK
114,Child gesture,Child,149.62,152.34,2.72,point at prop,Child gesture:point at prop,3,t,117,SK
115,Child gesture,Child,156.74,157.38,0.64,point at prop,Child gesture:point at prop,3,t,117,SK
116,Child gesture,Child,180.36,181.0,0.64,point at prop,Child gesture:point at prop,3,t,117,SK
117,Child gesture,Child,188.96,189.96,1.0,point at prop,Child gesture:point at prop,3,t,117,SK
118,Child gesture,Child,195.6,197.16,1.56,point at prop,Child gesture:point at prop,3,t,117,SK
119,Child gesture,Child,207.5,209.62,2.12,point at prop,Child gesture:point at prop,3,t,117,SK
120,Child gesture,Child,217.46,218.62,1.16,point at prop,Child gesture:point at prop,3,t,117,SK
121,Child gesture,Child,238.38,239.94,1.56,point at prop,Child gesture:point at prop,3,t,117,SK
122,Child gesture,Child,245.32,246.4,1.08,point at prop,Child gesture:point at prop,3,t,117,SK
123,Child gesture,Child,249.82,251.22,1.4,point at prop,Child gesture:point at prop,3,t,117,SK
124,Child gesture,Child,260.2,262.96,2.76,point at prop,Child gesture:point at prop,3,t,117,SK
125,Child gesture,Child,299.34000000000003,301.7,2.36,point at prop,Child gesture:point at prop,3,t,117,SK
126,Parent utterance,Parent,16.76,17.84,1.08,utterance,Parent utterance:utterance,3,t,117,SK
127,Parent utterance,Parent,18.56,19.56,1.0,utterance,Parent utterance:utterance,3,t,117,SK
128,Parent utterance,Parent,56.1,57.34,1.24,utterance,Parent utterance:utterance,3,t,117,SK
129,Parent utterance,Parent,61.16,62.0,0.84,utterance,Parent utterance:utterance,3,t,117,SK
130,Parent utterance,Parent,63.02,64.06,1.04,utterance,Parent utterance:utterance,3,t,117,SK
131,Parent utterance,Parent,83.86,84.42,0.56,utterance,Parent utterance:utterance,3,t,117,SK
132,Parent utterance,Parent,85.18,86.06,0.88,utterance,Parent utterance:utterance,3,t,117,SK
133,Parent utterance,Parent,88.62,91.26,2.64,utterance,Parent utterance:utterance,3,t,117,SK
134,Parent utterance,Parent,92.34,92.78,0.44,utterance,Parent utterance:utterance,3,t,117,SK
135,Parent utterance,Parent,93.5,95.1,1.6,utterance,Parent utterance:utterance,3,t,117,SK
136,Parent utterance,Parent,95.86,97.06,1.2,utterance,Parent utterance:utterance,3,t,117,SK
137,Parent utterance,Parent,98.75999999999999,99.32,0.56,utterance,Parent utterance:utterance,3,t,117,SK
138,Parent utterance,Parent,106.47999999999999,107.44,0.96,utterance,Parent utterance:utterance,3,t,117,SK
139,Parent utterance,Parent,107.7,108.74000000000001,1.04,utterance,Parent utterance:utterance,3,t,117,SK
140,Parent utterance,Parent,109.78,111.74000000000001,1.96,utterance,Parent utterance:utterance,3,t,117,SK
141,Parent utterance,Parent,119.47999999999999,120.12,0.64,utterance,Parent utterance:utterance,3,t,117,SK
142,Parent utterance,Parent,123.6,124.08,0.48,utterance,Parent utterance:utterance,3,t,117,SK
143,Parent utterance,Parent,125.32,125.84,0.52,utterance,Parent utterance:utterance,3,t,117,SK
144,Parent utterance,Parent,126.48,128.08,1.6,utterance,Parent utterance:utterance,3,t,117,SK
145,Parent utterance,Parent,129.68,130.96,1.28,utterance,Parent utterance:utterance,3,t,117,SK
146,Parent utterance,Parent,139.72,140.96,1.24,utterance,Parent utterance:utterance,3,t,117,SK
147,Parent utterance,Parent,141.78,143.98,2.2,utterance,Parent utterance:utterance,3,t,117,SK
148,Parent utterance,Parent,146.06,146.62,0.56,utterance,Parent utterance:utterance,3,t,117,SK
149,Parent utterance,Parent,148.82,149.57999999999998,0.76,utterance,Parent utterance:utterance,3,t,117,SK
150,Parent utterance,Parent,151.68,154.12,2.44,utterance,Parent utterance:utterance,3,t,117,SK
151,Parent utterance,Parent,154.57999999999998,156.86,2.28,utterance,Parent utterance:utterance,3,t,117,SK
152,Parent utterance,Parent,157.56,158.68,1.12,utterance,Parent utterance:utterance,3,t,117,SK
153,Parent utterance,Parent,159.1,159.66,0.56,utterance,Parent utterance:utterance,3,t,117,SK
154,Parent utterance,Parent,166.9,168.5,1.6,utterance,Parent utterance:utterance,3,t,117,SK
155,Parent utterance,Parent,169.7,170.02,0.32,utterance,Parent utterance:utterance,3,t,117,SK
156,Parent utterance,Parent,171.98,174.14,2.16,utterance,Parent utterance:utterance,3,t,117,SK
157,Parent utterance,Parent,179.0,179.56,0.56,utterance,Parent utterance:utterance,3,t,117,SK
158,Parent utterance,Parent,182.66,184.1,1.44,utterance,Parent utterance:utterance,3,t,117,SK
159,Parent utterance,Parent,184.5,185.06,0.56,utterance,Parent utterance:utterance,3,t,117,SK
160,Parent utterance,Parent,186.42,187.94,1.52,utterance,Parent utterance:utterance,3,t,117,SK
161,Parent utterance,Parent,196.76,197.2,0.44,utterance,Parent utterance:utterance,3,t,117,SK
162,Parent utterance,Parent,206.5,207.42000000000002,0.92,utterance,Parent utterance:utterance,3,t,117,SK
163,Parent utterance,Parent,208.54,209.3,0.76,utterance,Parent utterance:utterance,3,t,117,SK
164,Parent utterance,Parent,209.48,210.36,0.88,utterance,Parent utterance:utterance,3,t,117,SK
165,Parent utterance,Parent,211.36,212.52,1.16,utterance,Parent utterance:utterance,3,t,117,SK
166,Parent utterance,Parent,227.0,227.48,0.48,utterance,Parent utterance:utterance,3,t,117,SK
167,Parent utterance,Parent,235.6,237.32,1.72,utterance,Parent utterance:utterance,3,t,117,SK
168,Parent utterance,Parent,238.38,240.46,2.08,utterance,Parent utterance:utterance,3,t,117,SK
169,Parent utterance,Parent,241.06,242.46,1.4,utterance,Parent utterance:utterance,3,t,117,SK
170,Parent utterance,Parent,245.82,247.18,1.36,utterance,Parent utterance:utterance,3,t,117,SK
171,Parent utterance,Parent,250.22,251.86,1.64,utterance,Parent utterance:utterance,3,t,117,SK
172,Parent utterance,Parent,252.4,255.2,2.8,utterance,Parent utterance:utterance,3,t,117,SK
173,Parent utterance,Parent,257.64,259.16,1.52,utterance,Parent utterance:utterance,3,t,117,SK
174,Parent utterance,Parent,261.02,262.14,1.12,utterance,Parent utterance:utterance,3,t,117,SK
175,Parent utterance,Parent,269.06,269.54,0.48,utterance,Parent utterance:utterance,3,t,117,SK
176,Parent utterance,Parent,282.62,284.62,2.0,utterance,Parent utterance:utterance,3,t,117,SK
177,Parent utterance,Parent,285.54,288.5,2.96,utterance,Parent utterance:utterance,3,t,117,SK
178,Parent utterance,Parent,288.94,290.54,1.6,utterance,Parent utterance:utterance,3,t,117,SK
179,Parent utterance,Parent,291.62,294.86,3.24,utterance,Parent utterance:utterance,3,t,117,SK
180,Parent utterance,Parent,295.32,296.64,1.32,utterance,Parent utterance:utterance,3,t,117,SK
181,Parent utterance,Parent,297.38,297.82,0.44,utterance,Parent utterance:utterance,3,t,117,SK
182,Parent utterance,Parent,298.64,299.44,0.8,utterance,Parent utterance:utterance,3,t,117,SK
183,Parent utterance,Parent,300.72,301.0,0.28,utterance,Parent utterance:utterance,3,t,117,SK
184,Parent utterance,Parent,302.86,303.34,0.48,utterance,Parent utterance:utterance,3,t,117,SK
185,Parent utterance,Parent,304.74,305.34,0.6,utterance,Parent utterance:utterance,3,t,117,SK
186,Parent utterance,Parent,307.2,308.0,0.8,utterance,Parent utterance:utterance,3,t,117,SK
187,Verbal scaffolding,Parent,56.1,57.34,1.24,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
188,Verbal scaffolding,Parent,63.02,64.06,1.04,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
189,Verbal scaffolding,Parent,85.18,86.06,0.88,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
190,Verbal scaffolding,Parent,88.62,91.26,2.64,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
191,Verbal scaffolding,Parent,92.34,92.78,0.44,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
192,Verbal scaffolding,Parent,93.5,95.1,1.6,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
193,Verbal scaffolding,Parent,95.86,97.06,1.2,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
194,Verbal scaffolding,Parent,98.75999999999999,99.32,0.56,affective,Verbal scaffolding:affective,3,t,117,SK
195,Verbal scaffolding,Parent,109.78,111.74000000000001,1.96,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
196,Verbal scaffolding,Parent,123.6,124.08,0.48,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
197,Verbal scaffolding,Parent,126.48,128.08,1.6,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
198,Verbal scaffolding,Parent,139.72,140.96,1.24,affective,Verbal scaffolding:affective,3,t,117,SK
199,Verbal scaffolding,Parent,148.82,149.57999999999998,0.76,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
200,Verbal scaffolding,Parent,151.68,154.12,2.44,cognitive,Verbal scaffolding:cognitive,3,t,117,SK
