,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,68.8600000000002
71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,69.0600000000002
72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,69.2600000000002
73,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,69.4600000000002
74,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,69.66000000000021
75,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,69.86000000000021
76,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,70.06000000000022
77,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,70.26000000000022
78,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,70.46000000000022
79,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,70.66000000000022
80,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,70.86000000000023
81,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.06000000000023
82,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.26000000000023
83,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.46000000000024
84,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.66000000000024
85,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.86000000000024
86,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.06000000000024
87,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.26000000000025
88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.46000000000025
89,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.66000000000025
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72.86000000000026
