,Child utterance:utterance,Child gaze:parent,Child gaze:tablet,Child gaze:robot,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent gaze:robot,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Joint attention:robot,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[5, 1.53396451813602e-05]","[1, 0.36800620888118485]","[5, 0.34832197737553083]","[4, 0.05259975294641696]","[100, 100]","[3, 0.4354343472695331]","[1, 0.0016018217762694964]","[1, 0.004888703019901509]","[5, 0.07066563677220972]","[1, 1.0]","[5, 0.00038766724827487984]","[5, 0.2317242844002816]","[3, 0.3449777543733541]","[1, 0.5357621828975802]","[4, 0.08482439376779322]","[1, 0.20271218738331168]","[100, 100]","[5, 1.6330297928173825e-05]","[100, 100]","[2, 0.9814456527818877]","[4, 0.4177529245181242]","[100, 100]","[4, 0.9732093439932482]","[3, 0.4248638414027053]","[1, 0.2670908676404944]","[1, 0.09992681928649147]","[2, 0.15691221749098677]","[4, 5.31964878638989e-07]","[5, 0.015568480928119244]","[5, 0.33408956379426447]","[2, 0.8478972622738311]","[2, 0.3645547846643809]","[4, 0.040309034144319786]","[4, 0.017068351829672763]"
Child gaze:parent,"[2, 0.007080049571314603]","[0, 1]","[1, 2.2221721143652727e-05]","[4, 0.00035634410200666915]","[4, 0.9994773019193725]","[100, 100]","[2, 0.0424591944521193]","[5, 0.6151192627769156]","[5, 0.9999999999150437]","[1, 1.0]","[1, 1.0]","[2, 0.5420928229819295]","[1, 0.8164802882449325]","[5, 0.0027484292330849807]","[4, 0.003296082747194792]","[5, 7.061527069416568e-08]","[4, 2.0697870697700305e-05]","[100, 100]","[2, 0.4855250000456317]","[100, 100]","[2, 0.3201567498287051]","[3, 0.20234108709601614]","[100, 100]","[1, 0.9824027080480747]","[3, 0.16640112126408738]","[1, 1.0]","[3, 0.4019921820413973]","[4, 0.21009805170708645]","[5, 0.0027352435691321256]","[2, 0.18334931860330336]","[5, 0.3062700243595556]","[5, 5.093335009750634e-05]","[4, 0.001001786949540562]","[3, 2.2667963491458923e-09]","[4, 0.002975380830741793]"
Child gaze:tablet,"[4, 0.00013134322617235926]","[5, 0.016746633797661947]","[0, 1]","[2, 1.25936223365007e-12]","[2, 0.0024260147795189006]","[100, 100]","[3, 0.5876717643640159]","[1, 0.19972947391477985]","[1, 0.3391799098594348]","[1, 1.0]","[1, 1.0]","[5, 0.05890669274855184]","[2, 0.569647128701965]","[4, 0.06238262740813786]","[4, 0.01273383093604427]","[2, 0.00387442890002414]","[5, 0.16988502676752504]","[100, 100]","[5, 0.12391310488867714]","[100, 100]","[3, 0.8370792114644362]","[5, 0.0008569839937255096]","[100, 100]","[5, 1.1425923344746805e-10]","[4, 0.02224225560897889]","[1, 0.1736830066236324]","[3, 0.7861678453954617]","[5, 0.8027182568689787]","[4, 0.1019729873681237]","[3, 0.21223197021152373]","[1, 0.006732353728838615]","[2, 0.0938338144603095]","[1, 0.563702861650748]","[3, 8.869333602865837e-07]","[5, 0.0022912440511891606]"
Child gaze:robot,"[3, 0.013854853220293119]","[5, 0.26781548071957534]","[5, 6.296765303450872e-09]","[0, 1]","[5, 3.2647866793930855e-09]","[100, 100]","[5, 0.9999999975041102]","[1, 0.30634745809016334]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1975611566802739]","[2, 0.0006003220300855851]","[1, 2.111587973460608e-31]","[1, 0.9949257845753268]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.10893748125118385]","[100, 100]","[5, 1.4954896325014317e-22]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9954103118944392]","[3, 0.14348674491333258]","[1, 0.08387245206795411]","[2, 0.004780836342064849]","[1, 0.9931914915323515]","[5, 2.0711226032660124e-05]","[3, 1.2283309403774253e-14]","[5, 0.1259371660879585]"
Child affect:positive 1,"[2, 0.02306127065310579]","[5, 8.72480691506727e-12]","[1, 1.0]","[5, 2.789794780882565e-07]","[0, 1]","[100, 100]","[1, 1.0]","[5, 0.5172082893096708]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.06325612106778492]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.002631207288951343]","[1, 1.0]","[1, 1.0]","[2, 3.4408349546615807e-10]","[1, 1.0]","[1, 1.0]","[5, 3.460395063236848e-22]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[1, 0.07064146770265443]","[5, 4.19604107983385e-05]","[3, 0.3965236593139633]","[4, 0.31949705520030947]","[1, 1.0]","[100, 100]","[0, 1]","[2, 0.6111849959644917]","[2, 0.3227797872222993]","[1, 1.0]","[1, 1.0]","[1, 0.05032363262598054]","[2, 0.1297867668893782]","[2, 0.5566863737925765]","[1, 0.3627163074728462]","[1, 1.0]","[4, 0.0009108825237131129]","[100, 100]","[1, 0.03320534334741741]","[100, 100]","[1, 0.3474768380155244]","[3, 0.30636858649489845]","[100, 100]","[1, 1.0]","[3, 0.26001760410874164]","[4, 0.1479754832956244]","[1, 1.0]","[3, 0.40095488890523445]","[5, 0.0687073090233218]","[1, 0.2537920830660841]","[1, 0.13317518163581246]","[4, 0.0698762010546604]","[1, 0.38681163615508496]","[1, 1.0]","[5, 0.0022688021901727307]"
Parent utterance:utterance,"[1, 0.040057986700736646]","[5, 0.6348275800962382]","[3, 0.703092061542985]","[1, 0.33022611542998226]","[2, 0.1503455278634002]","[100, 100]","[5, 0.032939963178623896]","[0, 1]","[2, 0.5757303209318251]","[2, 0.3185139120097672]","[2, 0.052345937301941564]","[1, 0.33616071686291193]","[4, 0.044336549582315365]","[1, 3.5207600082573554e-05]","[3, 0.06871082398818591]","[1, 0.015782295979656424]","[1, 0.38828944182143343]","[100, 100]","[3, 0.5611059935474283]","[100, 100]","[2, 0.6847501045280175]","[4, 0.37082553172327026]","[100, 100]","[1, 0.0070145838820812965]","[5, 0.22279601364200022]","[5, 0.14689240102141468]","[3, 0.9452719824965927]","[2, 0.08815977581707378]","[4, 0.11952082156939456]","[1, 0.03916039958318182]","[5, 0.5701782482964802]","[1, 0.24627883746713325]","[3, 0.5867421331192315]","[1, 0.015782295979656424]","[2, 0.6351925204152865]"
Verbal scaffolding:cognitive,"[1, 0.00486447878227009]","[5, 0.5451901468452153]","[5, 0.9207653918581522]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.16174010737766092]","[3, 0.541229314772582]","[0, 1]","[1, 0.19947853035083712]","[3, 0.8640451993038036]","[4, 0.8513198578662338]","[4, 0.0035016920217907093]","[1, 0.014123477502830455]","[1, 0.5434505854061652]","[1, 1.0]","[4, 0.875740519072358]","[100, 100]","[1, 0.3752297564837834]","[100, 100]","[1, 0.034367683156749644]","[4, 0.06643593444685551]","[100, 100]","[1, 1.0]","[4, 0.04591279726365232]","[5, 0.003782610999349866]","[4, 0.9386318953351632]","[5, 0.17305788030171598]","[4, 0.03921225941081895]","[1, 0.35639899327309166]","[4, 0.566274959168246]","[1, 0.10407959214065911]","[1, 0.26298236134484654]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[5, 0.9966264545111232]","[1, 1.0]","[5, 0.5539188315011476]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.5240436131032821]","[5, 0.5229581901060735]","[5, 0.10088199787011143]","[0, 1]","[1, 1.0]","[3, 0.5111750763419007]","[5, 0.22171897248847827]","[4, 0.00020396565046910142]","[4, 0.004506903486428857]","[1, 1.0]","[4, 0.09059441560965024]","[100, 100]","[3, 0.43732199497192925]","[100, 100]","[3, 0.06844365162100817]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.09027380263270683]","[5, 0.5063667575207518]","[2, 0.07228900628028304]","[3, 0.5060967945777488]","[1, 0.10666164642632778]","[3, 0.3055717356518315]","[1, 1.0]","[4, 0.011403245004823273]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.05416693592984755]","[5, 0.0051878320601130515]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 0.00250144683298358]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[3, 0.002011344866589256]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.550011858160093]","[4, 4.6554157479636924e-05]","[4, 0.40868981291022444]","[1, 1.0]","[4, 0.1744408542235383]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
