,Child utterance:utterance,Child utterance:missing data,Child gaze:tablet,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 1,Parent affect:positive 2 positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[1, 1.0]","[5, 0.22907042811510803]","[4, 0.11531592003351188]","[1, 0.002647202240711924]","[5, 0.6486670946562825]","[1, 0.031110102602292022]","[1, 1.0]","[1, 1.0]","[3, 0.008280885404489506]","[100, 100]","[2, 0.12489781198289435]","[1, 0.47446408144468977]","[5, 0.10378719461543064]","[1, 1.0]","[1, 1.0]","[3, 0.7728688607906584]","[3, 0.008280885404489506]","[4, 0.3811801123427993]","[2, 0.05006837135055007]","[1, 1.0]","[1, 0.00048168916263590137]","[100, 100]","[2, 0.9999407524891067]","[1, 0.0002055878923625885]","[5, 0.41041994966071366]","[3, 0.08215456476398877]","[5, 0.008020407383320962]","[3, 0.9836288140012887]","[3, 0.9567032179678034]","[3, 1.825446149411746e-05]","[4, 1.560599357737147e-06]","[1, 0.26609469435072464]","[3, 0.3296770368091243]","[4, 0.3479570783242451]"
Child utterance:missing data,"[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.16263229627868608]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.32942180192304]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 3.00188675734422e-55]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.27939182065458573]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gaze:tablet,"[4, 0.0008597593207813698]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.13918581472164898]","[1, 1.0]","[1, 0.9978791839013529]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.29692612244630295]","[4, 0.43214201973925825]","[1, 1.0]","[5, 6.556609695371559e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0016360096101105412]","[5, 0.8145353718891489]","[1, 1.0]","[5, 5.453338481850245e-06]","[100, 100]","[1, 0.9885669895685586]","[2, 0.9999800204157446]","[1, 0.1111590277816359]","[1, 1.0]","[1, 1.0]","[2, 0.9030404445026544]","[1, 1.0]","[1, 0.07519293066625396]","[1, 0.2209594743860942]","[2, 0.8726117477584401]","[3, 0.0021688095655224516]","[2, 0.5715945174198059]"
Child gesture:point at prop,"[5, 0.17417436476991396]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.23287886760966947]","[1, 1.0]","[2, 0.0098982603944573]","[1, 1.0]","[4, 2.6343874850700432e-06]","[4, 0.0012496619872543716]","[100, 100]","[5, 0.21544808203130317]","[4, 0.3903492581956881]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0012496619872543716]","[5, 0.00033006570542803754]","[1, 1.1812924646610488e-09]","[1, 1.0]","[1, 0.0007405488478095453]","[100, 100]","[1, 1.0]","[1, 1.337564200715598e-06]","[1, 0.060493253580940674]","[5, 0.15799212775315896]","[5, 0.19532862037088572]","[3, 0.30141338956768576]","[3, 0.06440558275953046]","[3, 0.014015959931838951]","[2, 0.0032521197129883376]","[3, 0.02217016124810309]","[1, 0.004131796532471049]","[4, 0.4895305625438625]"
Parent utterance:utterance,"[5, 0.000592726504338295]","[2, 0.3857058899276559]","[2, 0.009301138893860618]","[1, 0.27691396096802723]","[100, 100]","[1, 0.26901600371851975]","[2, 0.48642383032992453]","[3, 0.12210933111969026]","[4, 0.42926399669619963]","[5, 0.48771925775106006]","[100, 100]","[3, 0.4554809789208063]","[4, 0.09308309924931311]","[4, 0.9965883790886335]","[1, 1.0]","[3, 0.3572827086817344]","[3, 0.26390687422253006]","[5, 0.48771925775106006]","[3, 0.07425482395910671]","[4, 0.028633984913108475]","[2, 0.36335809676677183]","[1, 0.653457418436494]","[100, 100]","[3, 0.03860863180868232]","[3, 0.283164415535594]","[3, 0.18304476405991413]","[5, 0.16579562411764642]","[5, 0.1516386508620342]","[2, 0.5492470446195483]","[5, 0.0469860173547615]","[5, 0.021633126652925796]","[3, 7.90753304601207e-06]","[2, 0.4920029002268689]","[5, 0.0034562689743168145]","[4, 0.2206981759258182]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.27005189292697873]","[100, 100]","[3, 0.10166072009211227]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.08593952895920445]","[4, 2.923919013694505e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.998015024564873]","[5, 3.628814087315603e-13]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.0297547803011301]","[4, 0.019610787991346565]","[5, 0.0005942713014002436]","[1, 1.0]","[1, 1.0]","[2, 0.12563952472591564]","[4, 0.7023588112422715]","[4, 0.10369684338675088]","[1, 1.0]","[3, 0.1267525602727475]"
Verbal scaffolding:cognitive,"[5, 0.14070682401988446]","[1, 1.0]","[1, 0.9978794535669275]","[5, 0.036047172413721955]","[1, 0.5235905440259829]","[1, 0.10913694238422665]","[100, 100]","[5, 0.9999481130452906]","[3, 0.9572696636432352]","[5, 0.1567233231094759]","[100, 100]","[3, 0.11358977524512325]","[5, 0.10575413464628387]","[4, 0.9984113261195932]","[1, 1.0]","[5, 0.9998563491977716]","[1, 1.0]","[5, 0.1567233231094759]","[3, 0.43056369773316827]","[1, 0.12359503866609586]","[2, 0.12667643865028733]","[3, 0.3440917054981323]","[100, 100]","[1, 0.9929598123177941]","[3, 0.06804358980383425]","[2, 0.10554112579488763]","[5, 0.021938393543619667]","[5, 0.051928081445732924]","[2, 0.9975496872621371]","[5, 0.01757233309656921]","[3, 0.19888267030115855]","[2, 0.27871200914732297]","[3, 0.38337354073707225]","[1, 0.13799744720844825]","[5, 0.1871769233186959]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5895822018561756]","[1, 1.0]","[4, 0.23846526899996295]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.5495203852907959]","[1, 0.04941579708330527]","[1, 1.0]","[1, 1.0]","[5, 1.805599415517151e-09]","[1, 1.0]","[1, 1.0]","[3, 0.0822099164128003]","[5, 2.5600200718089924e-09]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.005521374648199247]","[2, 0.0007886710136290794]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0656110094289122]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.143536139583799e-15]","[1, 0.05140532343440689]","[1, 1.0]","[1, 0.005253359877845681]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[3, 0.00018687625046523467]","[5, 7.78504129308119e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 5.379377255507344e-39]","[1, 0.003171848501954057]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.6608504598592648]","[4, 2.9536484007345934e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.711831077801607e-05]"
Non-verbal scaffolding:cognitive,"[1, 0.19568102976863727]","[1, 1.0]","[1, 0.9961667603251851]","[2, 0.5588006641987866]","[1, 0.004273645302065641]","[1, 1.0]","[2, 5.602559772576538e-09]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.4746869502105362]","[5, 0.8221608524084647]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.577334283651761]","[1, 1.0]","[1, 0.07320738530216313]","[100, 100]","[1, 0.9872740315996639]","[2, 0.004721099649314522]","[1, 0.0759390078478021]","[3, 0.025800738802956667]","[4, 0.00814902726005881]","[3, 0.9950171702347627]","[1, 1.0]","[4, 0.03030259749796097]","[2, 0.3922767729714495]","[4, 0.024987216107598267]","[1, 0.007150299968085292]","[5, 0.8572556701835439]"
