,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:try again,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:put down,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:positive feedback,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:correction,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Conversational turns:PC,"[3, 0.000561200670546019]","[4, 0.8154311812532704]","[2, 0.999785895256025]","[100, 100]","[4, 0.590439075882782]","[1, 1.0]","[2, 2.685423732033982e-05]","[4, 0.09111299898913253]","[2, 0.44608061625767514]","[1, 1.0]","[1, 0.7684123456336333]","[100, 100]","[4, 0.00032715648955718743]","[100, 100]","[100, 100]","[1, 0.05041190690016055]","[5, 0.9199859518521872]","[1, 1.0]","[1, 0.15346168027428167]","[5, 0.9992327039497021]","[3, 0.4306023028395465]","[4, 0.00032715648955718743]","[100, 100]","[100, 100]","[100, 100]","[2, 0.35490232337762945]","[100, 100]","[5, 0.0018674508012120393]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[4, 0.28083428806574995]","[1, 0.6140652185923128]","[1, 0.6686833850737868]","[4, 0.901971959329083]","[2, 0.999785895256025]","[100, 100]"
Conversational turns:CP,"[1, 0.21051768442088675]","[1, 0.12972647431713624]","[4, 0.003814496549847899]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0018339567797280706]","[4, 0.14757084954562022]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.3127122548303235]","[100, 100]","[100, 100]","[2, 0.6513843281671967]","[1, 0.2171110553813088]","[1, 1.0]","[3, 0.04947406063251559]","[5, 0.012965852555120918]","[2, 0.09883675647787345]","[3, 0.3127122548303235]","[100, 100]","[100, 100]","[100, 100]","[1, 0.0597799781096839]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.4306048801987179]","[0, 1]","[3, 0.017848288718207476]","[1, 1.0]","[1, 0.19023593557122764]","[4, 0.003814496549847899]","[100, 100]"
Conversational turns:PCP,"[4, 0.014050275588087104]","[4, 0.26804147398677614]","[2, 0.9999684953434368]","[100, 100]","[1, 0.9863151209413195]","[1, 1.0]","[1, 1.0]","[4, 0.017675813681092528]","[2, 0.09835082093282188]","[1, 1.0]","[1, 0.9906533983671678]","[100, 100]","[4, 0.0043570210687201676]","[100, 100]","[100, 100]","[2, 0.42675233404875657]","[1, 1.0]","[1, 1.0]","[4, 0.0006843003567790665]","[2, 0.9989545757626763]","[5, 0.0009912460742687087]","[4, 0.0043570210687201676]","[100, 100]","[100, 100]","[100, 100]","[2, 0.02932402252435687]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9918028333841986]","[1, 0.994931746592631]","[0, 1]","[1, 1.0]","[1, 1.0]","[2, 0.9999684953434368]","[100, 100]"
Conversational turns:CPC,"[3, 0.008747041518367528]","[5, 0.5358506520669454]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.3963329462096406e-06]","[1, 0.0033800620484292733]","[2, 0.05974932622292989]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.15249125340577954]","[100, 100]","[100, 100]","[2, 0.059277024939681705]","[1, 0.12972647431713666]","[1, 1.0]","[1, 0.038349035160531605]","[1, 1.0]","[3, 0.0718977724964653]","[3, 0.15249125340577954]","[100, 100]","[100, 100]","[100, 100]","[3, 0.012176570213098668]","[100, 100]","[5, 0.00038276857402021376]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.46634857317409195]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 0.10772372054637788]","[1, 1.0]","[100, 100]"
Joint attention:robot,"[5, 0.748944480870314]","[1, 0.04476114318431218]","[3, 0.45779131684617125]","[100, 100]","[5, 0.010332918934588346]","[1, 1.0]","[3, 0.15511034195103823]","[2, 0.3533721184845324]","[1, 0.07392022899664842]","[5, 0.43112977064749347]","[1, 0.021579775115793752]","[100, 100]","[1, 0.25631763667015106]","[100, 100]","[100, 100]","[2, 0.07636471917128033]","[4, 0.4533124232547632]","[1, 0.8858121897610363]","[5, 0.4081317300022387]","[3, 0.012109704135693615]","[1, 0.21639406706150177]","[1, 0.25631763667015106]","[100, 100]","[100, 100]","[100, 100]","[2, 0.5240848423346074]","[100, 100]","[3, 0.15511034195103823]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.27936306468459604]","[2, 0.99618563718284]","[5, 0.6101203015753212]","[2, 0.9942535010140117]","[0, 1]","[3, 0.45779131684617125]","[100, 100]"
Joint attention:props,"[5, 0.714631988517628]","[5, 1.4391434652576815e-06]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.00017696784481254272]","[1, 1.0]","[5, 0.0917044423926246]","[4, 5.453906005247597e-05]","[1, 1.0]","[5, 2.6410201677439198e-15]","[100, 100]","[1, 1.3893469541140892e-15]","[100, 100]","[100, 100]","[1, 0.26277409875234853]","[3, 0.9849674402673921]","[1, 1.0]","[3, 0.0016859973244709567]","[1, 1.0]","[1, 1.0]","[1, 1.3893469541140892e-15]","[100, 100]","[100, 100]","[100, 100]","[4, 0.2382181002309182]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.007933581927816515]","[4, 0.09337782711434973]","[5, 4.440792539789257e-10]","[1, 1.0]","[3, 0.9819725327248859]","[0, 1]","[100, 100]"
Mutual gaze:MG,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]"
