,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Parent utterance:missing data,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[2, 0.0016683940289764971]","[2, 6.859705386980051e-09]","[5, 0.2180939946206745]","[4, 0.00029899691811697486]","[1, 0.2894970901539189]","[100, 100]","[100, 100]","[1, 1.3339589463411419e-05]","[5, 0.30521045605300834]","[5, 0.06769472144744783]","[3, 0.88687642695815]","[3, 0.6531115931766112]","[1, 0.2894970901539189]","[4, 0.4320054476694505]","[5, 0.0772256622009207]","[4, 0.023965545463927176]","[1, 1.0]","[3, 0.7591612318276749]","[1, 0.001334811007401472]","[4, 0.13676869142789053]","[100, 100]","[100, 100]","[2, 0.921538834638625]","[4, 0.7106396357155059]","[5, 0.11172525389435883]","[100, 100]","[4, 0.020033752579891376]","[5, 0.07345409597200948]","[3, 0.02888965020808065]","[5, 0.19647075501902198]","[1, 0.31509878621216303]","[5, 0.00033379145326905386]","[4, 0.007946283787610151]","[5, 0.9108028442634958]","[2, 0.34444227569055363]","[2, 0.0011673414102171046]","[4, 0.014926436324639102]"
Child gaze:tablet,"[3, 2.1501862763404855e-15]","[0, 1]","[3, 5.413536938154689e-35]","[1, 0.028939170812747248]","[2, 0.02529289474022346]","[3, 0.616617408410298]","[100, 100]","[100, 100]","[2, 0.0005992958470781636]","[4, 0.8694106690450119]","[5, 0.11882831937655391]","[1, 0.05935992074342597]","[2, 0.13767899496443478]","[3, 0.616617408410298]","[1, 1.0]","[3, 0.04673298889755326]","[5, 4.330968087668415e-06]","[3, 0.11497806008729504]","[1, 0.18389864886348856]","[5, 0.2019374798980943]","[1, 0.3482838601449404]","[100, 100]","[100, 100]","[5, 0.48600818688242786]","[5, 0.8207770288205163]","[3, 0.07134757225002347]","[100, 100]","[2, 0.9999689900590625]","[3, 0.03692700194561493]","[1, 0.15563830770046388]","[2, 0.06373177081349966]","[4, 0.03491792124313543]","[2, 0.5097055572801553]","[5, 4.502386058367946e-06]","[1, 0.4628893846028834]","[2, 6.827760890431341e-05]","[4, 0.0013210789342143966]","[2, 1.291119762733121e-06]"
Child gaze:parent,"[2, 1.1712783402644982e-17]","[2, 1.808822406631867e-26]","[0, 1]","[1, 0.03399121831611815]","[2, 0.009020281964207694]","[3, 0.5032894537400858]","[100, 100]","[100, 100]","[2, 0.008346057613012513]","[1, 0.46795437708192]","[2, 0.31546146919810425]","[2, 0.1563540281947841]","[1, 0.03399121831611815]","[3, 0.5032894537400858]","[1, 1.0]","[2, 9.456048547837254e-09]","[3, 0.00843084176715649]","[1, 1.0]","[4, 0.8257816355771758]","[4, 0.037195105707267355]","[5, 0.0011800033637877898]","[100, 100]","[100, 100]","[1, 0.5852969253760916]","[5, 0.841118287972267]","[1, 0.00023952625466496256]","[100, 100]","[2, 0.9999567867276894]","[1, 0.0018322089089098455]","[4, 0.12763906235236888]","[1, 0.1810026995506751]","[4, 0.02877251314145686]","[1, 0.23190546376705842]","[5, 3.621116442751188e-05]","[3, 0.9225495275855218]","[3, 0.000222422400425402]","[2, 1.912765247952659e-18]","[3, 0.15901848257290635]"
Child affect:positive 2,"[5, 0.3430891713354664]","[4, 0.034754554698462274]","[4, 0.043886389750598075]","[0, 1]","[1, 1.0]","[5, 3.678086363848629e-12]","[100, 100]","[100, 100]","[4, 0.06699582036669602]","[4, 8.141817281597566e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 3.678086363848629e-12]","[1, 1.0]","[1, 0.9935379309762342]","[4, 0.006946529206418778]","[1, 1.0]","[4, 3.307846667675185e-16]","[1, 1.0]","[4, 0.9999999963142769]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 3.031884789053225e-07]","[100, 100]","[1, 0.9628522418329574]","[1, 0.990414951101626]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0021228227122965368]","[5, 0.14329203640247704]","[1, 0.9897039296415321]","[1, 0.9897039296415321]","[4, 0.03609293371140922]","[4, 0.006684353049018726]"
Child affect:positive 1,"[4, 0.7666895324540948]","[4, 0.04299396821946178]","[3, 0.00026098082670416255]","[1, 1.0]","[0, 1]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.03247049520015932]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0038007675381190463]","[3, 2.0355787602043218e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.0003450769692917993]","[1, 1.0]","[1, 1.0]","[2, 0.00889083048621066]","[4, 0.6049993559818236]","[4, 5.3448604253588653e-05]","[1, 1.0]","[4, 0.0432389298843108]","[3, 2.36265065808136e-06]"
Child gesture:point at prop,"[1, 0.03569352852396449]","[1, 0.3091675037922565]","[5, 0.4584359280142418]","[4, 5.4449472411171445e-15]","[1, 1.0]","[0, 1]","[100, 100]","[100, 100]","[4, 0.0012656497038517243]","[1, 0.07639474968108101]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.9859502472619719]","[1, 0.20999518334888195]","[1, 0.2303128488659063]","[1, 1.0]","[2, 0.9490446176561175]","[1, 1.0]","[4, 0.9999999999997784]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.003116485309211086]","[1, 0.0815397559299815]","[100, 100]","[1, 0.9876223844758104]","[5, 0.11910808112113648]","[2, 0.9742924419912424]","[1, 1.0]","[1, 1.0]","[3, 2.1448718740552804e-05]","[5, 0.34989070075483536]","[2, 0.00021917631238304336]","[1, 0.9965703661942092]","[1, 0.3091675037922565]","[1, 0.2303128488659063]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[2, 1.8099493697449073e-06]","[2, 9.421381672285161e-08]","[5, 7.400126655260328e-07]","[1, 4.027079831685982e-05]","[1, 0.042817098441348254]","[1, 0.03799099709968321]","[100, 100]","[100, 100]","[0, 1]","[4, 0.3578019790806112]","[2, 0.03634475380185552]","[4, 0.5928967668406134]","[2, 0.22783445818643963]","[1, 0.03799099709968321]","[1, 0.15298258799216538]","[2, 0.01834837100312615]","[2, 0.07665543342456137]","[5, 0.4805635912000352]","[1, 0.2959552876864463]","[1, 0.1381332824599187]","[1, 0.12645610285766165]","[100, 100]","[100, 100]","[1, 0.10850902116312566]","[1, 0.019165516843388967]","[2, 0.05156206108665394]","[100, 100]","[3, 0.9425327613993438]","[2, 0.03829298173789602]","[1, 0.11966343916356122]","[5, 0.9032570957228274]","[5, 0.13425669927735015]","[2, 0.5765374810020624]","[4, 9.531377985557032e-08]","[1, 0.5942269553413804]","[5, 0.0031346606866006206]","[2, 1.0379409087460418e-07]","[3, 0.014694895165559843]"
Verbal scaffolding:cognitive,"[4, 0.05979586787054502]","[2, 0.17060727599664782]","[5, 0.09452512778827186]","[1, 0.00017971251480084247]","[1, 1.0]","[1, 0.0774609895173115]","[100, 100]","[100, 100]","[5, 0.05889420264372969]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0774609895173115]","[1, 1.0]","[1, 0.36175362344357853]","[5, 0.3627488159488679]","[5, 0.006997980780475556]","[4, 0.6158410429024819]","[1, 1.0]","[4, 0.2599569472765932]","[100, 100]","[100, 100]","[2, 0.02504903536886078]","[1, 0.032257737928059006]","[1, 0.20490672123867934]","[100, 100]","[1, 0.9909953199204392]","[4, 0.877198117136246]","[1, 0.16123375272596394]","[4, 0.8006558925148456]","[1, 0.09691431944410626]","[1, 0.2963983612361388]","[5, 5.36286149976552e-07]","[5, 0.7461779498981163]","[2, 0.10474522524968954]","[2, 0.17666868793899046]","[2, 0.6273977459521161]"
