,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,33.0,33.6,0.6,utterance,Child utterance:utterance,1,t,102,SK
1,Child utterance,Child,36.961,37.761,0.8,utterance,Child utterance:utterance,1,t,102,SK
2,Child utterance,Child,42.155,42.595,0.44,utterance,Child utterance:utterance,1,t,102,SK
3,Child utterance,Child,84.151,84.59100000000001,0.44,utterance,Child utterance:utterance,1,t,102,SK
4,Child utterance,Child,84.68,85.2,0.52,utterance,Child utterance:utterance,1,t,102,SK
5,Child utterance,Child,135.281,136.24099999999999,0.96,utterance,Child utterance:utterance,1,t,102,SK
6,Child utterance,Child,137.885,138.525,0.64,utterance,Child utterance:utterance,1,t,102,SK
7,Child utterance,Child,158.598,159.078,0.48,utterance,Child utterance:utterance,1,t,102,SK
8,Child utterance,Child,187.369,188.049,0.68,utterance,Child utterance:utterance,1,t,102,SK
9,Child utterance,Child,199.587,200.187,0.6,utterance,Child utterance:utterance,1,t,102,SK
10,Child utterance,Child,214.462,214.862,0.4,utterance,Child utterance:utterance,1,t,102,SK
11,Child utterance,Child,215.351,215.99099999999999,0.64,utterance,Child utterance:utterance,1,t,102,SK
12,Child utterance,Child,230.477,231.15699999999998,0.68,utterance,Child utterance:utterance,1,t,102,SK
13,Child utterance,Child,247.99,248.75,0.76,utterance,Child utterance:utterance,1,t,102,SK
14,Child utterance,Child,255.5,256.06,0.56,utterance,Child utterance:utterance,1,t,102,SK
15,Child utterance,Child,266.061,266.541,0.48,utterance,Child utterance:utterance,1,t,102,SK
16,Child utterance,Child,267.56,268.24,0.68,utterance,Child utterance:utterance,1,t,102,SK
17,Child utterance,Child,278.096,278.616,0.52,utterance,Child utterance:utterance,1,t,102,SK
18,Child gaze,Child,1.52,9.64,8.12,tablet,Child gaze:tablet,1,t,102,SK
19,Child gaze,Child,11.0,11.36,0.36,tablet,Child gaze:tablet,1,t,102,SK
20,Child gaze,Child,12.64,33.2,20.56,tablet,Child gaze:tablet,1,t,102,SK
