,col base,action base,col count,action count,hist,bins
87,action,Child gaze,action,Child affect,[12],[1 2]
88,action,Child gaze,action,Child gesture,[16],[1 2]
89,action,Child gaze,action,Child prop manipulation,[14  2],[1 2 3]
90,action,Child gaze,action,Child utterance,[4],[1 2]
91,action,Child gaze,action,Conversational turns,[1 6 0 1],[1 2 3 4 5]
92,action,Child gaze,action,Joint attention,[35  7  3],[1 2 3 4]
93,action,Child gaze,action,Mutual gaze,[2],[1 2]
94,action,Child gaze,action,Non-verbal scaffolding,[3],[1 2]
95,action,Child gaze,action,Parent affect,[8],[1 2]
96,action,Child gaze,action,Parent affective touch,[],[1]
97,action,Child gaze,action,Parent gaze,[17 21  3  3],[1 2 3 4 5]
98,action,Child gaze,action,Parent gesture,[3],[1 2]
99,action,Child gaze,action,Parent prop manipulation,[3],[1 2]
100,action,Child gaze,action,Parent utterance,[30  5],[1 2 3]
101,action,Child gaze,action,Verbal scaffolding,[22],[1 2]
102,action,Child gaze,action,robot pointing,[3],[1 2]
103,action,Child gaze,action,robot text,[30  3],[1 2 3]
104,action,Child gaze,sub_action,CP,[4],[1 2]
105,action,Child gaze,sub_action,CPC,[3],[1 2]
106,action,Child gaze,sub_action,MG,[2],[1 2]
107,action,Child gaze,sub_action,PC,[5],[1 2]
108,action,Child gaze,sub_action,PCP,[5],[1 2]
109,action,Child gaze,sub_action,affective,[9],[1 2]
110,action,Child gaze,sub_action,affective touch,[],[1]
111,action,Child gaze,sub_action,child,[22  4  1],[1 2 3 4]
112,action,Child gaze,sub_action,cognitive,[11  1],[1 2 3]
113,action,Child gaze,sub_action,correction,[6],[1 2]
114,action,Child gaze,sub_action,missing data,[1 2],[1 2 3]
115,action,Child gaze,sub_action,other,[1],[1 2]
116,action,Child gaze,sub_action,other vocalization,[3],[1 2]
117,action,Child gaze,sub_action,parent,[5],[1 2]
118,action,Child gaze,sub_action,pick up,[9],[1 2]
119,action,Child gaze,sub_action,point at prop,[20  1],[1 2 3]
120,action,Child gaze,sub_action,positive 1,[11  1],[1 2 3]
121,action,Child gaze,sub_action,positive 2,[7],[1 2]
122,action,Child gaze,sub_action,positive feedback,[9],[1 2]
123,action,Child gaze,sub_action,props,[10 11 15  1  1  3],[1 2 3 4 5 6 7]
124,action,Child gaze,sub_action,put down,[6],[1 2]
125,action,Child gaze,sub_action,robot,[17  9 13  2  1],[1 2 3 4 5 6]
126,action,Child gaze,sub_action,song,[1],[1 2]
127,action,Child gaze,sub_action,teach,[3],[1 2]
128,action,Child gaze,sub_action,technical,[3],[1 2]
129,action,Child gaze,sub_action,try again,[1],[1 2]
130,action,Child gaze,sub_action,utterance,[27  4  2],[1 2 3 4]
131,action,Child gaze,action:sub_action,Child affect:positive 1,[9],[1 2]
132,action,Child gaze,action:sub_action,Child affect:positive 2,[3],[1 2]
133,action,Child gaze,action:sub_action,Child gaze:missing data,[1],[1 2]
134,action,Child gaze,action:sub_action,Child gaze:parent,[2],[1 2]
135,action,Child gaze,action:sub_action,Child gaze:props,[27  5],[1 2 3]
136,action,Child gaze,action:sub_action,Child gaze:robot,[29  3],[1 2 3]
137,action,Child gaze,action:sub_action,Child gesture:point at prop,[16],[1 2]
138,action,Child gaze,action:sub_action,Child prop manipulation:child,[14  2],[1 2 3]
139,action,Child gaze,action:sub_action,Child utterance:utterance,[4],[1 2]
140,action,Child gaze,action:sub_action,Conversational turns:CP,[4],[1 2]
141,action,Child gaze,action:sub_action,Conversational turns:CPC,[3],[1 2]
142,action,Child gaze,action:sub_action,Conversational turns:PC,[5],[1 2]
143,action,Child gaze,action:sub_action,Conversational turns:PCP,[5],[1 2]
144,action,Child gaze,action:sub_action,Joint attention:missing data,[2],[1 2]
145,action,Child gaze,action:sub_action,Joint attention:props,[24  5],[1 2 3]
146,action,Child gaze,action:sub_action,Joint attention:robot,[20  1],[1 2 3]
147,action,Child gaze,action:sub_action,Mutual gaze:MG,[2],[1 2]
148,action,Child gaze,action:sub_action,Non-verbal scaffolding:cognitive,[3],[1 2]
149,action,Child gaze,action:sub_action,Non-verbal scaffolding:technical,[],[1]
150,action,Child gaze,action:sub_action,Parent affect:positive 1,[4],[1 2]
151,action,Child gaze,action:sub_action,Parent affect:positive 2,[4],[1 2]
152,action,Child gaze,action:sub_action,Parent affective touch:affective touch,[],[1]
153,action,Child gaze,action:sub_action,Parent gaze:child,[11  2],[1 2 3]
154,action,Child gaze,action:sub_action,Parent gaze:missing data,[2],[1 2]
155,action,Child gaze,action:sub_action,Parent gaze:props,[25  4],[1 2 3]
156,action,Child gaze,action:sub_action,Parent gaze:robot,[28  1],[1 2 3]
157,action,Child gaze,action:sub_action,Parent gesture:point at prop,[3],[1 2]
158,action,Child gaze,action:sub_action,Parent prop manipulation:parent,[3],[1 2]
159,action,Child gaze,action:sub_action,Parent utterance:missing data,[],[1]
160,action,Child gaze,action:sub_action,Parent utterance:other vocalization,[3],[1 2]
161,action,Child gaze,action:sub_action,Parent utterance:utterance,[27  5],[1 2 3]
162,action,Child gaze,action:sub_action,Verbal scaffolding:affective,[9],[1 2]
163,action,Child gaze,action:sub_action,Verbal scaffolding:cognitive,[10],[1 2]
164,action,Child gaze,action:sub_action,Verbal scaffolding:technical,[3],[1 2]
165,action,Child gaze,action:sub_action,robot pointing:point at prop,[3],[1 2]
166,action,Child gaze,action:sub_action,robot text:correction,[6],[1 2]
167,action,Child gaze,action:sub_action,robot text:other,[1],[1 2]
168,action,Child gaze,action:sub_action,robot text:pick up,[9],[1 2]
169,action,Child gaze,action:sub_action,robot text:positive feedback,[9],[1 2]
170,action,Child gaze,action:sub_action,robot text:put down,[6],[1 2]
171,action,Child gaze,action:sub_action,robot text:song,[1],[1 2]
172,action,Child gaze,action:sub_action,robot text:teach,[3],[1 2]
173,action,Child gaze,action:sub_action,robot text:try again,[1],[1 2]
174,action,Child gesture,action,Child affect,[3],[1 2]
175,action,Child gesture,action,Child gaze,[5 3 2],[1 2 3 4]
176,action,Child gesture,action,Child prop manipulation,[0 1],[1 2 3]
177,action,Child gesture,action,Child utterance,[],[1]
178,action,Child gesture,action,Conversational turns,[0 3],[1 2 3]
179,action,Child gesture,action,Joint attention,[7 4],[1 2 3]
180,action,Child gesture,action,Mutual gaze,[1],[1 2]
181,action,Child gesture,action,Non-verbal scaffolding,[],[1]
182,action,Child gesture,action,Parent affect,[1],[1 2]
183,action,Child gesture,action,Parent affective touch,[],[1]
184,action,Child gesture,action,Parent gaze,[3 9 1],[1 2 3 4]
185,action,Child gesture,action,Parent gesture,[],[1]
186,action,Child gesture,action,Parent prop manipulation,[],[1]
187,action,Child gesture,action,Parent utterance,[8 4],[1 2 3]
188,action,Child gesture,action,Verbal scaffolding,[4 1],[1 2 3]
189,action,Child gesture,action,robot pointing,[],[1]
190,action,Child gesture,action,robot text,[6 1],[1 2 3]
191,action,Child gesture,sub_action,CP,[],[1]
192,action,Child gesture,sub_action,CPC,[],[1]
193,action,Child gesture,sub_action,MG,[1],[1 2]
194,action,Child gesture,sub_action,PC,[2 1],[1 2 3]
195,action,Child gesture,sub_action,PCP,[2],[1 2]
196,action,Child gesture,sub_action,affective,[1],[1 2]
197,action,Child gesture,sub_action,affective touch,[],[1]
198,action,Child gesture,sub_action,child,[5 0 1],[1 2 3 4]
199,action,Child gesture,sub_action,cognitive,[2 1],[1 2 3]
200,action,Child gesture,sub_action,correction,[4],[1 2]
201,action,Child gesture,sub_action,missing data,[],[1]
202,action,Child gesture,sub_action,other,[],[1]
203,action,Child gesture,sub_action,other vocalization,[2],[1 2]
204,action,Child gesture,sub_action,parent,[1],[1 2]
205,action,Child gesture,sub_action,pick up,[1],[1 2]
206,action,Child gesture,sub_action,point at prop,[4],[1 2]
207,action,Child gesture,sub_action,positive 1,[4],[1 2]
208,action,Child gesture,sub_action,positive 2,[],[1]
209,action,Child gesture,sub_action,positive feedback,[1],[1 2]
210,action,Child gesture,sub_action,props,[2 2 5 1 1],[1 2 3 4 5 6]
211,action,Child gesture,sub_action,put down,[1],[1 2]
212,action,Child gesture,sub_action,robot,[5 2 2 1],[1 2 3 4 5]
213,action,Child gesture,sub_action,song,[],[1]
214,action,Child gesture,sub_action,teach,[],[1]
