,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
73,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,213.54
74,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,214.04
75,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,214.54
76,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,215.04
77,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,215.54
78,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,216.04
79,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,216.54
80,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,217.04
81,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,217.54
82,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,218.04
83,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,218.54
84,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,219.04
85,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,219.54
86,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,220.04
87,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,220.54
88,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,221.04
89,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,221.54
90,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,222.04
91,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,222.54
92,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,223.04
93,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,223.54
94,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,224.04
95,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,224.54
96,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,225.04
97,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,225.54
98,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,226.04
99,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,226.54
100,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,227.04
101,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,227.54
102,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,228.04
103,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,228.54
104,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,229.04
105,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,229.54
106,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,230.04
107,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,230.54
108,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,231.04
109,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,231.54
110,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,232.04
111,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,232.54
112,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,233.04
113,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,233.54
114,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,234.04
115,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,234.54
116,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,235.04
117,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,235.54
118,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,236.04
119,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,236.54
120,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,237.04
121,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,237.54
122,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,238.04
123,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,238.54
124,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,239.04
125,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,239.54
126,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,240.04
127,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,240.54
128,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,241.04
129,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,241.54
130,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,242.04
131,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,242.54
132,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,243.04
133,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,243.54
134,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,244.04
135,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,244.54
136,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,245.04
137,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,245.54
138,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,246.04
139,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,246.54
140,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,247.04
141,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,247.54
142,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,248.04
143,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,248.54
144,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,249.04
145,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,249.54
146,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,250.04
147,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,250.54
148,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,251.04
149,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,251.54
150,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,252.04
151,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,252.54
152,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,253.04
153,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,253.54
154,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,254.04
155,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,254.54
156,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,255.04
157,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,255.54
158,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,256.03999999999996
