,Child utterance:utterance,Child gaze:tablet,Child gaze:missing data,Child affect:positive 2,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[2, 0.14934448248895232]","[1, 1.0]","[1, 1.0]","[4, 0.9375587854524563]","[2, 0.000788527366911498]","[2, 0.04176883909825317]","[4, 0.1388752482300846]","[1, 1.0]","[1, 0.9363324315059566]","[1, 0.9472377370471388]","[4, 0.025881211491253043]","[1, 0.12320784201466835]","[4, 0.9921870807920952]","[3, 0.18585242112899572]","[4, 0.34155918670783525]","[1, 1.0]","[3, 0.3381066917672038]","[1, 1.0]","[1, 0.12320784201466835]","[3, 0.5212192047537967]","[4, 0.9858744885230046]","[1, 0.9597498804254476]","[100, 100]","[1, 0.9986506245715667]","[4, 0.6593214192645931]","[5, 0.4305268936854201]","[1, 1.0]","[4, 0.9823097336751226]","[1, 1.0]","[5, 1.8585159006590398e-05]","[5, 0.00018295558733298734]","[4, 0.9981146464130968]","[5, 0.2674529730293949]","[4, 0.3252452064706503]"
Child gaze:tablet,"[5, 0.4022189453400681]","[100, 100]","[2, 1.1982144156771286e-21]","[4, 0.9977965673092758]","[5, 4.592669986165112e-17]","[1, 0.042526016310747004]","[1, 1.0]","[1, 0.202245139864859]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9567878279074126]","[1, 1.0]","[2, 0.13591255902649954]","[1, 0.15844043734405633]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9567878279074126]","[1, 1.0]","[2, 0.9615221205266786]","[2, 0.0012961331549442804]","[100, 100]","[2, 0.00037446010035834334]","[3, 0.0004970089794120867]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.15679969871717303]","[2, 0.966427425552788]","[4, 0.04121691914496739]","[2, 0.9017150468341288]","[2, 0.16967345281811136]"
Child gaze:missing data,"[1, 1.0]","[4, 1.646857322528157e-18]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 7.420699123409148e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.5039807217438284e-12]","[100, 100]","[1, 9.589972262559996e-18]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.003098990048921422]"
Child affect:positive 2,"[1, 1.0]","[2, 0.005236505772799109]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.07919813616240301]","[1, 1.0]","[1, 0.2706627535556942]","[1, 1.0]","[1, 1.0]","[1, 0.00028470653229659056]","[1, 1.0]","[1, 0.01048995917521882]","[1, 1.0]","[3, 0.002426241008759568]","[2, 0.05026578650839855]","[1, 1.0]","[4, 6.642804278822863e-05]","[1, 2.480487830728732e-07]","[1, 0.01048995917521882]","[5, 5.6635173636781266e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.03942146982657027]","[1, 0.01048995917521882]","[5, 0.0007341853740727772]","[2, 0.00015030907235127772]","[3, 7.694377790050255e-08]","[1, 1.0]","[2, 0.08289876748078882]","[2, 0.037920959111115725]","[1, 1.0]","[2, 0.484703534155963]"
Child affect:positive 3,"[1, 0.0003563067623569336]","[3, 2.7167724145337106e-18]","[4, 1.893364335358443e-114]","[1, 1.0]","[100, 100]","[1, 0.9976598239237543]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.041736826067174854]","[2, 0.05022548341978221]","[1, 1.0]","[5, 7.420699123408618e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 6.193021087006028e-33]","[100, 100]","[4, 4.303107233836908e-15]","[4, 3.4038246463975713e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9971567038157964]","[1, 1.0]","[1, 0.9950750998363621]","[5, 0.11239629616941843]"
Child affect:positive 1,"[4, 0.009804127681381702]","[5, 0.0006078552943750271]","[4, 0.0006290811601917653]","[1, 0.07919813616240834]","[5, 0.9997961619157759]","[100, 100]","[1, 1.0]","[1, 0.04933960607373239]","[1, 1.0]","[3, 0.6431718827682602]","[2, 0.09963188224714224]","[1, 0.0023336202442683775]","[1, 0.12905231833424272]","[1, 1.0]","[5, 0.8726221212871359]","[1, 0.46826283055773876]","[1, 1.0]","[5, 0.00795863308846187]","[1, 1.0]","[1, 0.12905231833424272]","[1, 0.28336627286228455]","[1, 0.004119755567721317]","[1, 3.407210027005729e-07]","[100, 100]","[1, 4.6861472163721015e-05]","[2, 0.12862388648490852]","[5, 0.2298655817034226]","[3, 0.29762585727743757]","[1, 1.0]","[4, 0.012473860274598856]","[5, 0.45810633429297365]","[3, 0.31935192464264156]","[1, 0.12905231833424272]","[1, 0.02158307014229683]","[1, 0.15212426995262526]"
Child gesture:point at prop,"[2, 1.1528520870284905e-13]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.02599967685425227]","[1, 1.0]","[5, 0.07662680202657562]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.6722301244660878]","[1, 0.08363425313517439]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.01048995917521882]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.12007784729600816]","[2, 1.2594262510348283e-09]","[1, 1.0]","[1, 1.0]","[1, 0.08806996548095523]"
Parent utterance:utterance,"[1, 0.18111339180925284]","[2, 0.2127508533775563]","[1, 1.0]","[2, 0.5454154040044126]","[5, 0.3965238399199794]","[5, 0.47098368890626907]","[4, 7.630701178667267e-06]","[100, 100]","[1, 1.0]","[3, 0.9134888927528252]","[5, 0.6779489296618939]","[5, 0.8807822731603993]","[5, 0.5716604514889302]","[1, 0.22724192280780015]","[5, 0.03250972190387549]","[4, 0.0005128699426996346]","[2, 0.025862253678357993]","[2, 0.0089952505381671]","[5, 0.6598918236333775]","[5, 0.5716604514889302]","[4, 0.09575162042913998]","[5, 0.4817903306181386]","[3, 0.5227572971815195]","[100, 100]","[2, 0.4454767870393891]","[3, 0.05239236264907979]","[1, 0.05607289481991102]","[1, 0.015614323352016844]","[2, 0.2964259289264749]","[1, 0.11909926945396791]","[5, 0.19871718091678928]","[5, 0.08553913138622131]","[4, 0.9836381571874313]","[5, 0.8084612117549246]","[4, 0.001233620559175368]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0001205372745734733]","[1, 1.0]","[3, 0.029482802288666673]","[5, 1.6898832750862194e-132]","[1, 1.0]","[5, 3.9688702404842725e-12]","[1, 1.0]","[1, 1.0]","[5, 0.029873884730158617]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 4.885333176774977e-16]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.03301504855452703]"
Verbal scaffolding:cognitive,"[5, 0.00546344405598252]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0012775797365395028]","[1, 0.19563034978297922]","[3, 0.0003307583449858574]","[4, 0.8608974944746682]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.16853248126311324]","[1, 1.0]","[1, 0.3529678609738519]","[1, 0.3671187069732186]","[1, 1.0]","[3, 0.04896874580888812]","[1, 1.0]","[2, 0.16853248126311324]","[3, 0.3017802676682227]","[1, 1.0]","[2, 0.1115683469077367]","[100, 100]","[2, 0.04188312313141429]","[4, 0.1121291597615719]","[3, 0.3123287210632166]","[1, 1.0]","[4, 0.9864883021341212]","[1, 1.0]","[1, 0.12302924095958362]","[5, 0.5729877464798168]","[4, 0.2892415777459956]","[5, 0.12391731766122942]","[1, 0.37386704073579624]"
