,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gesture:point at prop,Parent gesture:other,Parent gesture:missing data,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[0, 1]","[4, 0.1646570023356609]","[2, 1.999128716604944e-05]","[100, 100]","[1, 0.009246993600410458]","[1, 1.0]","[100, 100]","[1, 0.01427108970924201]","[4, 0.9953109280831961]","[1, 1.0]","[3, 0.011519308429386681]","[1, 1.0]","[4, 8.056052976186122e-05]","[5, 0.016081135242275148]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.6540056126352105]","[5, 0.0001491284008584495]","[5, 0.14291039805153388]","[100, 100]","[100, 100]","[5, 0.14291039805153388]","[3, 0.09918129266149464]","[5, 0.3226142024605959]","[4, 0.22051996586374617]","[5, 0.002757622745419851]","[2, 0.01051978958608089]","[5, 4.068775130685785e-07]","[3, 0.0002819748864513786]","[2, 0.8853476517594748]","[5, 3.926082718531424e-06]","[1, 0.23913814920025991]"
Child gaze:tablet,"[2, 0.00016441933097887735]","[0, 1]","[2, 1.0039695103944644e-14]","[100, 100]","[2, 0.15900034278824635]","[1, 1.0]","[100, 100]","[1, 0.0023047868594712633]","[4, 0.30042990455442425]","[1, 1.0]","[4, 0.03981030063510573]","[1, 0.1784274651235251]","[1, 1.0]","[1, 0.2046348243544279]","[1, 0.1784274651235251]","[100, 100]","[4, 0.0004926138790988454]","[2, 0.9836484557867676]","[5, 0.22298871327088923]","[4, 0.05717836646234661]","[100, 100]","[100, 100]","[4, 0.05717836646234661]","[1, 0.2780481323021983]","[1, 0.8251622610589938]","[5, 0.2407133640270306]","[2, 0.9700218047685361]","[4, 0.8785004461835055]","[1, 0.11984427885822478]","[4, 0.0011665920010600723]","[4, 0.09119744102825197]","[1, 0.7858338714782171]","[2, 0.3332433746291426]"
Child gaze:parent,"[2, 2.3166947048143957e-07]","[2, 9.465764270217605e-11]","[0, 1]","[100, 100]","[1, 0.03342632372073833]","[1, 1.0]","[100, 100]","[2, 0.0002130001785848255]","[3, 0.9217400737014512]","[1, 1.0]","[3, 0.005751225981013473]","[1, 1.0]","[1, 1.0]","[1, 0.15794519273180285]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.9714268488842966]","[3, 0.11135240844445507]","[5, 0.19174850714198194]","[100, 100]","[100, 100]","[5, 0.19174850714198194]","[1, 0.17925407662945708]","[1, 0.013797814643215799]","[5, 0.380140338653143]","[3, 0.8839786416140711]","[3, 0.8839786462385257]","[2, 0.21291144340229215]","[4, 0.0004968981822656862]","[5, 0.9999888323892843]","[1, 0.0024286961660496087]","[1, 6.138248130629201e-05]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[4, 0.0022247295549395808]","[4, 0.022568153486594765]","[5, 6.412198315690328e-05]","[100, 100]","[0, 1]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0033842730208695584]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 2.6138342450339384e-11]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.00016993508175469128]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.07690097265418072]"
Child gesture:point at prop,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[0, 1]","[100, 100]","[4, 0.7449349746430569]","[1, 1.0]","[1, 1.0]","[5, 0.6245566285290555]","[1, 1.0]","[1, 1.0]","[5, 0.0010342116404020018]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.19114914101636263]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.06415897346849186]","[5, 0.9953530353440364]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0512308167906305]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[5, 0.20910021201972073]","[5, 0.017028835378793013]","[1, 0.04371451330913913]","[100, 100]","[1, 1.0]","[2, 0.25755274209320933]","[100, 100]","[0, 1]","[2, 0.9904114766300869]","[3, 0.5729279048270453]","[4, 0.020582173821681524]","[3, 0.2467284829653512]","[2, 0.08768086056855316]","[5, 0.5690899506732411]","[3, 0.2467284829653512]","[100, 100]","[1, 1.0]","[1, 0.22644233504172562]","[2, 0.38147530093641585]","[2, 0.6098354719770003]","[100, 100]","[100, 100]","[2, 0.6098354719770003]","[4, 0.42990592700880104]","[1, 0.40230599025694336]","[4, 0.02279956005133517]","[1, 0.969110302934221]","[3, 0.47972387831613605]","[5, 0.01151434637255348]","[4, 0.1832517720455951]","[4, 0.6331027238875135]","[5, 0.16688573516942135]","[5, 0.009033869166737657]"
Parent utterance:missing data,"[3, 0.0635094028898954]","[5, 0.055503576775313056]","[5, 8.774003819162189e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.026477185516717825]","[0, 1]","[1, 1.0]","[4, 0.9999999967757384]","[1, 1.0]","[1, 1.0]","[4, 0.9238124046183943]","[1, 1.0]","[100, 100]","[4, 0.05141496998961412]","[4, 0.04758889899574484]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.003296367183310555]","[5, 0.0010842693546010693]","[4, 1.6802906764255288e-05]","[4, 1.6802906764255776e-05]","[3, 0.0034069758883919668]","[4, 0.49272320847597584]","[4, 0.05526400932942529]","[1, 1.0]","[4, 0.9999999757505403]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.02693903967601435]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.0005678324242357661]","[1, 0.00043133784221771056]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
