,col base,action base,col count,action count,hist,bins
94,action,Child gaze,sub_action,parent,[4],[1 2]
95,action,Child gaze,sub_action,pick up,[5],[1 2]
96,action,Child gaze,sub_action,point at prop,[12],[1 2]
97,action,Child gaze,sub_action,positive 1,[4],[1 2]
98,action,Child gaze,sub_action,positive 2,[],[1]
99,action,Child gaze,sub_action,positive feedback,[6],[1 2]
100,action,Child gaze,sub_action,put down,[],[1]
101,action,Child gaze,sub_action,song,[],[1]
102,action,Child gaze,sub_action,tablet,[9 6 1 1],[1 2 3 4 5]
103,action,Child gaze,sub_action,teach,[4],[1 2]
104,action,Child gaze,sub_action,technical,[],[1]
105,action,Child gaze,sub_action,try again,[1],[1 2]
106,action,Child gaze,sub_action,utterance,[11  5  2],[1 2 3 4]
107,action,Child gaze,action:sub_action,Child affect:positive 1,[4],[1 2]
108,action,Child gaze,action:sub_action,Child affect:positive 2,[],[1]
109,action,Child gaze,action:sub_action,Child gaze:parent,[4],[1 2]
110,action,Child gaze,action:sub_action,Child gaze:tablet,[15  1],[1 2 3]
111,action,Child gaze,action:sub_action,Child gesture:other,[2],[1 2]
112,action,Child gaze,action:sub_action,Child gesture:point at prop,[3],[1 2]
113,action,Child gaze,action:sub_action,Child prop manipulation:child,[7],[1 2]
114,action,Child gaze,action:sub_action,Child utterance:utterance,[4],[1 2]
115,action,Child gaze,action:sub_action,Conversational turns:CP,[],[1]
116,action,Child gaze,action:sub_action,Conversational turns:CPC,[],[1]
117,action,Child gaze,action:sub_action,Conversational turns:PC,[1],[1 2]
118,action,Child gaze,action:sub_action,Conversational turns:PCP,[],[1]
119,action,Child gaze,action:sub_action,Joint attention:tablet,[7 1],[1 2 3]
120,action,Child gaze,action:sub_action,Non-verbal scaffolding:cognitive,[5],[1 2]
121,action,Child gaze,action:sub_action,Non-verbal scaffolding:technical,[],[1]
122,action,Child gaze,action:sub_action,Parent gaze:tablet,[2],[1 2]
123,action,Child gaze,action:sub_action,Parent gesture:missing data,[],[1]
124,action,Child gaze,action:sub_action,Parent gesture:other,[],[1]
125,action,Child gaze,action:sub_action,Parent gesture:point at prop,[5],[1 2]
126,action,Child gaze,action:sub_action,Parent prop manipulation:parent,[],[1]
127,action,Child gaze,action:sub_action,Parent utterance:missing data,[2],[1 2]
128,action,Child gaze,action:sub_action,Parent utterance:utterance,[12  4  1],[1 2 3 4]
129,action,Child gaze,action:sub_action,Verbal scaffolding:affective,[1],[1 2]
130,action,Child gaze,action:sub_action,Verbal scaffolding:cognitive,[12  3  1],[1 2 3 4]
131,action,Child gaze,action:sub_action,robot pointing:point at prop,[4],[1 2]
132,action,Child gaze,action:sub_action,robot text:correction,[2],[1 2]
133,action,Child gaze,action:sub_action,robot text:other,[2],[1 2]
134,action,Child gaze,action:sub_action,robot text:pick up,[5],[1 2]
135,action,Child gaze,action:sub_action,robot text:positive feedback,[6],[1 2]
136,action,Child gaze,action:sub_action,robot text:put down,[],[1]
137,action,Child gaze,action:sub_action,robot text:song,[],[1]
138,action,Child gaze,action:sub_action,robot text:teach,[4],[1 2]
139,action,Child gaze,action:sub_action,robot text:try again,[1],[1 2]
140,action,Child gesture,action,Child affect,[],[1]
141,action,Child gesture,action,Child gaze,[2],[1 2]
142,action,Child gesture,action,Child prop manipulation,[3],[1 2]
143,action,Child gesture,action,Child utterance,[],[1]
144,action,Child gesture,action,Conversational turns,[0 1],[1 2 3]
145,action,Child gesture,action,Joint attention,[1],[1 2]
146,action,Child gesture,action,Non-verbal scaffolding,[],[1]
147,action,Child gesture,action,Parent gaze,[],[1]
148,action,Child gesture,action,Parent gesture,[],[1]
149,action,Child gesture,action,Parent prop manipulation,[],[1]
150,action,Child gesture,action,Parent utterance,[4 1],[1 2 3]
151,action,Child gesture,action,Verbal scaffolding,[4 1],[1 2 3]
152,action,Child gesture,action,robot pointing,[1],[1 2]
153,action,Child gesture,action,robot text,[4],[1 2]
154,action,Child gesture,sub_action,CP,[],[1]
155,action,Child gesture,sub_action,CPC,[],[1]
156,action,Child gesture,sub_action,PC,[1],[1 2]
157,action,Child gesture,sub_action,PCP,[1],[1 2]
158,action,Child gesture,sub_action,affective,[],[1]
159,action,Child gesture,sub_action,child,[3],[1 2]
160,action,Child gesture,sub_action,cognitive,[4 1],[1 2 3]
161,action,Child gesture,sub_action,correction,[1],[1 2]
162,action,Child gesture,sub_action,missing data,[],[1]
163,action,Child gesture,sub_action,other,[1],[1 2]
164,action,Child gesture,sub_action,parent,[],[1]
165,action,Child gesture,sub_action,pick up,[1],[1 2]
166,action,Child gesture,sub_action,point at prop,[2],[1 2]
167,action,Child gesture,sub_action,positive 1,[],[1]
168,action,Child gesture,sub_action,positive 2,[],[1]
169,action,Child gesture,sub_action,positive feedback,[],[1]
170,action,Child gesture,sub_action,put down,[],[1]
171,action,Child gesture,sub_action,song,[],[1]
172,action,Child gesture,sub_action,tablet,[1 1],[1 2 3]
173,action,Child gesture,sub_action,teach,[1],[1 2]
174,action,Child gesture,sub_action,technical,[],[1]
175,action,Child gesture,sub_action,try again,[],[1]
