,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,14.318
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,14.517999999999999
2,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,14.717999999999998
3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,14.917999999999997
4,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,15.117999999999997
5,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,15.317999999999996
6,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,15.517999999999995
7,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,15.717999999999995
8,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,15.917999999999994
9,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16.117999999999995
10,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16.31799999999999
11,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16.517999999999994
12,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16.71799999999999
13,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,16.917999999999992
14,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,17.117999999999988
15,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,17.31799999999999
16,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,17.517999999999986
17,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,17.71799999999999
18,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,17.917999999999985
19,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,18.117999999999988
20,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,18.317999999999984
21,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,18.517999999999986
22,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,18.717999999999982
23,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,18.917999999999985
24,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.11799999999998
25,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.317999999999984
26,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.51799999999998
27,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.717999999999982
28,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,19.917999999999978
29,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.11799999999998
30,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.317999999999977
31,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.51799999999998
32,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.717999999999975
33,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.917999999999978
34,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.117999999999974
35,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.317999999999977
36,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.517999999999972
37,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.717999999999975
38,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.91799999999997
39,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,22.117999999999974
40,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,22.31799999999997
41,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.517999999999972
42,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.717999999999968
43,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.91799999999997
44,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,23.117999999999967
45,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.31799999999997
46,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.517999999999965
47,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.717999999999968
48,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,23.917999999999964
49,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.117999999999967
50,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.317999999999962
51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24.517999999999965
52,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24.71799999999996
53,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24.917999999999964
54,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.11799999999996
55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.317999999999962
