,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 1,Parent affect:positive 3,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[4, 0.9951730277277169]","[1, 0.9958467915318004]","[1, 0.9975122832193232]","[1, 0.998500226414954]","[5, 2.5754376151081734e-10]","[2, 0.04850930956433447]","[1, 1.0]","[1, 1.0]","[4, 0.9986156900001107]","[1, 1.0]","[2, 0.014016426888541801]","[1, 1.0]","[1, 0.1061866463001009]","[3, 0.17173230899607428]","[5, 0.13676571208942626]","[5, 0.999999999999961]","[4, 0.2446245615513627]","[2, 0.05855461248780182]","[100, 100]","[1, 1.0]","[1, 0.01715284646716129]","[4, 0.995642164037057]","[100, 100]","[4, 6.343660260142128e-11]","[4, 0.9991117869450608]","[5, 0.06675053484586481]","[1, 1.0]","[2, 0.005923301439318771]","[4, 0.5340562225287024]","[4, 0.4700430344428156]","[1, 0.9972813112161077]","[4, 8.281483934562738e-09]","[3, 0.1440256944210421]","[100, 100]"
Child gaze:tablet,"[3, 0.005412300020107759]","[100, 100]","[5, 1.5239400224062467e-53]","[3, 0.0009582688511830071]","[3, 3.378981831073394e-05]","[1, 1.0]","[5, 0.02734262340976352]","[5, 0.9999999999846889]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.04404092306301539]","[3, 0.027640646534184146]","[4, 0.9869842120907087]","[5, 1.2457687051492895e-05]","[4, 0.9999999999998729]","[1, 1.0]","[100, 100]","[4, 0.1451478159948939]","[1, 1.0]","[2, 0.044029076757005195]","[100, 100]","[1, 1.0]","[2, 0.003529974448442716]","[1, 1.0]","[4, 7.52784855156766e-05]","[1, 1.0]","[4, 0.9999999999994332]","[3, 0.01579176278112845]","[4, 0.9999999999987244]","[1, 1.0]","[3, 0.019013500222869684]","[100, 100]"
Child gaze:parent,"[1, 0.9958458914590061]","[5, 8.62662681007634e-15]","[100, 100]","[1, 0.9947924418629132]","[4, 0.002506786674747347]","[1, 1.0]","[4, 0.0013447985370219641]","[4, 0.9999999999997051]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0014089018469246024]","[5, 7.68225306478622e-10]","[5, 0.00294850440110156]","[5, 0.9999999999993615]","[5, 0.0012848711675813005]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 4.3148776635405815e-06]","[100, 100]","[1, 1.0]","[1, 5.206946153882224e-10]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.995407423260738]","[1, 0.9958458914717023]","[1, 0.9947924418629132]","[1, 1.0]","[5, 9.38785025424361e-07]","[100, 100]"
Child affect:positive 2,"[5, 0.01047773835655994]","[5, 0.0018754587150577333]","[1, 0.9947933285313567]","[100, 100]","[1, 8.562966626558744e-08]","[1, 1.0]","[5, 0.8614967514302776]","[3, 0.99999999998901]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.04192381241713948]","[5, 0.1955701182080767]","[1, 0.9980323024718757]","[1, 6.455716259899168e-06]","[1, 0.9979313257302833]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.00042157238445544046]","[2, 0.011417862984407655]","[100, 100]","[1, 1.0]","[2, 0.0003027812744638328]","[1, 1.0]","[4, 0.09049219845227441]","[1, 1.0]","[1, 0.9969942112954899]","[1, 0.9976543290743439]","[1, 0.9965917097396427]","[1, 1.0]","[5, 0.5017624722531765]","[100, 100]"
Child affect:positive 1,"[5, 0.10998041355052582]","[1, 8.18178594987438e-06]","[2, 0.0002643205011500908]","[3, 0.995518212640012]","[100, 100]","[1, 1.0]","[1, 0.0026698187093162525]","[1, 0.0028257714168968724]","[4, 0.9999999999999999]","[2, 0.0021115951547833823]","[1, 1.0]","[1, 0.04367067061914919]","[1, 1.0]","[3, 0.45381923976497107]","[1, 0.028998761888467516]","[1, 0.9989146104685358]","[3, 0.9996696191427963]","[2, 0.27678283337113396]","[2, 0.06606566891393703]","[100, 100]","[2, 4.0260850433707e-06]","[1, 0.09932571330235208]","[3, 0.43855587947989993]","[100, 100]","[1, 1.0]","[3, 0.1802444777050445]","[1, 0.027065097239982683]","[4, 0.29612365200726115]","[3, 0.9997638223907571]","[5, 0.36524523431852113]","[4, 0.009006477952917542]","[3, 0.06794596366339306]","[5, 0.0001504802127531101]","[1, 0.2564283535093751]","[100, 100]"
Child gesture:point at prop,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 5.3949470849293184e-05]","[100, 100]","[1, 0.01098170793586935]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.4669270753185263e-05]","[5, 8.339545470203564e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Parent utterance:utterance,"[5, 0.22987714338355764]","[2, 0.04040255715179241]","[2, 0.000163147326923366]","[4, 0.8828813767449227]","[3, 0.016070704288245804]","[4, 0.08768961873178559]","[100, 100]","[1, 0.6543335548531358]","[1, 0.9002141201144046]","[4, 0.793526691329302]","[1, 0.9060315552394705]","[2, 0.04384862132196187]","[4, 0.996121323434203]","[1, 3.2757560800782783e-05]","[5, 0.009778940681706429]","[4, 0.1986905462703093]","[1, 0.20435945809356906]","[1, 0.37791078408454426]","[2, 0.12044851103422945]","[100, 100]","[3, 0.09038911242949282]","[2, 0.7109465175281433]","[2, 0.6734383184752447]","[100, 100]","[1, 1.0]","[2, 0.5079620270340056]","[2, 0.24135140715662323]","[5, 0.25694991906426706]","[5, 0.12320274406065937]","[1, 0.1978094399999649]","[2, 0.634228213597487]","[2, 0.4862003615578221]","[4, 0.15691584152553964]","[5, 0.01629694122971282]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 1.0]","[4, 0.2193064094447263]","[3, 0.0006459664135620278]","[2, 0.02588569455918927]","[1, 0.136592918045644]","[1, 1.0]","[5, 0.9999869460559948]","[100, 100]","[5, 0.9998061137808462]","[1, 1.0]","[5, 0.9981425406506228]","[5, 4.103774759447768e-08]","[1, 1.0]","[5, 0.09395897349526891]","[4, 0.02245809763384662]","[2, 0.2974131263491286]","[1, 1.0]","[4, 0.6537874231273058]","[2, 0.000624435833758651]","[100, 100]","[1, 1.0]","[5, 0.9999405483542324]","[5, 0.056509526334635234]","[100, 100]","[1, 1.0]","[4, 0.004565056246701323]","[1, 0.023793955659324188]","[5, 0.9999206262425803]","[1, 0.023793955659324188]","[5, 0.44623205450519854]","[5, 0.9987563161082323]","[5, 0.3818795758084786]","[1, 1.0]","[4, 0.24716080973461854]","[100, 100]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.006497484798489499]","[1, 1.0]","[4, 0.49496753083103306]","[4, 0.01214969873097975]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 4.8210868342557196e-21]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0012866082099755496]","[100, 100]","[1, 1.0]","[3, 4.876664039444395e-07]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Verbal scaffolding:affective,"[4, 0.01138464876541593]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7689977464432771]","[1, 1.0]","[4, 2.893696151495398e-07]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 6.718324309427623e-05]","[3, 0.0005826564227486279]","[4, 0.15124613124189595]","[1, 1.0]","[3, 1.2583169440680478e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.00022191499911550808]","[2, 0.020058727982720646]","[100, 100]","[1, 1.0]","[2, 0.0008451897774808464]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.011384648765416559]","[1, 1.0]","[4, 2.668754570314116e-15]","[3, 0.000301442639269168]","[100, 100]"
Verbal scaffolding:instruction translation,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.035112680604383835]","[2, 2.2603294069810835e-06]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Non-verbal scaffolding:cognitive,"[3, 0.036280984533608084]","[1, 1.0]","[1, 1.0]","[4, 0.009284013920279905]","[5, 0.5076362679197675]","[3, 1.6142884186426126e-10]","[2, 0.006739172630067053]","[5, 8.08987662520378e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.7700689771651323]","[5, 0.9999426117209376]","[2, 0.010919666372100323]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.022083197618364036]","[100, 100]","[1, 1.0]","[3, 0.02456936391791227]","[5, 0.9982056622394372]","[1, 1.0]","[4, 0.05231208570134208]","[4, 0.0002947779484786155]","[2, 0.014016427287207483]","[4, 8.471312855266862e-05]","[1, 1.0]","[5, 0.9999324241126638]","[100, 100]"
Non-verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.015334987689824543]","[1, 1.0]","[1, 0.00030954035975649187]","[5, 0.02489597735350234]","[5, 3.6745161206991403e-88]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.003421406517868212]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Parent gaze:child,"[1, 0.1061866290841837]","[3, 0.36038716780375346]","[2, 5.6079838824454974e-05]","[1, 0.9985165262566589]","[2, 0.043395952411476486]","[4, 0.9988813875316047]","[2, 0.006211986891690576]","[1, 0.2531660256985885]","[1, 1.0]","[4, 0.996089667643318]","[1, 1.0]","[1, 0.12163033496732764]","[1, 1.0]","[100, 100]","[3, 1.638500347045014e-25]","[4, 0.14969032808194163]","[5, 0.6523626987551521]","[1, 0.013678612280391248]","[1, 0.20642441442119647]","[100, 100]","[4, 0.9959279342402285]","[3, 0.0934196651490977]","[2, 0.01786139264685508]","[100, 100]","[4, 0.9988813875316047]","[2, 0.0006693494407847679]","[1, 0.08987154539271844]","[4, 2.3877957899314992e-05]","[2, 0.23676466492671785]","[4, 0.5992465309992059]","[1, 0.1061866290841837]","[1, 0.998556269704204]","[4, 3.7529040492786208e-06]","[2, 2.882838072976e-18]","[100, 100]"
Parent gaze:tablet,"[5, 0.0020793150554438357]","[4, 0.36374815973295205]","[3, 0.00027732397411816845]","[1, 0.0473150451730635]","[2, 0.591987212019043]","[4, 0.9990324760758037]","[3, 5.191155933555992e-05]","[4, 0.15099955909617713]","[1, 1.0]","[1, 0.06391594934590047]","[1, 1.0]","[2, 0.3183312898216379]","[1, 1.0]","[5, 2.2052806794305493e-85]","[100, 100]","[1, 0.022227367490756267]","[2, 0.0001628910453626954]","[2, 0.0002195110191861718]","[4, 0.32324598798435084]","[100, 100]","[2, 0.9635075146250053]","[4, 0.18425664055220164]","[3, 0.04232820599331504]","[100, 100]","[4, 0.9990324760758037]","[3, 0.0019526144742767315]","[2, 0.9926651413533659]","[5, 0.0016385136678712766]","[4, 0.9999611510042106]","[4, 0.004186530503520639]","[1, 0.11512129073707245]","[1, 0.9985919245828192]","[4, 3.1481875665441765e-06]","[4, 0.058622494196071864]","[100, 100]"
Parent affect:positive 1,"[4, 1.1090148373118778e-05]","[5, 0.006245783024699904]","[4, 0.00118913917179516]","[4, 2.7028138685772975e-06]","[1, 0.12723444006896117]","[1, 1.0]","[1, 0.11689670762487372]","[2, 0.08774760378654571]","[1, 1.0]","[2, 0.03448170303271854]","[1, 1.0]","[4, 0.2937702647797174]","[1, 1.0]","[2, 2.2328776553510384e-08]","[3, 0.00018637009929243093]","[100, 100]","[1, 0.008782611725075646]","[1, 0.09010959996556293]","[4, 0.5118666355776904]","[100, 100]","[1, 1.0]","[1, 0.0849112291810366]","[4, 0.9998415394618764]","[100, 100]","[4, 0.9995295371282715]","[1, 0.9999214411299826]","[4, 0.9999815938852585]","[4, 0.007091893175540016]","[3, 0.14822633336826838]","[3, 0.1134280808736129]","[4, 7.700553280444e-05]","[2, 0.021872361209612882]","[4, 4.368319622858729e-05]","[3, 0.0011894478730180389]","[100, 100]"
Parent affect:positive 3,"[4, 0.9999999997289136]","[4, 0.9999999999741223]","[4, 0.9999999963492006]","[4, 0.9999999993119416]","[5, 0.21804742307020736]","[1, 1.0]","[2, 0.01549812571518086]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1647596668118991]","[3, 0.32932783730014664]","[4, 0.999999999918265]","[100, 100]","[1, 0.006482819388705282]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.0003703147084742147]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.09049221766665003]","[1, 1.0]","[2, 0.0003804966865539776]","[4, 0.9999999997289136]","[2, 3.849589218815968e-05]","[1, 1.0]","[3, 0.29705908799925596]","[100, 100]"
Parent affect:positive 2,"[2, 0.0683564825277008]","[5, 0.22379964565687968]","[1, 0.9968400384286328]","[1, 0.997931492811071]","[1, 0.10881585958276495]","[1, 1.0]","[2, 0.251538011719825]","[1, 0.9999385207013826]","[1, 1.0]","[5, 0.1866641164316831]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00020688767718512758]","[5, 9.383041213883623e-05]","[1, 0.09010526456902858]","[4, 0.9999474703645667]","[100, 100]","[4, 0.1803792024218919]","[100, 100]","[5, 8.722548513868736e-06]","[4, 0.9997377184314737]","[3, 0.3510230030494679]","[100, 100]","[1, 1.0]","[3, 0.11605515716195312]","[4, 0.9998640336779216]","[1, 0.08573708449441306]","[1, 0.01496218727956509]","[2, 0.03752281103239274]","[1, 0.9983499396239961]","[1, 0.997931492811071]","[1, 1.0]","[1, 0.00017100999845504587]","[100, 100]"
