,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[2],[1 2]
1,action,Child affect,action,Child gesture,[],[1]
2,action,Child affect,action,Child prop manipulation,[7],[1 2]
3,action,Child affect,action,Child utterance,[1],[1 2]
4,action,Child affect,action,Conversational turns,[0 2 0 1],[1 2 3 4 5]
5,action,Child affect,action,Joint attention,[6],[1 2]
6,action,Child affect,action,Mutual gaze,[1],[1 2]
7,action,Child affect,action,Non-verbal scaffolding,[1],[1 2]
8,action,Child affect,action,Parent affect,[7],[1 2]
9,action,Child affect,action,Parent affective touch,[],[1]
10,action,Child affect,action,Parent gaze,[2 6],[1 2 3]
11,action,Child affect,action,Parent gesture,[1],[1 2]
12,action,Child affect,action,Parent utterance,[12  2],[1 2 3]
13,action,Child affect,action,Verbal scaffolding,[5],[1 2]
14,action,Child affect,action,robot pointing,[2],[1 2]
15,action,Child affect,action,robot text,[14],[1 2]
16,action,Child affect,sub_action,CP,[1],[1 2]
17,action,Child affect,sub_action,CPC,[1],[1 2]
18,action,Child affect,sub_action,MG,[1],[1 2]
19,action,Child affect,sub_action,PC,[3],[1 2]
20,action,Child affect,sub_action,PCP,[3],[1 2]
21,action,Child affect,sub_action,affective,[1],[1 2]
22,action,Child affect,sub_action,affective touch,[],[1]
23,action,Child affect,sub_action,child,[7 3],[1 2 3]
24,action,Child affect,sub_action,cognitive,[2 1],[1 2 3]
25,action,Child affect,sub_action,instruction translation,[],[1]
26,action,Child affect,sub_action,other,[1],[1 2]
27,action,Child affect,sub_action,parent,[1],[1 2]
28,action,Child affect,sub_action,pick up,[6],[1 2]
29,action,Child affect,sub_action,point at prop,[3],[1 2]
30,action,Child affect,sub_action,positive 1,[5],[1 2]
31,action,Child affect,sub_action,positive 2,[5],[1 2]
32,action,Child affect,sub_action,positive 3,[],[1]
33,action,Child affect,sub_action,positive feedback,[2],[1 2]
34,action,Child affect,sub_action,put down,[3],[1 2]
35,action,Child affect,sub_action,song,[],[1]
36,action,Child affect,sub_action,tablet,[3 6],[1 2 3]
37,action,Child affect,sub_action,teach,[2],[1 2]
38,action,Child affect,sub_action,technical,[1],[1 2]
39,action,Child affect,sub_action,utterance,[11  3],[1 2 3]
40,action,Child affect,action:sub_action,Child affect:positive 1,[3],[1 2]
41,action,Child affect,action:sub_action,Child affect:positive 2,[],[1]
42,action,Child affect,action:sub_action,Child gaze:parent,[1],[1 2]
43,action,Child affect,action:sub_action,Child gaze:tablet,[1],[1 2]
44,action,Child affect,action:sub_action,Child gesture:point at prop,[],[1]
45,action,Child affect,action:sub_action,Child prop manipulation:child,[7],[1 2]
46,action,Child affect,action:sub_action,Child utterance:utterance,[1],[1 2]
47,action,Child affect,action:sub_action,Conversational turns:CP,[1],[1 2]
48,action,Child affect,action:sub_action,Conversational turns:CPC,[1],[1 2]
49,action,Child affect,action:sub_action,Conversational turns:PC,[3],[1 2]
50,action,Child affect,action:sub_action,Conversational turns:PCP,[3],[1 2]
51,action,Child affect,action:sub_action,Joint attention:tablet,[6],[1 2]
52,action,Child affect,action:sub_action,Mutual gaze:MG,[1],[1 2]
53,action,Child affect,action:sub_action,Non-verbal scaffolding:cognitive,[1],[1 2]
54,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[],[1]
55,action,Child affect,action:sub_action,Parent affect:positive 1,[2],[1 2]
56,action,Child affect,action:sub_action,Parent affect:positive 2,[5],[1 2]
57,action,Child affect,action:sub_action,Parent affect:positive 3,[],[1]
58,action,Child affect,action:sub_action,Parent affective touch:affective touch,[],[1]
59,action,Child affect,action:sub_action,Parent gaze:child,[6],[1 2]
60,action,Child affect,action:sub_action,Parent gaze:tablet,[8],[1 2]
61,action,Child affect,action:sub_action,Parent gesture:other,[],[1]
62,action,Child affect,action:sub_action,Parent gesture:point at prop,[1],[1 2]
63,action,Child affect,action:sub_action,Parent utterance:utterance,[12  2],[1 2 3]
64,action,Child affect,action:sub_action,Verbal scaffolding:affective,[1],[1 2]
65,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[3],[1 2]
66,action,Child affect,action:sub_action,Verbal scaffolding:instruction translation,[],[1]
67,action,Child affect,action:sub_action,Verbal scaffolding:technical,[1],[1 2]
68,action,Child affect,action:sub_action,robot pointing:point at prop,[2],[1 2]
69,action,Child affect,action:sub_action,robot text:other,[1],[1 2]
70,action,Child affect,action:sub_action,robot text:pick up,[6],[1 2]
71,action,Child affect,action:sub_action,robot text:positive feedback,[2],[1 2]
72,action,Child affect,action:sub_action,robot text:put down,[3],[1 2]
73,action,Child affect,action:sub_action,robot text:song,[],[1]
74,action,Child affect,action:sub_action,robot text:teach,[2],[1 2]
75,action,Child gaze,action,Child affect,[1],[1 2]
76,action,Child gaze,action,Child gesture,[],[1]
77,action,Child gaze,action,Child prop manipulation,[3],[1 2]
78,action,Child gaze,action,Child utterance,[],[1]
79,action,Child gaze,action,Conversational turns,[],[1]
80,action,Child gaze,action,Joint attention,[2 1],[1 2 3]
81,action,Child gaze,action,Mutual gaze,[1],[1 2]
82,action,Child gaze,action,Non-verbal scaffolding,[1],[1 2]
83,action,Child gaze,action,Parent affect,[6],[1 2]
84,action,Child gaze,action,Parent affective touch,[],[1]
85,action,Child gaze,action,Parent gaze,[1 2],[1 2 3]
86,action,Child gaze,action,Parent gesture,[1],[1 2]
87,action,Child gaze,action,Parent utterance,[3 1],[1 2 3]
88,action,Child gaze,action,Verbal scaffolding,[1],[1 2]
89,action,Child gaze,action,robot pointing,[1],[1 2]
90,action,Child gaze,action,robot text,[5],[1 2]
91,action,Child gaze,sub_action,CP,[],[1]
92,action,Child gaze,sub_action,CPC,[],[1]
93,action,Child gaze,sub_action,MG,[1],[1 2]
94,action,Child gaze,sub_action,PC,[],[1]
95,action,Child gaze,sub_action,PCP,[],[1]
96,action,Child gaze,sub_action,affective,[],[1]
97,action,Child gaze,sub_action,affective touch,[],[1]
98,action,Child gaze,sub_action,child,[3 1],[1 2 3]
99,action,Child gaze,sub_action,cognitive,[2],[1 2]
100,action,Child gaze,sub_action,instruction translation,[],[1]
101,action,Child gaze,sub_action,other,[2],[1 2]
102,action,Child gaze,sub_action,parent,[1],[1 2]
103,action,Child gaze,sub_action,pick up,[1],[1 2]
104,action,Child gaze,sub_action,point at prop,[0 1],[1 2 3]
