,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12.02
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12.219999999999999
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.419999999999998
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.619999999999997
4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12.819999999999997
5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,13.019999999999996
6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,13.219999999999995
7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,13.419999999999995
8,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,13.619999999999994
9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,13.819999999999993
10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,14.019999999999992
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.219999999999992
12,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14.419999999999991
13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,14.61999999999999
14,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,14.81999999999999
15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.019999999999989
16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.219999999999988
17,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.419999999999987
18,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.619999999999987
19,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.819999999999986
20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.019999999999985
21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.219999999999985
22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.419999999999984
23,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,16.619999999999983
24,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,16.819999999999983
25,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,17.019999999999982
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.21999999999998
27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.41999999999998
28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.61999999999998
29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.81999999999998
30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.01999999999998
31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.219999999999978
32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.419999999999977
33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.619999999999976
34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.819999999999975
35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.019999999999975
36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.219999999999974
37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.419999999999973
38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.619999999999973
39,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.819999999999972
40,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.01999999999997
41,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.21999999999997
42,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.41999999999997
43,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.61999999999997
44,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.81999999999997
45,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,21.019999999999968
46,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,21.219999999999967
47,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,21.419999999999966
48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.619999999999965
49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.819999999999965
50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22.019999999999964
51,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,22.219999999999963
52,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,22.419999999999963
53,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,22.619999999999962
54,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,22.81999999999996
55,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,23.01999999999996
