,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child gesture:other,Child affective touch:affective touch,Parent utterance:missing data,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gaze:robot or prop,Parent gaze:tablet,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:other,Parent gesture:point at prop,Parent gesture:missing data,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[4, 0.18283646483797555]","[5, 1.1911624784392344e-05]","[1, 0.101068662625717]","[2, 0.5203570748284195]","[3, 0.0001293819977630928]","[3, 0.006444897697993105]","[100, 100]","[2, 0.009249445947820973]","[1, 1.0]","[2, 0.20521168904539583]","[4, 0.7288537161145113]","[1, 1.0]","[1, 0.287440090127547]","[100, 100]","[1, 1.0]","[3, 0.0910027278567228]","[5, 0.027740675128134277]","[2, 0.6037859304979378]","[100, 100]","[4, 0.9934454925516956]","[2, 0.358781920762592]","[1, 0.3197918430072742]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.001120949273113483]","[4, 0.7367775399276675]","[1, 1.0]","[5, 0.010774905967118763]","[100, 100]","[100, 100]","[5, 0.010774905967118763]","[5, 0.39468202129285357]","[1, 1.0]","[2, 0.27445806132003114]","[1, 1.4093107358298731e-05]","[5, 0.0010051475793049082]","[5, 0.00042221589330634224]","[2, 5.0256787486157044e-06]","[1, 0.2876352630498804]","[1, 0.6947867314712284]","[3, 0.00798948105337134]","[3, 0.4020090092620672]","[5, 5.744434555493043e-06]"
Child gaze:robot,"[3, 0.22728614358526464]","[0, 1]","[1, 0.0002533949040015786]","[2, 1.210570204916079e-14]","[1, 0.4648365083666639]","[4, 0.17283813482163218]","[1, 0.13463029144775382]","[100, 100]","[4, 0.06928578216454488]","[1, 0.01755358099904629]","[3, 0.156525949615251]","[5, 0.07380863728767091]","[4, 0.764337240167121]","[1, 0.92153972338444]","[100, 100]","[3, 0.004057914027050127]","[1, 0.10241397648409349]","[2, 0.19812472994114289]","[3, 0.01779333385870144]","[100, 100]","[3, 0.4901192489419509]","[2, 0.08010204345842088]","[1, 0.524532174352595]","[100, 100]","[3, 0.004057914027050127]","[1, 0.2752738203767159]","[5, 0.0478173998549507]","[1, 0.24695115441257207]","[5, 0.878887585431799]","[3, 0.0984793866383045]","[100, 100]","[100, 100]","[3, 0.0984793866383045]","[1, 0.2951473103380261]","[4, 0.031099019365766523]","[1, 0.5551404726904154]","[3, 0.08952307481535875]","[2, 0.9053776044380322]","[1, 0.10297416439493162]","[1, 0.30313571697760944]","[1, 0.016169301294273172]","[1, 0.053010536275964214]","[3, 0.39171528850721826]","[2, 0.0011529423967190531]","[1, 0.0005221655544761075]"
Child gaze:parent,"[3, 0.0004020287054689295]","[4, 0.45874456978049094]","[0, 1]","[4, 0.028016599261325624]","[1, 0.23570241211615917]","[4, 1.043244115625072e-12]","[4, 0.057712287171191895]","[100, 100]","[3, 7.81625737211095e-06]","[1, 1.0]","[2, 0.0072875031426307526]","[5, 0.5718708975646896]","[1, 1.0]","[2, 0.5510807065399912]","[100, 100]","[1, 1.0]","[3, 0.20815439894610707]","[4, 0.42993637557577724]","[2, 0.07159513176501768]","[100, 100]","[1, 1.0]","[2, 0.010574592976230174]","[3, 0.47896232734484356]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 8.943389219971666e-07]","[5, 0.2821289684963321]","[1, 1.0]","[3, 0.014226934727890427]","[100, 100]","[100, 100]","[3, 0.014226934727890427]","[4, 0.34160263331838303]","[1, 1.0]","[2, 0.4682825659806895]","[3, 0.03713914728808089]","[1, 1.0]","[3, 0.005605875318910806]","[5, 0.18537808789566998]","[2, 0.05196302147486622]","[5, 0.20008656691989715]","[1, 0.4524175851031893]","[1, 0.570582773987298]","[4, 0.00010179931883695715]"
Child gaze:props,"[5, 0.10382799014548193]","[2, 3.3028194813326405e-10]","[3, 0.18143034727401422]","[0, 1]","[5, 0.15188325536051217]","[2, 0.9670653352791715]","[3, 0.9990678370960793]","[100, 100]","[2, 0.9779762861368063]","[1, 1.0303385574025176e-05]","[5, 0.019731487192321918]","[5, 0.010022788834980294]","[3, 0.5286293533091877]","[5, 0.16447581312555606]","[100, 100]","[1, 3.3547487499423685e-05]","[1, 0.1462100511935112]","[5, 0.8004505969692868]","[4, 0.19290892524444922]","[100, 100]","[2, 0.09376549104487318]","[2, 0.27327558208088554]","[2, 0.0710395503825798]","[100, 100]","[1, 3.3547487499423685e-05]","[3, 0.2013177826575214]","[4, 0.9997354595127951]","[5, 0.3532497003215151]","[1, 0.14950742927637517]","[4, 0.002313216778175025]","[100, 100]","[100, 100]","[4, 0.002313216778175025]","[3, 0.042487846966330386]","[1, 0.0009576167857224422]","[5, 0.07866307482752001]","[1, 0.3577013869893819]","[5, 0.9999954456082621]","[5, 0.5918250437739633]","[1, 0.20861334246299418]","[1, 0.5016405002131465]","[4, 0.9998839963712093]","[2, 0.00043141415975363824]","[4, 0.156421451199507]","[3, 0.3022240073218749]"
Child affect:positive 1,"[1, 0.32895173773306613]","[4, 0.3506744533521542]","[5, 0.41619339970719826]","[1, 0.47373403272702586]","[0, 1]","[1, 1.0]","[2, 0.9944226253406816]","[100, 100]","[2, 0.9999737224166736]","[1, 1.0]","[2, 0.43179748718436717]","[2, 0.5614471199227998]","[5, 0.15300157723492974]","[5, 0.08538333229301652]","[100, 100]","[1, 1.0]","[5, 0.12721359652797004]","[4, 0.48980179659970413]","[1, 0.5427673697203703]","[100, 100]","[1, 1.0]","[5, 0.5865872053752941]","[2, 0.36180357394471196]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.9998417236299396]","[1, 0.22229242568858187]","[4, 0.10213965491200556]","[1, 0.08430950135800461]","[100, 100]","[100, 100]","[1, 0.08430950135800461]","[1, 0.19617976372435725]","[2, 0.16637119957724583]","[5, 0.038146752095723845]","[2, 0.992002360266277]","[2, 0.9717179175010116]","[5, 0.06689662288930412]","[2, 0.9975441225380457]","[5, 0.24288152957662684]","[5, 0.9987163094210239]","[1, 0.414216178242522]","[2, 0.194311831933875]","[2, 0.489243003562996]"
Child affect:positive 2,"[1, 0.005384790508012803]","[2, 0.0010877495638894577]","[3, 9.48135725648534e-05]","[1, 0.04198218354592591]","[1, 1.0]","[0, 1]","[3, 2.238020777899288e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.3192531931603047]","[1, 1.0]","[1, 1.0]","[5, 0.000171153965653843]","[100, 100]","[1, 1.0]","[5, 0.04510545155305086]","[3, 0.30867185405226166]","[5, 0.2950813973237316]","[100, 100]","[1, 1.0]","[3, 1.583112819926105e-05]","[5, 0.0023790428393915468]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00048527125631802557]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.46313220106453]","[1, 7.123429244645411e-05]","[1, 1.0]","[1, 1.0]","[3, 0.01569139948597775]","[1, 1.0]","[3, 2.1664350404426118e-08]","[2, 0.06604682595540445]","[1, 0.08000755701094206]","[3, 0.00015390425774847066]"
Child gesture:point at prop,"[5, 0.2357139213401312]","[2, 0.05818147067724996]","[2, 0.002914526719229318]","[3, 0.5724737746918276]","[1, 0.10166389920509321]","[5, 1.614061375318302e-08]","[0, 1]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.4540412889572333]","[5, 0.46706980783351815]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.0028805397046695828]","[4, 0.09408935691603636]","[1, 0.44145802943380263]","[100, 100]","[5, 0.00026981048865755614]","[3, 0.35145870664631473]","[4, 0.4018598684381355]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.476161871012037]","[1, 1.0]","[4, 0.1467700787328589]","[100, 100]","[100, 100]","[4, 0.1467700787328589]","[5, 0.5291700756483554]","[1, 1.0]","[5, 0.025282241356258686]","[2, 0.059542532791956225]","[5, 0.00017728130047622485]","[4, 0.08547004037850688]","[1, 0.15336015789909635]","[4, 0.5136073649361801]","[1, 0.005384790508012691]","[2, 1.0010087711915999e-06]","[1, 0.43499796173583793]","[2, 0.007853891115178825]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affective touch:affective touch,"[1, 0.9985839230710192]","[1, 0.1730988303035345]","[2, 9.7053304383106e-10]","[1, 0.097220681762757]","[3, 0.9999998659141055]","[1, 1.0]","[1, 1.0]","[100, 100]","[0, 1]","[1, 1.0]","[2, 0.3270182558099881]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.6784744986695539]","[1, 0.1289983664763368]","[2, 0.01483242402854195]","[100, 100]","[1, 1.0]","[5, 1.290923810979061e-15]","[5, 0.00015579637245780108]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 8.26120111703238e-62]","[1, 1.0]","[1, 1.0]","[1, 0.992550727318733]","[100, 100]","[100, 100]","[1, 0.992550727318733]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.007814143174935598]","[1, 0.9951236298427099]","[1, 0.9942300861833768]","[1, 1.0]","[1, 1.0]","[1, 0.15322147554647617]","[3, 1.0288136257388468e-05]"
Parent utterance:missing data,"[1, 1.0]","[1, 0.017904836007313553]","[1, 1.0]","[2, 0.5226040521038643]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[0, 1]","[3, 0.6665796507977153]","[3, 0.2259846342409133]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.11155070470112878]","[1, 1.0]","[1, 0.22309975261012166]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 1.650083980119406e-34]","[1, 1.0]","[2, 0.04094650903348591]","[2, 0.3872593271832603]","[3, 0.004745848892981557]","[100, 100]","[100, 100]","[3, 0.004745848892981557]","[1, 0.00931243059166367]","[5, 7.234933668967727e-07]","[1, 1.0]","[4, 0.08280540223794695]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.10166389920509167]","[2, 0.8119837161702059]","[1, 1.0]"
