,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:other,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[4, 0.6139461603300056]","[5, 0.054635522754786954]","[1, 0.00017295592502970775]","[4, 0.13277843153748348]","[4, 0.04054138589818375]","[2, 0.06410046454361486]","[4, 0.1927079491686055]","[1, 0.027714087872766864]","[2, 0.0015143196701928835]","[2, 0.0006355894377721514]","[5, 0.14009384938705058]","[3, 0.146942118991243]","[1, 0.2725544157286629]","[5, 0.007535247108503041]","[4, 0.03749741516038039]","[4, 0.052118846131395384]","[4, 0.08127511454271268]","[5, 0.023681129780252656]","[2, 0.033744815063665695]","[2, 0.011073497376375686]","[1, 0.0017536402121434477]","[100, 100]","[4, 0.014644265165046787]","[4, 0.21904933868290796]","[1, 0.3895545370252259]","[3, 0.034617330226931066]","[3, 0.4183898965035229]","[100, 100]","[4, 0.24531578459314377]","[1, 0.3380571122815772]","[2, 0.05375837736330859]","[1, 0.06781880954965436]","[5, 0.673557059523129]","[3, 0.04811097239903293]","[4, 0.9366226926713419]","[4, 2.212974540836906e-05]","[2, 0.00023231472634280178]","[1, 0.07939663854044074]","[2, 0.6725411960136012]","[5, 0.08140352232123925]","[3, 0.0010665332447967987]","[5, 0.0652744737380732]"
Child gaze:robot,"[4, 8.706796841934294e-05]","[0, 1]","[5, 4.752517825301771e-12]","[2, 0.001855220987549139]","[3, 0.7163103409124632]","[1, 0.8324608267428111]","[3, 0.02476048340950008]","[4, 0.004001395465706595]","[4, 0.26435808292875984]","[2, 0.21475381681720834]","[5, 0.11167334338329175]","[5, 0.0001238976462942699]","[3, 0.03317014093720633]","[1, 0.04740021241976102]","[1, 0.20347607724513847]","[4, 0.0003560421955869966]","[5, 0.011795592480121447]","[4, 0.6362487187200209]","[5, 0.010662969637871446]","[4, 0.15544740278763466]","[1, 0.23863807438163015]","[1, 0.9956925264466228]","[100, 100]","[1, 0.004859841768889241]","[4, 0.0006950605691863226]","[5, 0.0006203829369943128]","[4, 0.008845948163783798]","[3, 0.41992652499858696]","[100, 100]","[2, 0.8788186830675325]","[3, 0.0756538532128135]","[1, 0.05100920136535549]","[2, 0.27111358181099937]","[1, 0.23637327824771054]","[5, 0.4257974412017833]","[5, 0.006433405003163563]","[2, 0.003194723102153854]","[3, 0.01424389311684899]","[2, 0.009290915091275066]","[3, 0.010608284506456022]","[5, 0.3147136772857153]","[5, 0.002154257586429013]","[3, 0.00010568753823024263]"
Child gaze:parent,"[5, 8.789199653939932e-11]","[5, 0.00018837864300362702]","[0, 1]","[2, 1.6038339060323574e-15]","[1, 0.706817012112667]","[1, 0.3563067076015891]","[5, 0.0043330349551318325]","[4, 0.00810692365572006]","[1, 0.7251582331184641]","[1, 0.00015992598006656962]","[1, 0.485861462817482]","[5, 0.9998235765540783]","[4, 0.021722219311779655]","[5, 0.32050315287258396]","[3, 0.3304041328526466]","[5, 0.014269328272005825]","[5, 0.00021068567349271346]","[4, 0.1692073449209955]","[5, 1.1614388592991908e-10]","[5, 0.0023359650708111744]","[1, 0.38539818562272576]","[5, 0.9936368386882707]","[100, 100]","[5, 0.01623262953922968]","[1, 0.010101543114059313]","[2, 0.0059404646509501205]","[4, 0.03942131054968642]","[5, 0.3968989606774549]","[100, 100]","[1, 0.7251582331184641]","[5, 0.01126417414962513]","[5, 0.006796037714848665]","[5, 0.18205223278459973]","[2, 0.5055156338276322]","[5, 0.33586724132387846]","[4, 0.8551760360049024]","[5, 0.006991022893375573]","[5, 1.0990708409748793e-05]","[3, 0.20605012457597824]","[5, 0.0018198152687650558]","[5, 0.006979360207289351]","[5, 5.038952698396661e-07]","[3, 0.028738171439680806]"
Child gaze:props,"[1, 0.10048992022367097]","[2, 2.686334865678273e-10]","[2, 2.940710315545419e-14]","[0, 1]","[1, 0.9997903007861645]","[2, 0.8755131746682216]","[1, 0.01078378108645885]","[3, 0.013825704126351358]","[5, 0.10716350485244126]","[2, 0.0031637888165733517]","[1, 0.13691990705515583]","[1, 0.11494389511619671]","[2, 0.1571788846703639]","[5, 0.21112572895470538]","[1, 0.8700009678493317]","[3, 0.072428089227883]","[1, 0.36978893497233845]","[1, 0.0030302473289655955]","[2, 2.7952565927079487e-05]","[1, 0.08624502482453697]","[2, 0.07549795298307146]","[1, 0.9994447742875889]","[100, 100]","[5, 0.007101055336483215]","[3, 0.4585500404454974]","[1, 4.138894598420055e-05]","[5, 0.00488898341791907]","[3, 0.5538631526997937]","[100, 100]","[5, 0.9999999999999584]","[3, 0.12654247696450424]","[1, 0.15429035136207064]","[2, 0.0992677916430986]","[2, 0.763286666845047]","[3, 0.7656708963083506]","[1, 0.41930202887982426]","[3, 0.0013404914389302676]","[1, 0.004183500322392037]","[1, 0.8240205097319093]","[3, 0.014621816051586436]","[2, 0.00031464890209584404]","[2, 0.0018215744006580307]","[2, 0.009488159704533185]"
Child affect:positive 3,"[5, 0.00015799367823496165]","[1, 0.2728003120056177]","[5, 0.8491629566199416]","[1, 0.998636559728044]","[0, 1]","[1, 7.330602262938812e-25]","[4, 0.9995321265539694]","[2, 0.999988691177996]","[1, 1.0]","[4, 0.9999081857175733]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 2.2095224846595587e-05]","[4, 0.0006548056049224627]","[3, 0.9999999947097179]","[3, 1.391692208466635e-09]","[2, 0.27539202462169243]","[2, 1.6837021809200815e-21]","[100, 100]","[1, 1.0]","[1, 0.014804100911326895]","[1, 0.9965134383289509]","[1, 1.0]","[1, 0.041759614919363114]","[100, 100]","[5, 1.4472546838305511e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9999999904812712]","[5, 0.6777736391526187]","[1, 0.996513438322277]","[1, 0.9962096639876634]","[3, 0.0008951365667980078]","[5, 0.9999999999999868]","[3, 0.5880143917634226]"
Child affect:positive 2,"[4, 0.6652357077072195]","[3, 0.7335291619228061]","[3, 0.48403005478825023]","[4, 0.8405246764568038]","[3, 0.00027296269103024]","[0, 1]","[1, 3.8596164369283305e-06]","[3, 0.9996609180236936]","[1, 1.0]","[1, 0.46664940746433614]","[1, 0.25630784690827424]","[1, 1.0]","[1, 1.0]","[5, 0.3684865558309527]","[1, 0.013803064862365258]","[1, 1.0]","[5, 0.5157255985435794]","[4, 0.31628816182139613]","[3, 0.7861377911204338]","[2, 8.694830491564172e-05]","[1, 0.28837303807278436]","[1, 5.556644248290335e-10]","[100, 100]","[1, 0.002496908915141551]","[1, 0.1048526667093558]","[1, 1.0]","[1, 1.0]","[4, 0.8082769983440705]","[100, 100]","[4, 0.0009271388762702787]","[1, 1.0]","[3, 0.34796925902473447]","[4, 0.5518483210090542]","[5, 0.29955691909243853]","[1, 1.0]","[4, 0.619035566917381]","[4, 0.8247706395370374]","[5, 0.5572483021611191]","[1, 1.0]","[1, 1.0]","[2, 0.2663575303776949]","[3, 0.999947807515235]","[3, 0.626835070531764]"
Child affect:positive 1,"[1, 0.018567560806124078]","[4, 0.3580401827331996]","[5, 0.007829051527026785]","[4, 0.0045031405479596665]","[2, 0.22710812944732012]","[3, 0.13121195980852884]","[0, 1]","[4, 1.2342124793453897e-07]","[3, 0.013992786915497636]","[2, 0.5390035091116324]","[1, 0.3898501021958374]","[1, 1.0]","[1, 1.0]","[5, 0.6610007899958202]","[4, 0.007797747363701039]","[4, 0.0835735172523853]","[1, 0.5644905426564275]","[2, 0.00041050238415477384]","[4, 0.0006165832434658498]","[5, 0.036597269456656714]","[4, 0.5134730433810019]","[1, 1.0]","[100, 100]","[4, 0.0007201097768532014]","[5, 0.025182412631500267]","[2, 0.1889632620788064]","[4, 0.0021446751524421743]","[4, 0.9922462103735654]","[100, 100]","[1, 1.0]","[1, 0.18976991202483834]","[1, 0.052152580184641216]","[2, 0.9956085318810538]","[1, 1.0]","[1, 1.0]","[3, 0.10832183395500954]","[5, 0.08244911887161878]","[2, 0.004975956263214186]","[5, 0.7297068382276986]","[3, 0.010751621384236644]","[1, 0.2635265707573879]","[4, 0.00011895467157324317]","[5, 0.022085259034437917]"
Child gesture:point at prop,"[3, 0.032902862296487485]","[4, 0.01630534160377737]","[1, 0.0058691519380947785]","[4, 0.0020274892959878115]","[4, 0.9999999999999399]","[2, 0.2219649922539875]","[1, 0.008430046878470245]","[0, 1]","[1, 1.0]","[3, 0.670874037882915]","[1, 0.18910829686453096]","[1, 1.0]","[5, 0.9550892539450139]","[1, 1.0]","[5, 0.00014217994712276255]","[5, 0.0006669532609232935]","[1, 0.007912990605738598]","[3, 0.1681664623093335]","[1, 0.22721229923685496]","[3, 0.10957958558482327]","[4, 0.04687738699070805]","[4, 0.9999999999970194]","[100, 100]","[5, 8.341662246718124e-06]","[4, 0.9999999999999989]","[1, 0.04698938584492028]","[5, 1.4232578260840294e-07]","[5, 0.06992596461558373]","[100, 100]","[5, 0.9999999999999766]","[5, 0.7269107407335895]","[5, 9.346986904177452e-08]","[5, 0.9993666548127085]","[1, 1.0]","[5, 0.9550892604025729]","[1, 1.0]","[1, 0.15657790909433505]","[5, 0.02247754021299977]","[5, 0.001499531306311433]","[5, 0.6563813979006631]","[2, 0.041253661025891224]","[5, 0.010980064649618575]","[4, 0.006115041842870592]"
Child affective touch:affective touch,"[1, 0.027801475470676042]","[1, 0.04031718816234025]","[1, 1.0]","[1, 0.00019488093955209336]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[0, 1]","[2, 0.011192585160981842]","[5, 0.0004281193653002315]","[1, 1.0]","[1, 1.0]","[3, 2.4818968193295203e-08]","[5, 5.767454690329686e-18]","[1, 1.0]","[2, 0.09563199614299128]","[1, 0.03046380272268891]","[3, 0.002562122049038692]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.00025224902332732826]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.8067530976669476e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.08070792905235852]","[1, 0.011873438666086462]","[1, 1.0]"
Parent utterance:utterance,"[3, 0.0032499676728832633]","[1, 0.2829388621678468]","[1, 0.00012610511799124354]","[1, 0.00012882873539185778]","[1, 0.270544255433447]","[3, 0.08944526406443307]","[2, 0.8496803696727916]","[5, 0.1129471371512442]","[2, 0.023690986435346086]","[0, 1]","[4, 0.02963278046118122]","[2, 0.29143755685871275]","[4, 0.08643644916247747]","[2, 0.0034108532900184343]","[5, 0.00010441873684593238]","[1, 0.14469465234643714]","[2, 0.05060568325109137]","[5, 0.020138859668425782]","[2, 0.05072276827825295]","[4, 0.9058928847482086]","[5, 0.3995386742286693]","[2, 0.9999979860819316]","[100, 100]","[1, 0.0033532063492713515]","[2, 0.3370775616200398]","[2, 0.3808278859624484]","[4, 0.9974003344511011]","[1, 0.5148446228189185]","[100, 100]","[5, 0.9999999999998563]","[5, 0.9157829337801218]","[1, 0.014353243089930514]","[2, 0.7876415128462625]","[3, 0.8168912129948804]","[2, 0.08480789191679401]","[2, 0.1787216626289577]","[5, 0.00850098786051824]","[4, 6.651412701799538e-08]","[4, 0.025724111828671854]","[3, 0.2186125447635072]","[2, 0.3631573378637604]","[1, 0.002236958340253406]","[5, 4.957519176720523e-07]"
