,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,47.6
1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,47.800000000000004
2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.00000000000001
3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.20000000000001
4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.40000000000001
5,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.600000000000016
6,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.80000000000002
7,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.00000000000002
8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.200000000000024
9,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.40000000000003
10,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.60000000000003
11,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.80000000000003
12,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,50.000000000000036
13,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,50.20000000000004
14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,50.40000000000004
15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,50.600000000000044
16,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,50.80000000000005
17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,51.00000000000005
18,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,51.20000000000005
19,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,51.400000000000055
20,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,51.60000000000006
21,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,51.80000000000006
22,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.000000000000064
23,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.20000000000007
24,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.40000000000007
25,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.60000000000007
26,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.800000000000075
27,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,53.00000000000008
28,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,53.20000000000008
29,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,53.400000000000084
30,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,53.60000000000009
31,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,53.80000000000009
32,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.00000000000009
33,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.200000000000095
34,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.4000000000001
35,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.6000000000001
36,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.800000000000104
37,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.00000000000011
38,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.20000000000011
39,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.40000000000011
40,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.600000000000115
41,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.80000000000012
