,Child utterance:utterance,Child gaze:parent,Child gaze:tablet,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:tablet,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.04451448613773775]","[3, 0.10178932875177794]","[3, 0.0002605584778415225]","[2, 0.11911275863945663]","[5, 0.0006680666178605601]","[2, 0.00032449176772011247]","[4, 0.0028383190771900718]","[1, 0.03913394416106963]","[1, 0.3798675183959428]","[100, 100]","[2, 0.7790946147905704]","[2, 0.3666343495210507]","[1, 0.3798675183959428]","[100, 100]","[100, 100]","[1, 0.40033616647270953]","[2, 6.256779168205541e-05]","[100, 100]","[1, 0.9969225135210782]","[2, 0.000532803477272498]","[5, 0.16241772283072203]","[2, 0.15247235155561636]","[1, 0.008936844657538473]","[5, 0.07879845095951828]","[5, 0.0001266398574272672]","[5, 0.9936651923317824]","[5, 0.11164304435066673]","[1, 0.18114612803222407]","[1, 0.15749040825245147]"
Child gaze:parent,"[5, 7.698066367527427e-10]","[100, 100]","[4, 3.578609531252399e-37]","[4, 0.022788728308675364]","[1, 1.0]","[5, 0.0031595713877309614]","[5, 0.35373586537114576]","[5, 0.16964477840292932]","[3, 0.9969174576541802]","[2, 0.004690465084184557]","[100, 100]","[5, 0.5732460094660137]","[5, 0.08307234194919075]","[2, 0.004690465084184557]","[100, 100]","[100, 100]","[5, 0.90650171979277]","[3, 0.10004581170945466]","[100, 100]","[3, 0.9999999999080853]","[1, 0.23522729214916946]","[3, 0.07033634435549792]","[1, 0.235535973122475]","[4, 0.5610194788511824]","[1, 0.060352796383046116]","[3, 0.00273010261827914]","[1, 0.1706647410305682]","[3, 0.01939831914071696]","[5, 0.05652801073424549]","[5, 0.017340555000076457]"
Child gaze:tablet,"[4, 5.828818126805992e-13]","[4, 8.243043257818067e-34]","[100, 100]","[4, 0.1028665318886349]","[1, 1.0]","[5, 0.04408950255491914]","[3, 0.026142380737877054]","[3, 0.03258773619181366]","[3, 0.9973175359176744]","[2, 0.22062468755844755]","[100, 100]","[5, 0.010812970498856609]","[2, 0.13675901878746938]","[2, 0.22062468755844755]","[100, 100]","[100, 100]","[5, 0.9199802236923376]","[4, 0.08821071105924076]","[100, 100]","[3, 0.9999999999072012]","[1, 0.23522729214916946]","[1, 0.002109963418857243]","[1, 0.235535973122475]","[4, 0.5636695792079621]","[3, 0.07573514631524647]","[4, 0.0005286962873067697]","[4, 0.7439361953106252]","[4, 1.6157176790271968e-09]","[3, 0.12914557411365057]","[4, 2.1744015102270197e-22]"
Child affect:positive 1,"[4, 7.19377723240125e-05]","[3, 2.0179971036831997e-09]","[3, 1.471365971041859e-07]","[100, 100]","[1, 0.9998887205468769]","[5, 0.0025587851556310463]","[1, 0.4702705936556343]","[1, 0.30992151316074057]","[1, 1.0]","[5, 0.25027667358469585]","[100, 100]","[5, 0.005404714432696893]","[5, 0.07304225624633286]","[5, 0.25027667358469585]","[100, 100]","[100, 100]","[5, 0.8655448589797556]","[3, 0.5846388630755008]","[100, 100]","[1, 0.9949064857916899]","[1, 0.9999504519549284]","[5, 0.16783219782419206]","[2, 0.3127482143623953]","[5, 0.9999873183863301]","[4, 0.11009490760412925]","[5, 0.31083944979574973]","[5, 0.6825034576562098]","[4, 0.0058428320755017134]","[5, 0.00876137620099782]","[3, 1.1781188397833613e-07]"
Child affect:positive 2,"[2, 0.11936971487717844]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.055487421919880035]","[5, 0.0019453749812833594]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.037815152263466635]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[5, 0.004907888640918444]","[2, 0.19905429510543482]","[3, 0.0002648887252179161]","[1, 0.24748492158937901]","[1, 0.005572303135364984]","[100, 100]","[4, 0.04145726046550072]","[4, 0.05146864012402489]","[2, 0.021531613702882445]","[1, 0.0003759798385104233]","[100, 100]","[1, 0.32858938426270506]","[2, 0.6472180573675159]","[1, 0.0003759798385104233]","[100, 100]","[100, 100]","[1, 4.669442418591377e-06]","[5, 0.009025260972925216]","[100, 100]","[1, 0.9958710528797534]","[5, 0.00719411001584468]","[4, 0.02756253740789523]","[4, 0.547176570071748]","[2, 0.0019493189916388342]","[5, 0.040688624672621826]","[5, 0.6352957459224204]","[5, 0.24050611309975234]","[5, 0.7972287641984764]","[5, 0.4554116720989758]","[2, 0.16316406582593335]"
Parent utterance:utterance,"[1, 0.005043442761833245]","[4, 0.0013132992460759174]","[5, 0.010705577775970686]","[1, 0.4501001250444906]","[1, 0.0825182229895995]","[3, 0.0402980434174055]","[100, 100]","[4, 0.9655816157245548]","[3, 0.604137131260251]","[1, 0.4799328984106628]","[100, 100]","[1, 0.0825498778279034]","[2, 0.19416221681989546]","[1, 0.4799328984106628]","[100, 100]","[100, 100]","[5, 0.06100010945434663]","[3, 0.3464359328687928]","[100, 100]","[1, 0.9972916728730239]","[4, 0.15527603094634193]","[2, 0.14568621205623658]","[1, 0.11229913523857156]","[1, 0.9606615709185088]","[4, 0.21041628074605637]","[3, 0.17938619402572217]","[1, 0.183300711413355]","[1, 0.06338058010370148]","[2, 0.2126077163272593]","[3, 0.002497481071466713]"
Verbal scaffolding:cognitive,"[5, 0.04367972982073644]","[4, 0.05954379795675437]","[5, 0.0678933815395462]","[1, 0.30946242703383575]","[1, 0.014481377045278158]","[1, 0.09124868639057394]","[5, 0.2425102902635135]","[100, 100]","[1, 1.0]","[1, 0.32001959457399975]","[100, 100]","[2, 0.04993069986713771]","[1, 0.11411915311083085]","[1, 0.32001959457399975]","[100, 100]","[100, 100]","[1, 0.3193055656662007]","[1, 0.34109418605128394]","[100, 100]","[1, 0.9961930371892289]","[2, 0.2854867708408413]","[2, 0.018485148776871938]","[1, 0.2752554073755656]","[4, 0.999500895041675]","[5, 0.12559155526459848]","[4, 0.01780662468155637]","[1, 0.341841762816574]","[1, 0.008923715213723291]","[1, 0.12133866277190439]","[3, 0.23731837981590378]"
Verbal scaffolding:affective,"[4, 0.9908704429888954]","[1, 0.007826077309910766]","[5, 0.01378225017835846]","[1, 1.0]","[1, 1.0]","[4, 0.9724163552672874]","[4, 0.9947948877276499]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[5, 6.449399223877592e-07]","[5, 0.0038912074396337815]","[1, 1.0]","[100, 100]","[100, 100]","[5, 4.4561072049717176e-10]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 6.511200985214847e-14]","[4, 0.7681563544429236]","[4, 0.6653625592629998]","[4, 0.7754589895042927]","[4, 0.8763774721273914]","[1, 1.0]","[5, 8.836864975825865e-06]","[1, 0.00491320833611495]"
Non-verbal scaffolding:cognitive,"[1, 0.3798675184479605]","[5, 0.22276962338629439]","[4, 0.2025763758628212]","[1, 0.14586798451277258]","[1, 1.0]","[5, 0.004678240630478071]","[3, 0.38629166007764104]","[1, 0.29847525355498405]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.00797338090614135]","[1, 0.018120476701376027]","[100, 100]","[100, 100]","[100, 100]","[4, 0.9992758895390327]","[3, 0.5668226178078684]","[100, 100]","[1, 1.0]","[3, 0.48745936592660866]","[1, 0.04388875323728554]","[1, 1.0]","[5, 0.06421172760513605]","[5, 0.20394147403149895]","[1, 0.2759974662178002]","[3, 0.3530102727888229]","[1, 1.0]","[3, 0.054345405906703795]","[5, 0.15513311861254428]"
