,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[5, 0.13415158611785402]","[2, 0.07052131419256304]","[1, 0.017349985004534642]","[5, 0.14537231238080298]","[1, 0.09093239042290883]","[4, 0.1746856066553625]","[3, 0.0008176029163200044]","[3, 0.010828474345247948]","[2, 0.10112906259879195]","[5, 0.01271933553348358]","[5, 0.48019082106024247]","[1, 1.0]","[1, 0.05532852884486469]","[1, 0.39137692056816364]","[4, 0.3662782222564175]","[5, 0.1983634744774224]","[5, 0.12472685645479031]","[2, 0.5910913239481754]","[4, 0.2157429186006153]","[100, 100]","[4, 0.3775000395320632]","[4, 0.08304539632147179]","[5, 0.724971680595186]","[3, 0.2495555055296939]","[1, 0.1881361194460456]","[2, 0.32681348894267664]","[5, 0.006235061107057992]","[4, 0.0013893313777006073]","[2, 3.707106034130627e-05]","[4, 0.42728027165817506]","[1, 0.22832240437043982]","[1, 0.6247825957243782]","[1, 0.4801626757458579]"
Child gaze:tablet,"[4, 0.49147885406388203]","[0, 1]","[5, 2.128440297046493e-43]","[2, 0.3563157140436785]","[5, 0.041570882802515315]","[1, 1.0]","[1, 0.22290990108847936]","[1, 0.912336445105855]","[3, 0.05735254703638984]","[1, 1.0]","[1, 1.0]","[5, 0.7357937173232652]","[1, 1.0]","[3, 0.2963916019211835]","[2, 0.01845875125984534]","[1, 7.257547557602431e-14]","[1, 0.00019494174399395758]","[5, 0.8820045866008868]","[1, 1.0]","[4, 0.7903716002361731]","[100, 100]","[3, 0.6049901169681322]","[4, 0.6449488568637334]","[1, 0.12284894107737508]","[1, 1.0]","[1, 1.0]","[3, 0.47949498848446304]","[3, 0.028069062818267956]","[4, 0.2688693414121047]","[4, 0.513019535015028]","[2, 0.09012869554147776]","[5, 0.2525338752722966]","[4, 0.29270882832200895]","[4, 1.7252540075427493e-14]"
Child gaze:parent,"[5, 0.0513589162540902]","[4, 5.548399676604693e-17]","[0, 1]","[1, 1.0]","[4, 0.04238127657502913]","[1, 1.0]","[5, 0.9826049420236829]","[3, 0.01976082330160985]","[5, 0.7552687579398919]","[1, 1.0]","[1, 1.0]","[4, 0.18881643998837663]","[1, 1.0]","[2, 0.2150881523504925]","[3, 0.04235767609200728]","[2, 0.0005936412785089597]","[1, 1.0]","[4, 0.41992065502207476]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.9998220802457236]","[1, 1.0]","[5, 0.6346855957097107]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.13190983348442825]","[1, 0.10816515478491558]","[5, 0.017670150377928764]","[5, 0.0013838342417850826]","[1, 6.867930418705223e-05]","[3, 2.831358562568922e-05]"
Child affect:positive 1,"[2, 0.2751002139006476]","[1, 0.12337455989967651]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[2, 0.16877681550490892]","[5, 0.391054584727723]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5722776747457647]","[1, 1.0]","[4, 0.4469578378920266]","[1, 0.5245091054053257]","[2, 0.16896595947602955]","[2, 0.36209579294123545]","[4, 0.5125682663602715]","[4, 0.023279863740804273]","[1, 0.05130405500752522]","[100, 100]","[1, 1.0]","[2, 0.9982257683560486]","[4, 0.6787771226924739]","[1, 1.0]","[4, 5.779707430737212e-06]","[3, 0.00014957043152514889]","[4, 0.5388367487975367]","[1, 0.13197854272270562]","[3, 0.7642133457185203]","[1, 0.09117324361918919]","[2, 0.4923611861814746]","[1, 0.1898693376931853]","[1, 1.0]"
Child affect:positive 2,"[2, 0.21452832087378704]","[1, 0.0666726435692934]","[1, 0.0006764053712518516]","[1, 1.0]","[0, 1]","[3, 1.637735826756856e-05]","[2, 0.9938401243872081]","[2, 0.6868282723012171]","[4, 0.45441760765707506]","[1, 1.0]","[1, 1.0]","[1, 0.12284894107737508]","[1, 1.0]","[2, 0.08458874535807562]","[4, 0.1134529845175622]","[5, 0.9999999864708036]","[1, 0.00019494174399394814]","[1, 0.22290990108847936]","[1, 1.0]","[3, 0.6596616391589696]","[100, 100]","[5, 0.0001060559664115957]","[3, 0.4937309000346862]","[3, 0.48093427925781707]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.11604343766663285]","[4, 0.320877825521154]","[5, 0.11375330853505827]","[2, 0.29875472556966504]","[4, 0.1598785543227039]","[1, 0.011996378827428003]"
Child affect:positive 3,"[3, 0.13138545928782855]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0779277646324017]","[0, 1]","[1, 1.0]","[4, 0.9182474086930392]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.864028452987043]","[4, 0.8115864866576047]","[1, 1.0]","[5, 3.324801854627151e-05]","[1, 1.0]","[1, 1.0]","[4, 0.509039614334684]","[100, 100]","[1, 1.0]","[4, 0.29896550540405364]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7317948055302895]","[2, 0.03851556192991503]","[1, 1.0]","[4, 0.00064662683611184]","[4, 0.8087001516460444]","[1, 1.0]"
Child gesture:point at prop,"[1, 0.008875378038732274]","[2, 0.9882993749728788]","[2, 0.9722279290787765]","[2, 0.01051558591944658]","[1, 0.22452769585258112]","[1, 1.0]","[0, 1]","[2, 0.008154572913578809]","[5, 0.13152525075026025]","[2, 0.02945180736910815]","[4, 4.801676023274405e-10]","[1, 0.3466779204036533]","[1, 1.0]","[2, 0.11867540565488686]","[1, 0.3129896025833111]","[2, 0.9825984065887144]","[5, 0.8537169080233832]","[1, 0.45716057560266155]","[1, 5.119802488740663e-05]","[2, 0.4499538251256725]","[100, 100]","[1, 1.0]","[2, 0.1714219131348719]","[3, 0.8903483900099849]","[5, 0.9972140117142885]","[1, 1.0]","[4, 0.03215301522234448]","[1, 0.18323860054454055]","[4, 0.023306490591955144]","[3, 0.2083975540619977]","[4, 0.46250651547538246]","[1, 0.05862193119463013]","[1, 0.29862912805034636]","[2, 0.9843272012922333]"
Parent utterance:utterance,"[1, 0.015948129329815645]","[1, 0.010852238475862181]","[5, 0.3141866838721171]","[2, 0.034192519531052706]","[4, 0.3385423608575478]","[3, 0.41867392719921315]","[3, 0.04651535020211427]","[0, 1]","[1, 0.19675990422345715]","[5, 0.633844461657759]","[4, 0.40425911114978874]","[3, 0.07369170271932901]","[5, 0.20340442227111263]","[2, 0.10305076056719598]","[1, 0.1204080810084205]","[5, 0.4109037115167935]","[2, 0.49367704269093937]","[3, 0.08246504088097921]","[1, 0.1162992780812294]","[3, 0.5323865201677864]","[100, 100]","[2, 0.23513063743796084]","[5, 0.054424224082683346]","[5, 0.005480639076553159]","[3, 0.45484287608689933]","[3, 0.4548428760868851]","[4, 0.5599707498717026]","[3, 0.3209110806168709]","[2, 0.017465591123652605]","[5, 0.025346387215766153]","[5, 0.16692968038352599]","[5, 0.48308195209129967]","[5, 0.422387004592666]","[2, 0.053703911485005223]"
Verbal scaffolding:cognitive,"[2, 0.07383969336016379]","[3, 0.028863981662516996]","[5, 0.0002659901615514685]","[1, 1.0]","[3, 0.3051642281214992]","[1, 1.0]","[5, 0.0662610742810775]","[1, 0.16883533534586206]","[0, 1]","[1, 1.0]","[2, 0.7682223923721537]","[4, 0.14808951303977763]","[1, 1.0]","[3, 0.18262434857598456]","[1, 0.14111029007093942]","[3, 0.007327538549186124]","[5, 0.9990968895770379]","[4, 0.35604130859661653]","[5, 0.49861415823831456]","[2, 0.03266587488286351]","[100, 100]","[1, 1.0]","[1, 0.15366242367848434]","[4, 0.12136300103778444]","[1, 1.0]","[1, 1.0]","[5, 0.9996066619557874]","[1, 0.04324641316902818]","[4, 0.14979101292763458]","[1, 0.0833059952648012]","[1, 0.8852002798376735]","[5, 0.9999208925429356]","[3, 0.047354223251809546]","[3, 0.16319422151782806]"
Verbal scaffolding:technical,"[5, 0.0549059389677577]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0003146936099095126]","[2, 0.2635669156184552]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0007264263613681597]","[4, 0.11865502794664508]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 7.2421529391426e-05]","[5, 9.652090350274448e-14]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.004322683763023341]","[5, 0.03671935135702821]","[1, 1.0]","[4, 0.005990864047494287]","[1, 1.0]","[1, 1.0]"
