,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.48
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.98
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.48
3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,14.98
4,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.48
5,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.98
6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16.48
7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16.98
8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.48
9,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.98
10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.48
11,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,18.98
12,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.48
13,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,19.98
14,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,20.48
15,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,20.98
16,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,21.48
17,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,21.98
18,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,22.48
19,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,22.98
20,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.48
21,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,23.98
22,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,24.48
23,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,24.98
24,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,25.48
25,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.98
26,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,26.48
27,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,26.98
28,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,27.48
29,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,27.98
