,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.4
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.6
2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.79999999999998
3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.99999999999997
4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.19999999999996
5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.39999999999995
6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.59999999999994
7,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.79999999999993
8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.99999999999991
9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,158.1999999999999
10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,158.3999999999999
11,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,158.59999999999988
12,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,158.79999999999987
13,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,158.99999999999986
14,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.19999999999985
15,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.39999999999984
16,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.59999999999982
17,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.7999999999998
18,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.9999999999998
19,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.1999999999998
20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.39999999999978
21,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.59999999999977
22,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.79999999999976
23,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.99999999999974
24,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,161.19999999999973
25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,161.39999999999972
26,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,161.5999999999997
27,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,161.7999999999997
