,total time,count,normalized total time,normalized count
Child affect,133.86,35,0.44751270393153253,0.11700989569403583
Child gaze,263.64,102,0.8813853971650173,0.34100026745119016
Child gesture,54.2,17,0.18119818133190693,0.05683337790853169
Child prop manipulation,83.7,19,0.27982080770259427,0.0635196576624766
Child utterance,26.68,28,0.08919497191762503,0.09360791655522867
Conversational turns,573.1599999999996,96,1.9161540518855296,0.32094142818935545
Joint attention,114.76000000000006,86,0.3836587322813588,0.2875100294196309
Mutual gaze,5.800000000000054,7,0.019390211286440404,0.023401979138807167
Non-verbal scaffolding,45.86,28,0.15331639475795666,0.09360791655522867
Parent affect,89.52,24,0.29927788178657394,0.08023535704733886
Parent affective touch,14.56,7,0.04867611660871891,0.023401979138807167
Parent gaze,270.24,145,0.9034501203530356,0.4847552821610056
Parent gesture,30.46,22,0.1018320406525809,0.07354907729339395
Parent prop manipulation,2.24,2,0.007488633324418294,0.006686279753944905
Parent utterance,107.84,79,0.36052420433270926,0.26410805028082374
Verbal scaffolding,46.12,33,0.1541856111259695,0.11032361594009094
robot pointing,46.333,19,0.15489769991976463,0.0635196576624766
robot text,173.002,52,0.5783698849959883,0.17384327360256752
CP,98.23999999999981,23,0.3284300615137731,0.0768922171703664
CPC,103.39999999999998,12,0.3456806632789515,0.04011767852366943
MG,5.800000000000054,7,0.019390211286440404,0.023401979138807167
PC,128.86,31,0.43079700454667025,0.10363733618614603
PCP,242.65999999999985,30,0.8112463225461348,0.10029419630917358
affective,24.24,13,0.08103771061781224,0.04346081840064188
affective touch,14.56,7,0.04867611660871891,0.023401979138807167
child,174.3,63,0.5827092805562986,0.2106178122492645
cognitive,57.26,38,0.19142818935544262,0.1270393153249532
correction,2.734,1,0.009140144423642685,0.0033431398769724523
missing data,2.56,1,0.008558438085049478,0.0033431398769724523
other,63.333999999999996,21,0.2117344209681733,0.0702059374164215
parent,15.08,11,0.05041454934474458,0.036774538646696976
pick up,24.867,9,0.08313385932067398,0.030088258892752073
point at prop,80.393,43,0.26876504412944635,0.14375501470981544
positive 1,107.64,28,0.3598555763573148,0.09360791655522867
positive 2,87.26,22,0.2917223856646162,0.07354907729339395
positive 3,28.48,9,0.09521262369617545,0.030088258892752073
positive feedback,28.535,9,0.09539649638940893,0.030088258892752073
props,207.28000000000003,140,0.69296603369885,0.4680395827761433
put down,19.467,7,0.06508090398502273,0.023401979138807167
robot,337.92,140,1.1297138272265312,0.4680395827761433
song,42.133,1,0.14085651243648034,0.0033431398769724523
teach,33.599000000000004,14,0.11232615672639744,0.046803958277614334
technical,10.48,10,0.0350361059106713,0.03343139876972453
try again,8.933,5,0.029864268520994917,0.016715699384862264
utterance,131.96,106,0.44116073816528484,0.35437282695907996
Child affect:positive 1,62.36,17,0.20847820272800213,0.05683337790853169
Child affect:positive 2,50.06,12,0.16735758224124098,0.04011767852366943
Child affect:positive 3,21.44,6,0.07167691896228938,0.020058839261834716
Child gaze:parent,12.84,9,0.04292591602032629,0.030088258892752073
Child gaze:props,79.56,43,0.26598020861192834,0.14375501470981544
Child gaze:robot,171.24,50,0.5724792725327628,0.16715699384862262
