,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85.48
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,85.98
2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,86.48
3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,86.98
4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,87.48
5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,87.98
6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,88.48
7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,88.98
8,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,89.48
9,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,89.98
10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90.48
11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90.98
12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,91.48
13,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,91.98
14,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,92.48
15,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,92.98
16,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,93.48
17,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,93.98
18,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,94.48
19,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,94.98
20,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,95.48
21,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,95.98
22,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,96.48
23,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,96.98
24,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,97.48
25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,97.98
26,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,98.48
