,Child utterance:other vocalization,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:missing data,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:missing data,Parent gesture:other,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Joint attention:robot,Joint attention:missing data,Joint attention:props,Mutual gaze:MG
Child utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child utterance:utterance,"[100, 100]","[100, 100]","[2, 0.007874915388029901]","[1, 0.13075339613434853]","[2, 0.40107305419752676]","[1, 1.0]","[1, 1.0]","[2, 0.09133160114878669]","[5, 0.5612886127878036]","[4, 0.08453246275174439]","[1, 1.0]","[1, 0.026731865788818795]","[1, 1.0]","[1, 1.0]","[5, 0.45772215683376904]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.12335532342274935]","[1, 1.0]","[100, 100]","[5, 0.7190549161491342]","[5, 0.12392230956812443]","[5, 0.023560474697552285]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.3218980959216369]","[5, 3.6607378508581266e-07]","[2, 0.007899869087025195]","[1, 1.0]","[1, 1.0]","[5, 0.026030861276106185]","[5, 0.000756320904161456]","[5, 0.4017591974487366]","[1, 1.0]","[1, 1.0]","[2, 0.3906360376768774]","[1, 1.0]"
Child gaze:robot,"[100, 100]","[4, 0.11743265528567065]","[100, 100]","[2, 0.009455993806446203]","[5, 3.009075924772408e-10]","[2, 0.017645818236554617]","[4, 0.9934330886226554]","[1, 0.016920881967539634]","[3, 0.23855440999505229]","[1, 0.44161135284905984]","[1, 0.22317899265941174]","[1, 0.10033312141028311]","[1, 0.03373728747350333]","[1, 0.2761727163522245]","[1, 0.028739300212754264]","[2, 0.9999999999999734]","[2, 0.30495581886895623]","[2, 0.43278900865243686]","[1, 0.8989024461122914]","[3, 0.16833284888257913]","[100, 100]","[1, 0.6088154092520355]","[5, 0.12543938293332624]","[100, 100]","[4, 0.9998785541473763]","[2, 0.43854499770290556]","[1, 0.05857239737772258]","[1, 0.8762606089057785]","[100, 100]","[100, 100]","[1, 0.8762606089057785]","[1, 0.05857239737772119]","[1, 0.34581519725441634]","[2, 0.16110506729920676]","[2, 0.010133601870277556]","[2, 0.534419662750218]","[4, 0.04273276874480228]","[4, 0.3529806025341585]","[4, 0.4058719586659007]","[4, 0.047986826931577034]","[2, 0.11986171222191934]","[2, 1.7308373465192783e-07]","[2, 0.005784804524994118]"
Child gaze:parent,"[100, 100]","[1, 0.13066537608171247]","[4, 0.023781634536370274]","[100, 100]","[2, 3.942753601041362e-06]","[2, 0.9999999999999668]","[1, 0.03208890081955551]","[1, 0.20707000061397177]","[4, 0.08183272136717583]","[3, 0.005036230567007911]","[2, 0.9999999999999668]","[2, 0.08959294957524001]","[2, 0.9999999999999668]","[1, 0.21756760186904403]","[3, 0.9928023199615822]","[4, 0.07719142721430591]","[2, 0.041372470471876505]","[1, 0.44437318287521044]","[2, 0.9999999999999668]","[2, 0.2515978630430351]","[100, 100]","[1, 0.4507112026938396]","[5, 0.7716833884595161]","[100, 100]","[2, 0.3091122793019166]","[5, 0.16044550819602718]","[3, 0.9640634848749143]","[1, 0.13066537608171247]","[100, 100]","[100, 100]","[1, 0.13066537608171247]","[2, 0.08710172397319235]","[5, 0.000869923170082761]","[1, 0.38369787226667884]","[5, 0.2303851253072748]","[1, 0.012050304209449775]","[3, 0.2488555795907988]","[5, 0.09731866750866386]","[2, 0.8861095569567181]","[4, 0.8756665111632476]","[2, 0.9999999999999668]","[2, 0.00036506966231331165]","[2, 0.5097412336720687]"
Child gaze:props,"[100, 100]","[2, 0.41605685883472476]","[3, 3.565457092033762e-05]","[2, 1.315051927876989e-06]","[100, 100]","[1, 0.285049407402613]","[3, 0.3781608369197813]","[2, 0.11826395481626253]","[5, 0.0008835215600184195]","[2, 0.01754254327546743]","[5, 0.8063024676450985]","[1, 0.031126163388988236]","[1, 0.030914143248399577]","[2, 0.13144952530804732]","[2, 0.4500807551084697]","[1, 1.0]","[4, 0.5397369449555942]","[3, 0.13000018615204623]","[1, 0.285049407402613]","[3, 0.14833339407308774]","[100, 100]","[4, 0.7089377940858913]","[1, 0.1901334937352751]","[100, 100]","[5, 0.9999998380868309]","[1, 0.008993115932692742]","[1, 0.771742596932276]","[2, 0.38097697923470375]","[100, 100]","[100, 100]","[2, 0.38097697923470375]","[5, 0.7502087536461206]","[1, 0.06336579683898379]","[2, 0.4047141232576976]","[1, 0.04178799739539973]","[5, 0.9367275627109518]","[3, 0.12183746292608791]","[2, 0.41605685883471455]","[5, 0.28434306154660355]","[1, 0.813010133342189]","[1, 0.285049407402613]","[5, 0.08985823748685186]","[2, 0.027976381581872153]"
Child gaze:missing data,"[100, 100]","[1, 1.0]","[1, 0.028496883385239022]","[1, 1.0]","[1, 0.2910230572597138]","[100, 100]","[1, 1.0]","[4, 0.5457191287996004]","[1, 1.0]","[5, 0.9999656145222401]","[2, 3.824246628097376e-16]","[5, 0.9997914184895044]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0004757365011288862]","[5, 9.330465706747992e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.0007912686290079345]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.4382464983192672]","[2, 0.010760051977720234]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.014192139281616922]","[3, 1.589741437058177e-15]","[1, 1.0]","[1, 1.0]"
Child affect:positive 2,"[100, 100]","[1, 1.0]","[3, 0.03394359537561641]","[4, 0.02005588632681407]","[2, 0.1766091504833485]","[1, 1.0]","[100, 100]","[1, 0.0023133972882010798]","[1, 1.0]","[4, 0.2985058405615587]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 3.0351448525338817e-07]","[1, 1.0]","[1, 1.0]","[4, 4.96477375084077e-05]","[100, 100]","[4, 5.383524617158674e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.010372919095406618]","[1, 1.0]","[4, 0.008197752051757302]","[100, 100]","[100, 100]","[4, 0.008197752051757302]","[5, 0.03363198637091092]","[1, 1.0]","[5, 0.002493934691309366]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.16789274699721204]","[4, 7.947084159931257e-09]"
Child affect:positive 1,"[100, 100]","[5, 0.9999665722242274]","[1, 0.5847605495310708]","[3, 0.3966918708667221]","[2, 0.21551374125208939]","[5, 0.9999958125828602]","[2, 0.9339080476576611]","[100, 100]","[4, 0.02458715652181743]","[4, 0.031174189315422932]","[1, 1.0]","[4, 0.004608759320102538]","[2, 0.9674532156521941]","[2, 0.2088082975332433]","[1, 1.0]","[1, 1.0]","[1, 0.27540999572051095]","[1, 0.2747403985765846]","[1, 1.0]","[1, 0.3680473299337539]","[100, 100]","[3, 0.46604268812910743]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.15208731156493085]","[1, 1.0]","[5, 0.12576884196753463]","[100, 100]","[100, 100]","[5, 0.12576884196753463]","[1, 0.04550026389635868]","[2, 0.3717176358567638]","[1, 0.22175049341605013]","[4, 0.5779788489781641]","[5, 0.9999960984369036]","[2, 0.9674532156521941]","[3, 0.1946939077470615]","[3, 0.02244471118563234]","[1, 0.014022284102200714]","[1, 1.0]","[2, 0.2149257995177069]","[1, 0.27540999572051095]"
Child gesture:point at prop,"[100, 100]","[4, 1.3837148242683982e-06]","[1, 0.05792610885147153]","[3, 0.15867941300309257]","[5, 0.011986760822443078]","[1, 1.0]","[1, 1.0]","[4, 0.41994893910690256]","[100, 100]","[4, 0.17051672929451697]","[1, 1.0]","[5, 0.4299178929865416]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.2404164755488596e-05]","[4, 0.9822657500734904]","[1, 1.0]","[4, 0.0017490590689527238]","[100, 100]","[5, 0.47927110115928706]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.010372919095406885]","[1, 1.0]","[4, 0.9936183725242093]","[100, 100]","[100, 100]","[4, 0.9936183725242093]","[3, 0.37404353017830605]","[1, 9.532561546911325e-08]","[1, 1.0]","[4, 0.9840639117724063]","[2, 0.009750518824599425]","[4, 0.0010476051579694752]","[2, 0.0008251049232658677]","[4, 0.6425514678460553]","[4, 0.9528549798197363]","[1, 1.0]","[4, 0.00017440168884142064]","[4, 0.0021849533142891528]"
Parent utterance:utterance,"[100, 100]","[4, 0.0051502051240922865]","[4, 0.07639571520404467]","[1, 0.06134875234535707]","[2, 0.01657719115814935]","[4, 0.7784144426762606]","[3, 0.16538059323766646]","[3, 0.1796460779607246]","[4, 0.12173198964513506]","[100, 100]","[2, 0.4598570544095266]","[3, 0.2001435061110224]","[4, 0.18058829242681326]","[3, 0.012662302669531937]","[2, 0.9831585396472559]","[5, 2.857175859804392e-06]","[3, 0.9284231546798851]","[5, 0.3034671440827782]","[4, 0.778414442676274]","[1, 0.19742890062654472]","[100, 100]","[1, 0.1383981520337465]","[5, 0.999980993364635]","[100, 100]","[5, 0.006615584632469475]","[5, 0.06549113402767193]","[3, 0.9299306682696935]","[4, 0.5475053925052015]","[100, 100]","[100, 100]","[4, 0.5475053925052015]","[5, 0.015227217689876449]","[5, 0.1727160889887964]","[1, 0.3432473554648213]","[1, 0.9495512048907732]","[1, 0.19785397914183334]","[4, 0.2676877952057332]","[5, 0.13271585151527807]","[5, 0.13967595139338473]","[1, 0.40314042991727617]","[4, 0.7478950642957929]","[2, 0.02458948370610184]","[1, 0.3959707458535442]"
