,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Verbal scaffolding:cognitive,"[3, 0.11764105936467063]","[100, 100]","[4, 0.0010746852965608854]","[3, 0.8500898037437787]","[1, 0.00038240852624486175]","[1, 1.0]","[1, 0.07889386052723854]","[1, 0.042896731117635915]","[1, 0.047988415092234615]","[100, 100]","[3, 0.8472655888152253]","[3, 0.10088265749870849]","[100, 100]","[5, 0.999984801728035]","[1, 1.0]","[5, 0.03491636329731568]","[4, 0.14786529365610376]","[5, 0.004423036378201823]","[5, 0.0033715877760085713]","[1, 0.20128646517278326]","[5, 0.019757654443205923]","[1, 1.0]","[1, 3.355377418682002e-06]","[100, 100]","[2, 0.06677169698816834]","[5, 0.01082335578184405]","[1, 0.7561641738153687]","[1, 0.35575314688878945]","[100, 100]","[3, 0.013206678635053152]","[1, 0.2465491139432656]","[1, 0.2563386504025187]","[4, 0.5716959831917555]","[2, 0.37188045607552517]","[5, 0.9999773354696504]","[4, 0.16623852519735896]","[3, 0.18551801174438853]","[1, 0.5278749506253537]","[3, 0.005107084290910841]","[4, 0.0996576987465258]","[5, 0.10565993056977566]","[1, 0.2915848775270017]"
Verbal scaffolding:technical,"[3, 0.23136100616137742]","[100, 100]","[4, 0.28491517409002715]","[1, 1.0]","[1, 0.33547360459371056]","[1, 1.0]","[4, 0.43565092699941455]","[1, 1.0]","[2, 0.002042566063960799]","[100, 100]","[4, 0.8623693729474395]","[1, 1.0]","[4, 0.6734218113966306]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.0764080095061327]","[1, 1.0]","[3, 0.11833755187884148]","[1, 0.07257327481604577]","[1, 1.0]","[1, 1.0]","[3, 0.00040809394902629814]","[100, 100]","[1, 1.0]","[1, 0.00011986100854825884]","[5, 5.5629626003099e-07]","[5, 0.6995087988964922]","[100, 100]","[1, 1.0]","[5, 0.4489934919996095]","[1, 0.11084845472144826]","[5, 2.7045958300469757e-08]","[5, 0.02393895956506731]","[5, 0.0006352480796727792]","[3, 0.03324914575909046]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.15557572810427533]","[5, 0.001586191413479235]","[1, 1.0]"
Verbal scaffolding:affective,"[5, 0.9579772963390824]","[100, 100]","[5, 0.22834731885000548]","[2, 0.38711562029730345]","[1, 0.03426256602663273]","[5, 0.021918486172192133]","[1, 0.15040876519012553]","[5, 0.005915787303211013]","[1, 1.0]","[100, 100]","[5, 0.9956337400230942]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.5074631590754525]","[5, 0.98863009413613]","[2, 0.1430583562866521]","[5, 0.9418756976687782]","[1, 1.0]","[2, 0.08674159679628426]","[4, 2.287301331200499e-19]","[1, 1.0]","[100, 100]","[5, 0.005581763106168598]","[2, 0.37754748994151777]","[1, 1.0]","[3, 0.1529067090689019]","[100, 100]","[1, 1.0]","[3, 0.03931689002847704]","[4, 0.044365514916995696]","[1, 1.0]","[5, 0.003736857214194877]","[1, 1.0]","[3, 0.08136939481217985]","[5, 0.8662844686282032]","[3, 0.016721757085358134]","[5, 0.11293433568521427]","[5, 0.9182207631203637]","[5, 0.9885359224885781]","[2, 0.25021397429408954]"
Verbal scaffolding:instruction translation,"[1, 1.0]","[100, 100]","[1, 0.1325189726443843]","[1, 1.0]","[3, 0.10249068329409758]","[1, 1.0]","[2, 0.07293535207721132]","[1, 1.0]","[5, 0.2846375453625304]","[100, 100]","[5, 0.37136036443240233]","[1, 1.0]","[5, 0.8315403393694784]","[1, 1.0]","[5, 0.0011451038757253576]","[100, 100]","[1, 1.0]","[4, 0.00010117033526933287]","[4, 0.009430597580978336]","[1, 1.0]","[4, 1.014857324249038e-11]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 2.0299499494532927e-05]","[5, 0.8926831764355401]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 2.4039488146605716e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent gaze:robot,"[1, 0.057188399867941164]","[100, 100]","[5, 0.16566725598442777]","[5, 0.17612749029350114]","[3, 0.22117205185518082]","[2, 0.025382608712750627]","[1, 0.4669241824584903]","[5, 0.0017688964282074513]","[4, 0.7540289713742094]","[100, 100]","[1, 0.00027573111493232075]","[5, 0.9999999183080341]","[1, 0.0014160935231784663]","[2, 0.047174648980101264]","[1, 0.2230969612835268]","[1, 1.0]","[100, 100]","[1, 0.003702485422413741]","[1, 2.239367713507792e-08]","[1, 0.3313431490472824]","[3, 0.10189295167057635]","[2, 0.018257432120763216]","[1, 0.36410920558033943]","[100, 100]","[1, 0.1730157413207865]","[5, 0.006271096416235588]","[3, 0.29325624186547844]","[5, 0.31014294971089007]","[100, 100]","[5, 0.9999996010967915]","[5, 0.1353171400189135]","[3, 0.6564183721495629]","[5, 0.05107990741780818]","[3, 0.008106693040190988]","[2, 0.19769120673551804]","[1, 0.105596372711941]","[1, 0.008918876178576193]","[2, 0.15556616497226644]","[5, 0.17638049586048024]","[1, 0.30158875790589246]","[4, 0.008951682550114646]","[5, 0.17799530846379774]"
Parent gaze:child,"[5, 4.7723061104363936e-05]","[100, 100]","[2, 0.4585931958754472]","[1, 0.13195027510858465]","[3, 0.07455569229307163]","[2, 0.15266802503482]","[5, 0.3017559622322528]","[4, 0.1882016694423725]","[3, 0.5306154343242202]","[100, 100]","[1, 0.02599215610550419]","[2, 0.11074043898656025]","[1, 0.0005620797892963091]","[1, 1.0]","[4, 0.06050989082986972]","[1, 0.0351537312012297]","[1, 0.0004824639667936218]","[100, 100]","[5, 0.002089632826006216]","[3, 0.6921322767228837]","[4, 0.10192597632135142]","[1, 0.0028872298985865375]","[1, 0.05992620663719946]","[100, 100]","[5, 0.23925021581853637]","[3, 0.2512331604869118]","[1, 1.0]","[1, 0.07358659770275781]","[100, 100]","[5, 0.999713921046566]","[1, 0.024774663348038062]","[4, 0.0501072636095835]","[2, 0.11028747265959803]","[1, 0.262726385181528]","[1, 0.998072356545301]","[2, 0.05669454541899487]","[4, 0.012138844212219323]","[2, 0.1107404389865672]","[5, 0.0025533366909817217]","[1, 0.1860361141793378]","[5, 0.00011294488987884872]","[3, 0.8170129170008583]"
Parent gaze:props,"[5, 0.9999999903516765]","[100, 100]","[1, 0.00028238271113178494]","[4, 0.15642039732754323]","[1, 0.7192775289170711]","[3, 0.15740572381946027]","[1, 0.3715711539494202]","[1, 0.05296944585477456]","[1, 1.0]","[100, 100]","[1, 0.2467447001565325]","[1, 0.010138063686318224]","[5, 0.237157106440204]","[1, 0.17188972241775072]","[1, 0.1343843552700443]","[1, 0.017599197298098022]","[3, 0.11280043685549061]","[1, 2.940804620063942e-05]","[100, 100]","[1, 0.22185757533903214]","[5, 0.8240944459330755]","[1, 1.0]","[3, 0.004728849364533411]","[100, 100]","[5, 0.014633375385399038]","[3, 0.12130099160855569]","[4, 0.14718811861580788]","[3, 0.6149980816261891]","[100, 100]","[1, 1.0]","[3, 0.4161580460336831]","[3, 0.07458677844696784]","[5, 1.282214550727068e-06]","[5, 0.011434887038868207]","[5, 0.770963023869105]","[1, 0.8816647158048604]","[5, 0.9999999613418884]","[1, 1.0]","[1, 1.0]","[5, 0.31560552583644014]","[1, 0.03448706013288842]","[4, 0.023125126400497305]"
Parent affect:positive 1,"[5, 0.14382729327064525]","[100, 100]","[2, 0.22192175084748159]","[4, 0.005494231561511602]","[1, 0.38905201682495016]","[1, 0.048285747097404186]","[3, 0.07351625131401923]","[5, 0.30104368781502466]","[4, 0.16571926084979802]","[100, 100]","[1, 0.09927034265151337]","[2, 0.0075823607711215605]","[1, 0.20485363851231428]","[4, 0.999062835566267]","[1, 1.0]","[1, 1.0]","[5, 0.012737551824008653]","[5, 0.0007527713695851977]","[1, 0.223233590538042]","[100, 100]","[1, 0.07174208313131278]","[1, 1.0]","[2, 0.007485743762927075]","[100, 100]","[4, 0.22071487984432864]","[1, 0.2569294586078661]","[1, 1.0]","[4, 0.4672831221764199]","[100, 100]","[4, 0.00046285768537961206]","[4, 0.5923870299054292]","[1, 0.9978970976662547]","[4, 0.03733908648656874]","[1, 0.09658264539809176]","[4, 0.3476734385766537]","[1, 1.0]","[4, 6.31295924736729e-06]","[1, 0.0017634257632734161]","[4, 0.0003884523196241335]","[4, 0.003414461691411141]","[4, 0.7971365197001351]","[1, 0.18465461082076756]"
Parent affect:positive 2,"[5, 0.9999928556011356]","[100, 100]","[4, 0.3093315739517041]","[2, 0.19240406726854847]","[1, 0.043635915948393916]","[1, 0.02084957562339695]","[4, 0.09183968222500928]","[5, 0.049425840112065064]","[2, 0.001183526324023229]","[100, 100]","[1, 0.05385166045530689]","[1, 1.0]","[5, 0.9998206516737638]","[1, 1.0]","[4, 0.2351877055488414]","[1, 3.037543654297584e-14]","[4, 0.6106703080555878]","[5, 0.16269974165329248]","[3, 0.000244201689640442]","[5, 0.3025682546517389]","[100, 100]","[1, 1.0]","[3, 0.4518030685229577]","[100, 100]","[5, 0.11209332581321206]","[5, 0.9999983932738755]","[1, 1.0]","[1, 0.12175724756615434]","[100, 100]","[5, 4.500951013848659e-05]","[1, 0.05212226664966095]","[2, 0.05229804533885937]","[1, 1.0]","[3, 0.2887186241972232]","[3, 0.1192002320290162]","[1, 1.0]","[1, 0.996661054451472]","[1, 1.0]","[1, 1.0]","[3, 0.15933952824235012]","[1, 0.010009298244882005]","[2, 0.30126077019176417]"
Parent affect:positive 3,"[1, 1.0]","[100, 100]","[3, 0.19811220972984017]","[1, 1.0]","[2, 0.060029293279546654]","[1, 1.0]","[1, 1.0]","[5, 2.811023723957418e-31]","[1, 1.0]","[100, 100]","[3, 0.1504065574332378]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.020804172973583e-06]","[1, 1.0]","[1, 1.0]","[1, 0.003339663399143418]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.0001390656521540433]","[1, 1.0]","[5, 0.020511449989587028]","[100, 100]","[1, 1.0]","[5, 0.0007353657754994281]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
