,total time,count,normalized total time,normalized count
Child affect,8.719999999999999,4,0.033866708093832534,0.01553518719900575
Child affective touch,4.6,1,0.017865465278856612,0.0038837967997514375
Child gaze,282.38,27,1.096706540313811,0.10486251359328881
Child gesture,10.559999999999999,2,0.041012894205375176,0.007767593599502875
Child prop manipulation,54.760000000000005,40,0.21267671275438874,0.1553518719900575
Child utterance,25.48,27,0.09895914245766663,0.10486251359328881
Conversational turns,627.8000000000001,103,2.4382476308839527,0.40003107037439806
Joint attention,242.7800000000001,41,0.9429081870436543,0.15923566878980894
Mutual gaze,3.759999999999927,7,0.014603075967065123,0.027186577598260063
Non-verbal scaffolding,18.72,15,0.07270467609134691,0.058256951996271567
Parent affect,91.16,24,0.354046916265341,0.0932111231940345
Parent affective touch,7.44,3,0.028895448190150698,0.011651390399254313
Parent gaze,284.71999999999997,67,1.1057946248252293,0.2602143855833463
Parent gesture,17.76,14,0.06897623116358553,0.054373155196520126
Parent prop manipulation,11.4,9,0.04427528351716639,0.03495417119776294
Parent utterance,136.12,92,0.5286624203821657,0.35730930557713225
Verbal scaffolding,67.04,41,0.2603697374553364,0.15923566878980894
robot pointing,28.134,15,0.10926673916420694,0.058256951996271567
robot text,164.802,50,0.6400574801926364,0.1941898399875719
CP,119.64000000000009,26,0.4646574491222623,0.10097871679353737
CPC,118.15999999999994,15,0.45890942985862965,0.058256951996271567
MG,3.759999999999927,7,0.014603075967065123,0.027186577598260063
PC,134.91999999999993,31,0.5240018642224636,0.12039770079229456
PCP,255.0800000000001,31,0.9906788876805971,0.12039770079229456
affective,6.4399999999999995,4,0.025011651390399257,0.01553518719900575
affective touch,12.04,4,0.046760913469007306,0.01553518719900575
child,82.84,71,0.3217337268914091,0.27574957278235207
cognitive,73.52,46,0.28553674071772567,0.17865465278856613
correction,6.533,3,0.025372844492776145,0.011651390399254313
missing data,3.44,3,0.013360260991144944,0.011651390399254313
negative,3.92,1,0.015224483455025636,0.0038837967997514375
other,13.894,8,0.053961472735746474,0.0310703743980115
parent,20.2,20,0.07845269535497904,0.07767593599502876
pick up,18.8,9,0.07301537983532704,0.03495417119776294
point at prop,52.254,27,0.2029439179742116,0.10486251359328881
positive 1,52.04,16,0.2021127854590648,0.062140748796023
positive 2,32.8,9,0.12738853503184713,0.03495417119776294
positive 3,11.120000000000001,2,0.04318782041323599,0.007767593599502875
positive feedback,27.866,12,0.10822588162187356,0.04660556159701725
put down,15.733,7,0.06110377505048937,0.027186577598260063
song,55.8,1,0.2167158614261302,0.0038837967997514375
tablet,771.8000000000001,92,2.99751437004816,0.35730930557713225
teach,23.868,10,0.09269846201646731,0.03883796799751438
technical,5.8,6,0.022526021438558336,0.023302780798508626
try again,5.468,3,0.02123660090104086,0.011651390399254313
utterance,160.4,118,0.6229610066801307,0.4582880223706696
Child affect:negative,3.92,1,0.015224483455025636,0.0038837967997514375
Child affect:positive 1,3.5999999999999996,2,0.013981668479105173,0.007767593599502875
Child affect:positive 2,1.2,1,0.004660556159701725,0.0038837967997514375
Child affective touch:affective touch,4.6,1,0.017865465278856612,0.0038837967997514375
Child gaze:parent,8.8,11,0.03417741183781265,0.04272176479726581
Child gaze:tablet,273.58,16,1.0625291284759983,0.062140748796023
Child gesture:point at prop,10.559999999999999,2,0.041012894205375176,0.007767593599502875
Child prop manipulation:child,54.760000000000005,40,0.21267671275438874,0.1553518719900575
Child utterance:utterance,25.48,27,0.09895914245766663,0.10486251359328881
Conversational turns:CP,119.64000000000009,26,0.4646574491222623,0.10097871679353737
Conversational turns:CPC,118.15999999999994,15,0.45890942985862965,0.058256951996271567
Conversational turns:PC,134.91999999999993,31,0.5240018642224636,0.12039770079229456
Conversational turns:PCP,255.0800000000001,31,0.9906788876805971,0.12039770079229456
Joint attention:tablet,242.7800000000001,41,0.9429081870436543,0.15923566878980894
Mutual gaze:MG,3.759999999999927,7,0.014603075967065123,0.027186577598260063
Non-verbal scaffolding:cognitive,13.56,10,0.0526642846046295,0.03883796799751438
Non-verbal scaffolding:technical,5.16,5,0.020040391486717418,0.01941898399875719
Parent affect:positive 1,48.44,14,0.18813111697995963,0.054373155196520126
Parent affect:positive 2,31.6,8,0.12272797887214543,0.0310703743980115
Parent affect:positive 3,11.120000000000001,2,0.04318782041323599,0.007767593599502875
Parent affective touch:affective touch,7.44,3,0.028895448190150698,0.011651390399254313
Parent gaze:child,28.080000000000002,31,0.10905701413702037,0.12039770079229456
Parent gaze:missing data,1.2,1,0.004660556159701725,0.0038837967997514375
Parent gaze:tablet,255.44,35,0.9920770545285073,0.13593288799130032
Parent gesture:missing data,1.04,1,0.004039148671741495,0.0038837967997514375
Parent gesture:other,3.16,3,0.012272797887214543,0.011651390399254313
Parent gesture:point at prop,13.56,10,0.0526642846046295,0.03883796799751438
Parent prop manipulation:parent,11.4,9,0.04427528351716639,0.03495417119776294
Parent utterance:missing data,1.2,1,0.004660556159701725,0.0038837967997514375
Parent utterance:utterance,134.92000000000002,91,0.524001864222464,0.3534255087773808
Verbal scaffolding:affective,6.4399999999999995,4,0.025011651390399257,0.01553518719900575
Verbal scaffolding:cognitive,59.96,36,0.2328724561130962,0.13981668479105175
Verbal scaffolding:technical,0.64,1,0.00248562995184092,0.0038837967997514375
robot pointing:point at prop,28.134,15,0.10926673916420694,0.058256951996271567
robot text:correction,6.533,3,0.025372844492776145,0.011651390399254313
robot text:other,10.734,5,0.041688674848531934,0.01941898399875719
robot text:pick up,18.8,9,0.07301537983532704,0.03495417119776294
robot text:positive feedback,27.866,12,0.10822588162187356,0.04660556159701725
robot text:put down,15.733,7,0.06110377505048937,0.027186577598260063
robot text:song,55.8,1,0.2167158614261302,0.0038837967997514375
robot text:teach,23.868,10,0.09269846201646731,0.03883796799751438
robot text:try again,5.468,3,0.02123660090104086,0.011651390399254313
