,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:negative,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent gesture:missing data,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
robot text:positive feedback,"[4, 0.045880764848001174]","[5, 0.6294116792770993]","[2, 0.5079229206803313]","[3, 0.09091891650475144]","[5, 0.9717580776251116]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.040909306982503675]","[1, 1.0]","[5, 0.8578407376175561]","[1, 0.00027422661554903495]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.23729362027789883]","[1, 0.42867763116454294]","[1, 1.0]","[3, 0.0037180681099503654]","[4, 0.5261798527139228]","[4, 0.006421419383610085]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.0014410864736726554]","[2, 0.1363135801438405]","[1, 0.0012136893492587062]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.01601139225183044]","[100, 100]","[3, 0.22966238525181734]","[1, 1.0]","[1, 1.0]","[4, 0.2047732411645702]","[5, 0.010325061491762677]","[1, 0.17510225626092563]","[1, 0.022797628977871732]","[2, 0.3042089566663788]","[5, 0.40753911344174243]"
robot text:put down,"[1, 0.03292087794471971]","[3, 0.014209743793284749]","[5, 0.9960002831245204]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.018930221523753968]","[5, 0.0001223414961200211]","[2, 0.2491982510042723]","[5, 0.003997691784219117]","[1, 1.0]","[5, 0.9932446502138486]","[1, 1.0]","[5, 0.13891622231864525]","[5, 0.2216830328088781]","[5, 2.093155001895015e-06]","[5, 0.07920949664413474]","[5, 0.9682770746431577]","[5, 0.016439309559719915]","[5, 0.9932446502138486]","[100, 100]","[5, 2.1224489452544116e-06]","[4, 0.000273190853759362]","[1, 0.42727421349387207]","[5, 0.7373468355629529]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0036440514540357523]","[100, 100]","[1, 1.0]","[4, 0.027378610936310936]","[2, 0.01304979243312695]","[3, 0.5413632830637785]","[2, 0.04533465676241981]","[1, 1.0]","[4, 0.06818004592122867]","[5, 0.9806810186776057]"
robot text:correction,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.2679336207797516]","[1, 1.0]","[3, 0.5465867003758271]","[1, 1.0]","[5, 1.5808968292337787e-24]","[1, 0.01082592015976875]","[1, 1.0]","[1, 1.0]","[2, 0.20713086467390604]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.01082592015976875]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.0002496788875908729]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.6998828714685047]","[5, 0.9579694264630844]","[1, 1.0]","[5, 0.9211929107514583]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:try again,"[5, 0.9837706821203813]","[1, 1.0]","[1, 1.0]","[5, 0.6998828714685149]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.2685054315793437]","[4, 3.3463659514256435e-10]","[3, 0.5489059129983023]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.6704178066804428e-09]","[2, 0.17640331920846952]","[1, 1.0]","[4, 3.9597889912774164e-23]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 1.6809797882719607e-29]","[1, 1.0]","[5, 0.010736161015965489]","[2, 0.0011373047426860483]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.9759044308469464]","[1, 1.0]","[5, 0.9706902218382224]","[5, 1.8214267529263176e-07]","[100, 100]","[4, 0.0009937706362973845]","[1, 1.0]","[4, 2.3168358857846405e-05]","[1, 1.0]","[2, 0.23626445882532432]","[1, 1.0]"
Conversational turns:PC,"[5, 2.126571186192589e-10]","[1, 0.24400894382573984]","[1, 0.24463209911351888]","[5, 0.00027068885375379265]","[4, 0.007497361329830004]","[100, 100]","[3, 0.9999997166774589]","[2, 0.9358301866124964]","[1, 0.6169000415932424]","[2, 0.9358301866124964]","[1, 0.520590074144301]","[4, 0.4563769906882986]","[1, 1.0]","[2, 0.5196420157726049]","[5, 0.0046591572853182306]","[1, 0.4218041890117489]","[1, 0.4283955546435554]","[2, 0.9358301866124534]","[2, 0.26871886160181063]","[3, 0.2032450831439491]","[1, 1.0]","[2, 0.5196420157726049]","[100, 100]","[2, 0.9358301866124534]","[4, 0.054644859141944085]","[1, 0.21864013077228933]","[4, 0.09015376350629167]","[5, 0.20087741180631488]","[100, 100]","[1, 1.0]","[5, 0.11757240950526611]","[1, 0.004634421287545462]","[1, 0.2568392579578499]","[4, 0.010817925867978384]","[5, 0.006163153002101301]","[5, 0.0011900573406481176]","[100, 100]","[4, 0.011024208351607669]","[4, 0.5305703577184566]","[2, 0.04071008514174729]","[1, 0.4588550995738774]","[1, 0.12585644955159755]"
Conversational turns:CP,"[3, 0.26462073524565854]","[2, 0.507713692562421]","[1, 0.24400894382575578]","[5, 0.000363969261204694]","[5, 0.9999829783992447]","[100, 100]","[5, 0.9999917833357506]","[1, 0.0002869296693559657]","[3, 0.1755501165379631]","[1, 1.0]","[3, 0.372023770945424]","[4, 0.4990069310584554]","[1, 1.0]","[1, 0.2568392579578499]","[4, 0.08669793925153627]","[3, 0.053039076491542644]","[2, 0.21951422548162178]","[1, 1.0]","[5, 0.7620249405595596]","[5, 0.22673441172545714]","[1, 1.0]","[1, 0.2568392579578499]","[100, 100]","[1, 1.0]","[1, 0.037064237096899155]","[1, 0.5388037313332833]","[5, 0.256710925393144]","[2, 0.11537100036540761]","[100, 100]","[2, 0.9836821600776673]","[2, 0.0385681859567058]","[1, 0.1592858172015233]","[5, 0.09977509934075]","[5, 0.13870544906191412]","[1, 1.0]","[1, 1.0]","[4, 0.8591416300895032]","[100, 100]","[2, 0.8726940761734757]","[5, 0.5216161285828143]","[3, 0.10112987650822672]","[2, 0.3331698762835364]"
Conversational turns:PCP,"[3, 0.21594383734718825]","[1, 0.16330171484531822]","[3, 0.5531118249590907]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.17159429340459315]","[4, 0.9988638870597646]","[1, 0.44437201697216766]","[4, 0.36838788691172675]","[1, 1.0]","[1, 0.1751022562609163]","[1, 1.0]","[2, 0.6118435260446144]","[1, 0.3440368421018404]","[4, 0.9988638870597646]","[5, 0.5962260038113787]","[5, 0.01644469421239301]","[1, 1.0]","[1, 0.1751022562609163]","[100, 100]","[4, 0.9978993744086608]","[4, 0.3119310599962467]","[1, 0.4626681461434893]","[2, 0.1556002413293747]","[1, 0.26850988538318327]","[100, 100]","[4, 0.9988638870597646]","[1, 0.1751022562609163]","[1, 1.0]","[3, 0.02558362462285]","[3, 0.38248464945825206]","[5, 0.0013552008836606934]","[1, 0.002257681246175208]","[3, 0.5211936284312331]","[4, 0.9674555491712253]","[100, 100]","[1, 1.0]","[1, 0.3765165175558697]","[2, 0.1749205603726876]"
Conversational turns:CPC,"[3, 0.000797559620070501]","[2, 0.047154360935599715]","[1, 2.0849292718639847e-06]","[4, 2.1284443853828167e-05]","[2, 4.3789153808537346e-13]","[100, 100]","[1, 0.9908962225119472]","[1, 4.303699441520813e-14]","[1, 0.9984616344463301]","[1, 1.0]","[1, 0.20197164505904194]","[1, 1.0]","[1, 1.0]","[3, 0.15661508800039511]","[5, 1.8486378768858326e-07]","[1, 0.10754722096507346]","[3, 0.45312221974643896]","[1, 1.0]","[2, 0.9999782516737578]","[2, 0.11623876329879047]","[1, 1.0]","[3, 0.15661508800039511]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.21855003801197267]","[4, 0.023923931268847662]","[5, 0.02045394182015066]","[100, 100]","[1, 1.0]","[5, 0.0025995524514368733]","[4, 0.0024571388038873124]","[2, 0.999999604655935]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.15254777913736592]","[2, 0.05848766915411878]","[1, 1.0]","[100, 100]","[3, 0.29513181132622274]","[2, 0.00027654730511420477]"
Joint attention:tablet,"[5, 0.008632111943799866]","[2, 0.17862281942321448]","[2, 2.14813286895809e-09]","[4, 0.09355891146210904]","[3, 0.1808967285707933]","[100, 100]","[5, 0.3831753925989339]","[2, 0.5997779034866457]","[2, 0.7273222562269376]","[3, 0.003130239017815621]","[2, 0.08764021009824625]","[5, 0.37495678175921227]","[1, 1.0]","[1, 0.44934803345507124]","[1, 1.0]","[3, 0.07071820098361298]","[4, 2.317865577363424e-17]","[2, 0.0016897630230730475]","[5, 0.06575065754753368]","[4, 0.7615444512457705]","[4, 0.3128172867706933]","[1, 0.44934803345507124]","[100, 100]","[2, 0.001033778922386543]","[4, 0.05112380185021037]","[1, 0.07688682923123058]","[5, 0.8845509409097629]","[1, 0.11061029362388503]","[100, 100]","[1, 1.0]","[3, 0.10574233269461986]","[1, 0.5872447347378089]","[5, 0.8437586037062226]","[2, 0.007156446508802688]","[1, 1.0]","[3, 0.1787229787745871]","[4, 0.3609476900407174]","[3, 0.021241538169762167]","[3, 0.3130537636277926]","[1, 0.378613302868524]","[100, 100]","[5, 3.151021257469773e-05]"
Mutual gaze:MG,"[4, 0.012760287963365216]","[1, 0.1840743205719101]","[1, 1.5966597829876352e-06]","[1, 1.0]","[1, 2.8971158654047918e-05]","[100, 100]","[5, 0.00036199675553035996]","[1, 1.0]","[3, 0.289272705841058]","[1, 1.0]","[2, 0.33865584549480715]","[1, 1.0]","[1, 1.0]","[5, 0.021716518849551652]","[1, 1.0]","[5, 0.021328952040380777]","[4, 0.0013978219365433336]","[1, 1.0]","[5, 1.0734798058293817e-08]","[5, 0.0919887304040694]","[3, 5.916272971955317e-05]","[5, 0.021716518849551652]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.25216680408595715]","[1, 1.0]","[5, 0.044763159130247754]","[100, 100]","[1, 1.0]","[5, 0.012677471993607883]","[3, 0.4394332819383949]","[1, 0.11952366344702232]","[5, 0.216975309238126]","[1, 1.0]","[1, 1.0]","[2, 0.9389163149076055]","[1, 0.7768884038965919]","[1, 0.7345774521447266]","[2, 0.7791190046059759]","[3, 0.05451422305826154]","[100, 100]"
